'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COMBIENBAR Victoria for May 2021,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 June 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COMBIENBAR,01/05/2021,1.4, , ,21.8,12.7,78,40,0.32,12.51
COMBIENBAR,02/05/2021,1.6,0.0, ,21.0,13.4,72,46,0.89,10.51
COMBIENBAR,03/05/2021,1.7,0.0, ,19.1,12.5,95,47,2.42,5.51
COMBIENBAR,04/05/2021,0.7,7.6, ,11.7,9.9,96,90,0.22,3.49
COMBIENBAR,05/05/2021,0.6,24.2, ,13.6,10.4,98,97,1.03,2.60
COMBIENBAR,06/05/2021,1.0,32.2, ,18.4,10.0,98,77,1.08,6.61
COMBIENBAR,07/05/2021,1.4,11.0, ,21.3,11.3,95,58,0.75,11.02
COMBIENBAR,08/05/2021,1.2,0.0, ,18.9,13.1,85,50,0.29,10.84
COMBIENBAR,09/05/2021,1.2,0.0, ,18.7,9.9,85,55,0.56,10.02
COMBIENBAR,10/05/2021,1.4,0.0, ,18.1,11.1,90,47,1.24,9.26
COMBIENBAR,11/05/2021,0.6,3.2, ,10.4,9.2,97,86,0.83,2.57
COMBIENBAR,12/05/2021,0.8,101.8, ,14.8,7.7,98,78,0.63,6.46
COMBIENBAR,13/05/2021,1.4,3.2, ,16.5,9.6,93,49,1.72,9.47
COMBIENBAR,14/05/2021,1.2,2.4, ,10.9,4.6,92,57,2.29,10.00
COMBIENBAR,15/05/2021,1.1,0.8, ,5.9,4.8,93,60,4.72,0.88
COMBIENBAR,16/05/2021,1.3,18.8, ,11.1,2.1,78,55,2.59,9.93
COMBIENBAR,17/05/2021, ,3.6, , ,5.7,91,59,3.47,7.70
COMBIENBAR,18/05/2021,0.8,0.0, ,11.5,4.3,85,61,0.61,10.72
COMBIENBAR,19/05/2021,0.7,0.0, ,13.2,5.8,85,56,0.14,10.63
COMBIENBAR,20/05/2021,1.2,0.0, ,14.4,7.9,88,34,1.34,8.74
COMBIENBAR,21/05/2021,0.8,0.0, ,13.1,5.5,91,39,0.49,10.43
COMBIENBAR,22/05/2021, ,0.0, , ,7.4,64,32,0.23,10.38
COMBIENBAR,23/05/2021,0.8,0.0, ,15.4,8.8,85,17,0.42,10.31
COMBIENBAR,24/05/2021,1.3,0.0, ,18.0,8.7,83,54,1.46,9.92
COMBIENBAR,25/05/2021,1.4,0.0, ,18.1,9.8,76,43,1.43,8.50
COMBIENBAR,26/05/2021,1.6,0.6, ,13.1,9.5,88,42,3.16,8.58
COMBIENBAR,27/05/2021,1.5,0.6, ,10.4,6.3,86,57,5.04,7.44
COMBIENBAR,28/05/2021,1.1,2.0, ,7.3,4.0,90,62,4.63,6.61
COMBIENBAR,29/05/2021,0.9,0.0, ,7.8,4.0,78,64,2.11,8.16
COMBIENBAR,30/05/2021,0.6,0.0, ,10.7,4.8,89,64,0.23,7.26
COMBIENBAR,31/05/2021,0.5,0.2, ,14.6,3.9,88,28,0.06,9.80
Totals:,,31.8,212.2, ,,,,,, 
