'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COMBIENBAR Victoria for December 2022,,,,,,,,,,
Issued at 22:30 GMT on Sunday 01 January 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COMBIENBAR,01/12/2022,1.3,0.0, ,14.2,8.9,96,80,0.29,6.15
COMBIENBAR,02/12/2022,4.6,0.0, ,22.5,8.6,93,48,0.81,28.41
COMBIENBAR,03/12/2022, ,0.0, , ,10.7,100,42,0.70,31.60
COMBIENBAR,04/12/2022,5.8,0.0, ,29.5,17.5,52,32,0.94,30.27
COMBIENBAR,05/12/2022,2.4,0.0, ,21.3,19.1,96,45,2.40,6.56
COMBIENBAR,06/12/2022,1.9,13.2, ,16.0,9.2,98,86,1.77,11.47
COMBIENBAR,07/12/2022,3.2,1.6, ,21.6,6.8,96,46,1.09,17.24
COMBIENBAR,08/12/2022,3.0,16.2, ,12.1,4.9,93,60,4.65,21.85
COMBIENBAR,09/12/2022,2.3,2.4, ,14.4,4.8,93,60,2.20,13.11
COMBIENBAR,10/12/2022,4.8,1.4, ,21.3,5.9,87,42,0.89,31.90
COMBIENBAR,11/12/2022,4.3,0.0, ,25.3,9.9,84,34,1.54,20.83
COMBIENBAR,12/12/2022,2.6,2.8, ,15.4,12.7,95,55,3.24,12.47
COMBIENBAR,13/12/2022,4.1,16.6, ,19.1,7.0,95,42,1.32,26.36
COMBIENBAR,14/12/2022,1.6,6.6, ,8.4,4.0,94,62,3.19,8.30
COMBIENBAR,15/12/2022,1.5,47.2, ,10.9,4.6,95,88,4.04,11.23
COMBIENBAR,16/12/2022,1.8,13.8, ,11.8,5.5,96,79,2.62,11.46
COMBIENBAR,17/12/2022,2.2,1.4, ,14.2,6.3,96,73,1.54,13.47
COMBIENBAR,18/12/2022,2.3,1.6, ,13.8,7.0,96,74,1.03,14.60
COMBIENBAR,19/12/2022,4.5,0.4, ,18.5,7.0,92,52,0.68,30.46
COMBIENBAR,20/12/2022, ,0.0, ,20.1, ,100,50,0.55,27.24
COMBIENBAR,21/12/2022,5.0,0.0, ,23.4,7.3,89,51,1.10,30.92
COMBIENBAR,22/12/2022,2.9,0.0, ,24.6,13.1,93,40,0.44,13.97
COMBIENBAR,23/12/2022,4.1,10.6, ,24.3,12.9,92,59,0.56,23.20
COMBIENBAR,24/12/2022,3.2,0.0, ,23.3,15.2,95,52,0.67,16.21
COMBIENBAR,25/12/2022,5.8,0.0, ,29.1,12.2,97,28,0.87,32.26
COMBIENBAR,26/12/2022,5.3,0.0, ,32.8,19.1,87,29,0.97,24.59
COMBIENBAR,27/12/2022,6.9,5.8, ,32.9,17.9,58,26,1.53,32.26
COMBIENBAR,28/12/2022,5.8,0.0, ,31.3,19.0,97,31,1.73,25.83
COMBIENBAR,29/12/2022,1.7,1.4, ,23.0,9.6,97,77,0.69,7.28
COMBIENBAR,30/12/2022,4.8,0.4, ,28.6,11.8,93,50,1.47,24.41
COMBIENBAR,31/12/2022,4.3,0.0, ,25.1,14.9,86,54,1.60,21.76
Totals:,,104,143.4, ,,,,,, 
