'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CORNER INLET (YANAKIE) Victoria for February 2022,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 March 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CORNER INLET (YANAKIE),01/02/2022,4.3,0.0, ,23.5,17.1,97,58,8.04,19.12
CORNER INLET (YANAKIE),02/02/2022,4.2,0.4, ,20.4,14.2,90,45,6.46,16.92
CORNER INLET (YANAKIE),03/02/2022,3.9,0.0, ,20.8,10.4,95,47,5.27,17.02
CORNER INLET (YANAKIE),04/02/2022,4.4,0.0, ,22.0,7.7,94,58,3.46,27.85
CORNER INLET (YANAKIE),05/02/2022,5.2,0.0, ,22.6,15.3,86,52,5.36,28.06
CORNER INLET (YANAKIE),06/02/2022,5.5,0.0, ,22.8,17.0,85,54,7.30,27.96
CORNER INLET (YANAKIE),07/02/2022,5.4,0.0, ,23.2,15.7,87,52,6.63,27.89
CORNER INLET (YANAKIE),08/02/2022,4.9,0.0, ,23.2,16.2,92,61,6.84,27.47
CORNER INLET (YANAKIE),09/02/2022,4.5,0.0, ,26.6,16.4,95,43,4.86,15.33
CORNER INLET (YANAKIE),10/02/2022,4.5,0.0, ,23.5,16.3,95,50,4.61,21.53
CORNER INLET (YANAKIE),11/02/2022,4.7,0.0, ,21.1,13.2,86,52,4.76,26.14
CORNER INLET (YANAKIE),12/02/2022,5.3,0.0, ,22.6,16.6,83,51,7.13,25.57
CORNER INLET (YANAKIE),13/02/2022,5.6,0.0, ,29.3,16.7,92,46,4.73,22.53
CORNER INLET (YANAKIE),14/02/2022,5.3,0.0, ,27.0,16.5,96,42,3.08,26.21
CORNER INLET (YANAKIE),15/02/2022,4.5,0.0, ,23.4,14.3,96,60,3.70,26.19
CORNER INLET (YANAKIE),16/02/2022,3.0,0.0, ,23.5,17.6,94,74,2.76,15.54
CORNER INLET (YANAKIE),17/02/2022,4.5,0.8, ,23.3,16.3,98,53,5.47,22.66
CORNER INLET (YANAKIE),18/02/2022,3.9,3.0, ,20.7,14.0,96,51,7.45,16.83
CORNER INLET (YANAKIE),19/02/2022,4.1,0.6, ,20.8,10.9,87,48,2.15,25.41
CORNER INLET (YANAKIE),20/02/2022,3.6,0.0, ,23.2,8.6,99,57,3.37,19.71
CORNER INLET (YANAKIE),21/02/2022,4.8,0.6, ,21.3,13.8,87,38,6.61,19.41
CORNER INLET (YANAKIE),22/02/2022,4.2,0.0, ,22.3,10.9,90,56,4.63,23.85
CORNER INLET (YANAKIE),23/02/2022,4.8,0.0, ,29.0,15.0,100,53,2.75,24.16
CORNER INLET (YANAKIE),24/02/2022,2.6,0.0, ,23.0,17.4,100,74,3.62,12.91
CORNER INLET (YANAKIE),25/02/2022,4.1,0.0, ,24.3,15.0,97,54,4.59,19.71
CORNER INLET (YANAKIE),26/02/2022,3.7,0.0, ,22.8,17.9,96,64,6.53,17.99
CORNER INLET (YANAKIE),27/02/2022,3.9,1.2, ,24.9,17.6,98,63,4.41,20.36
CORNER INLET (YANAKIE),28/02/2022,2.9,0.0, ,25.2,14.1,99,65,2.35,14.39
Totals:,,122.3,6.6, ,,,,,, 
