'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for DARTMOOR Victoria for March 2011,,,,,,,,,,
Issued at 22:34 GMT on Friday 01 April 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
DARTMOOR,01/03/2011,3.8,1.2, ,16.9,11.7,99,43,5.51,23.39
DARTMOOR,02/03/2011,2.1,0.0, ,16.2,6.5,99,68,2.72,12.61
DARTMOOR,03/03/2011,3.3,0.0, ,18.3,10.9,95,58,4.44,20.28
DARTMOOR,04/03/2011,2.9,0.2, ,17.2,12.2,86,62,4.49,15.16
DARTMOOR,05/03/2011,4.5,0.0, ,20.0,10.1,88,46,5.07,26.72
DARTMOOR,06/03/2011,6.2,0.0, ,30.1,9.2,97,33,4.33,26.47
DARTMOOR,07/03/2011,8.3,0.0, ,33.9,14.2,71,28,6.21,24.44
DARTMOOR,08/03/2011,3.1,0.0, ,24.2,20.2,99,41,4.08,7.40
DARTMOOR,09/03/2011,1.4,10.2, ,17.2,14.3,99,91,3.86,8.78
DARTMOOR,10/03/2011,2.5,1.2, ,18.2,12.6,97,70,5.23,14.04
DARTMOOR,11/03/2011,3.9,0.0, ,25.9,13.1,99,60,2.92,21.72
DARTMOOR,12/03/2011,4.4,0.0, ,30.1,13.0,99,47,2.31,22.08
DARTMOOR,13/03/2011,2.7,0.0, ,21.4,14.3,100,71,3.74,15.86
DARTMOOR,14/03/2011,4.0,0.0, ,22.2,5.7,99,53,3.87,25.31
DARTMOOR,15/03/2011,3.8,0.0, ,23.1,8.1,99,50,3.50,21.73
DARTMOOR,16/03/2011,2.9,0.0, ,19.0,7.4,97,61,4.13,17.86
DARTMOOR,17/03/2011,3.3,0.0, ,19.6,3.9,99,53,3.63,22.48
DARTMOOR,18/03/2011,3.6,0.0, ,19.4,7.8,89,56,6.04,22.22
DARTMOOR,19/03/2011,4.2,0.0, ,22.9,9.6,94,51,5.20,23.68
DARTMOOR,20/03/2011,4.4,0.0, ,28.7,13.0,97,45,3.36,19.57
DARTMOOR,21/03/2011,1.5,9.4, ,19.8,15.3,100,78,3.46,6.24
DARTMOOR,22/03/2011,1.9,8.0, ,18.0,15.7,100,88,5.05,14.69
DARTMOOR,23/03/2011,1.9,1.0, ,19.5,13.6,99,82,4.48,12.28
DARTMOOR,24/03/2011,2.2,9.4, ,17.2,14.0,99,79,6.40,16.16
DARTMOOR,25/03/2011,2.5,3.6, ,17.4,12.0,96,63,4.83,14.95
DARTMOOR,26/03/2011,2.6,0.2, ,18.7,11.0,97,68,4.46,16.88
DARTMOOR,27/03/2011,1.7,0.0, ,16.8,12.4,99,75,3.13,9.50
DARTMOOR,28/03/2011,3.4,0.0, ,23.6,7.9,99,59,3.19,21.66
DARTMOOR,29/03/2011,3.6,0.0, ,26.3,9.2,99,48,2.71,20.13
DARTMOOR,30/03/2011,2.5,0.4, ,17.3,10.0,99,56,4.15,15.03
DARTMOOR,31/03/2011,2.1,0.4, ,17.0,5.3,99,60,1.44,16.86
Totals:,,101.2,45.2, ,,,,,, 
