'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for DARTMOOR Victoria for November 2011,,,,,,,,,,
Issued at 22:35 GMT on Thursday 01 December 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
DARTMOOR,01/11/2011,2.3,0.0, ,17.2,10.6,99,70,3.02,12.78
DARTMOOR,02/11/2011,1.9,1.2, ,15.4,11.5,100,87,3.46,13.96
DARTMOOR,03/11/2011,2.3,4.4, ,16.6,10.4,100,73,2.04,14.45
DARTMOOR,04/11/2011,4.9,0.2, ,24.9,9.3,99,45,1.44,30.25
DARTMOOR,05/11/2011,6.7,0.0, ,32.0,8.8,100,24,2.62,30.72
DARTMOOR,06/11/2011,4.7,0.0, ,22.2,16.8,99,49,3.69,25.53
DARTMOOR,07/11/2011,5.7,0.0, ,29.0,6.8,100,29,2.31,28.82
DARTMOOR,08/11/2011,5.0,6.2, ,27.6,13.8,100,55,2.95,26.46
DARTMOOR,09/11/2011,5.5,0.2, ,29.0,15.8,100,52,5.04,25.05
DARTMOOR,10/11/2011,4.5,10.6, ,19.7,9.1,99,50,4.59,29.55
DARTMOOR,11/11/2011,4.3,0.0, ,21.2,6.9,100,53,2.41,28.13
DARTMOOR,12/11/2011,4.7,0.0, ,23.2,8.4,100,55,1.63,30.42
DARTMOOR,13/11/2011,4.5,0.0, ,26.6,13.2,99,43,2.36,21.56
DARTMOOR,14/11/2011,4.6,0.0, ,21.2,11.5,99,51,5.02,26.74
DARTMOOR,15/11/2011,4.9,0.0, ,24.9,7.8,100,47,3.63,26.78
DARTMOOR,16/11/2011,4.8,0.0, ,19.5,4.8,99,37,2.38,32.72
DARTMOOR,17/11/2011,6.0,0.0, ,29.1,8.3,92,36,2.95,28.57
DARTMOOR,18/11/2011,7.2,0.4, ,34.6,13.7,99,28,4.44,22.55
DARTMOOR,19/11/2011,3.9,9.6, ,18.9,14.7,100,62,2.52,24.31
DARTMOOR,20/11/2011,4.3,1.2, ,19.3,5.6,100,50,4.60,28.17
DARTMOOR,21/11/2011,4.6,0.0, ,20.8,8.9,95,47,3.83,26.86
DARTMOOR,22/11/2011,3.9,0.6, ,18.4,8.3,100,50,3.24,24.27
DARTMOOR,23/11/2011,4.4,1.0, ,19.0,5.1,100,44,4.01,28.85
DARTMOOR,24/11/2011,5.5,0.0, ,22.1,10.9,94,49,5.34,32.65
DARTMOOR,25/11/2011,4.0,0.0, ,23.8,10.6,100,63,4.23,22.01
DARTMOOR,26/11/2011,2.8,11.2, ,19.6,11.4,100,80,3.76,18.97
DARTMOOR,27/11/2011,3.7,2.6, ,20.8,11.7,100,66,2.53,22.73
DARTMOOR,28/11/2011,3.5,0.0, ,22.0,11.3,100,63,1.80,20.63
DARTMOOR,29/11/2011,4.5,0.2, ,26.9,13.0,99,44,3.49,18.25
DARTMOOR,30/11/2011,4.6,21.0, ,17.5,9.7,100,45,5.62,30.44
Totals:,,134.2,70.6, ,,,,,, 
