'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for DARTMOOR Victoria for August 2012,,,,,,,,,,
Issued at 22:38 GMT on Saturday 01 September 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
DARTMOOR,01/08/2012,0.8,0.0, ,14.4,-0.8,100,68,0.63,10.45
DARTMOOR,02/08/2012,1.0,0.0, ,12.0,2.6,100,69,2.86,5.61
DARTMOOR,03/08/2012,1.1,0.8, ,14.4,3.5,100,74,3.31,9.40
DARTMOOR,04/08/2012,1.4,3.8, ,13.6,5.0,100,62,3.80,9.72
DARTMOOR,05/08/2012,1.4,3.2, ,13.0,7.2,99,70,6.38,9.67
DARTMOOR,06/08/2012,1.0,5.0, ,12.6,4.3,99,73,2.81,6.58
DARTMOOR,07/08/2012,1.9,0.2, ,15.8,4.9,99,55,4.92,11.32
DARTMOOR,08/08/2012,2.1,1.6, ,16.1,7.3,99,51,5.39,9.87
DARTMOOR,09/08/2012,1.4,2.4, ,12.9,7.1,98,68,5.26,8.82
DARTMOOR,10/08/2012,1.2,4.2, ,13.7,8.2,99,69,2.52,9.77
DARTMOOR,11/08/2012,1.1,1.6, ,14.3,3.0,100,76,1.97,9.30
DARTMOOR,12/08/2012,1.3,0.6, ,15.1,6.2,100,63,1.62,9.90
DARTMOOR,13/08/2012,1.4,0.2, ,14.2,0.0,100,64,3.18,8.72
DARTMOOR,14/08/2012,1.6,2.6, ,13.9,7.7,100,59,3.75,10.20
DARTMOOR,15/08/2012,1.6,0.6, ,13.7,6.4,99,60,3.96,9.53
DARTMOOR,16/08/2012,1.1,5.0, ,13.2,5.7,100,78,4.58,7.87
DARTMOOR,17/08/2012,1.1,22.0, ,11.3,6.5,100,76,7.29,5.31
DARTMOOR,18/08/2012,1.3,8.6, ,12.7,5.4,100,68,2.85,10.90
DARTMOOR,19/08/2012,0.9,1.0, ,13.0,7.2,100,87,1.79,6.45
DARTMOOR,20/08/2012,1.5,1.0, ,14.8,6.8,100,68,3.45,11.42
DARTMOOR,21/08/2012,1.5,0.6, ,12.0,8.0,99,64,5.06,7.70
DARTMOOR,22/08/2012,2.1,5.0, ,17.8,5.0,99,55,3.76,12.73
DARTMOOR,23/08/2012,0.8,2.0, ,10.7,7.5,100,89,4.34,7.63
DARTMOOR,24/08/2012,1.5,11.6, ,12.4,5.6,99,70,5.91,11.24
DARTMOOR,25/08/2012,1.7,1.6, ,14.9,5.7,99,66,4.57,10.29
DARTMOOR,26/08/2012,1.7,1.8, ,12.5,8.5,81,65,3.47,8.49
DARTMOOR,27/08/2012,1.9,0.0, ,13.7,7.3,84,68,4.56,12.02
DARTMOOR,28/08/2012,3.1,0.0, ,18.8,7.9,75,42,4.65,11.15
DARTMOOR,29/08/2012,2.3,0.2, ,14.7,8.3,98,43,4.78,10.58
DARTMOOR,30/08/2012,1.7,15.2, ,12.0,4.9,99,66,5.88,13.16
DARTMOOR,31/08/2012,1.3,3.0, ,13.1,6.3,100,85,3.79,12.56
Totals:,,45.8,105.4, ,,,,,, 
