'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for DARTMOOR Victoria for October 2014,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 November 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
DARTMOOR,01/10/2014,2.3,6.8, ,15.3,5.0,100,57,3.59,14.83
DARTMOOR,02/10/2014,1.8,0.0, ,16.6,8.8,100,74,2.52,10.75
DARTMOOR,03/10/2014,2.6,0.0, ,19.6,9.1,100,60,1.14,17.61
DARTMOOR,04/10/2014,5.3,0.2, ,28.8,5.3,100,27,3.75,19.33
DARTMOOR,05/10/2014,3.4,0.0, ,18.7,10.8,99,48,3.28,20.57
DARTMOOR,06/10/2014,3.7,0.6, ,25.3,8.9,100,42,6.03,5.12
DARTMOOR,07/10/2014,2.8,1.4, ,16.5,10.1,100,52,4.47,16.01
DARTMOOR,08/10/2014,2.8,0.6, ,19.0,6.9,100,58,2.93,16.48
DARTMOOR,09/10/2014,3.3,0.2, ,22.8,3.4,100,41,1.54,20.18
DARTMOOR,10/10/2014,5.2,0.2, ,29.1,8.6,100,25,3.40,19.51
DARTMOOR,11/10/2014,3.3,0.0, ,20.8,10.7,100,54,2.11,20.30
DARTMOOR,12/10/2014,2.6,0.0, ,19.6,2.3,100,61,3.17,14.41
DARTMOOR,13/10/2014,3.0,5.2, ,14.0,6.0,100,46,5.96,18.91
DARTMOOR,14/10/2014,2.8,3.4, ,15.9,3.5,100,48,3.25,17.00
DARTMOOR,15/10/2014,1.7,0.0, ,14.4,7.6,100,59,1.69,9.13
DARTMOOR,16/10/2014,3.0,4.0, ,16.0,8.2,100,54,3.44,20.13
DARTMOOR,17/10/2014,3.6,0.0, ,20.2,1.6,100,39,1.73,25.00
DARTMOOR,18/10/2014,6.0,0.0, ,30.6,8.7,99,18,3.64,20.16
DARTMOOR,19/10/2014,2.0,0.0, ,18.3,7.5,100,76,3.04,11.56
DARTMOOR,20/10/2014,4.4,0.0, ,20.5,7.6,100,45,5.47,25.61
DARTMOOR,21/10/2014,5.6,0.0, ,30.1,6.9,100,28,2.77,25.52
DARTMOOR,22/10/2014,5.4,0.0, ,28.7,12.1,100,36,3.66,22.95
DARTMOOR,23/10/2014,3.0,0.0, ,20.8,12.9,100,67,5.31,16.48
DARTMOOR,24/10/2014,4.6,0.0, ,25.0,8.5,100,42,2.69,25.54
DARTMOOR,25/10/2014,2.6,0.0, ,18.8,12.5,100,70,2.94,15.42
DARTMOOR,26/10/2014,4.3,0.0, ,26.6,9.3,100,35,2.89,17.57
DARTMOOR,27/10/2014,3.7,0.6, ,17.9,10.9,100,45,5.88,19.39
DARTMOOR,28/10/2014,3.0,0.6, ,18.4,10.4,100,59,5.38,16.39
DARTMOOR,29/10/2014,3.0,0.0, ,20.7,10.3,100,54,3.34,13.91
DARTMOOR,30/10/2014,3.3,0.0, ,21.0,9.7,100,51,2.54,17.84
DARTMOOR,31/10/2014,7.8,0.2, ,33.5,6.6,100,17,4.83,21.38
Totals:,,111.9,24, ,,,,,, 
