'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for DARTMOOR Victoria for July 2021,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 August 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
DARTMOOR,01/07/2021,0.7,0.0, ,15.0,8.9,99,80,2.27,7.47
DARTMOOR,02/07/2021,0.6,2.4, ,9.8,8.4,100,85,3.26,2.82
DARTMOOR,03/07/2021,0.5,34.0, ,10.3,4.6,100,90,3.55,7.31
DARTMOOR,04/07/2021,0.6,5.6, ,12.1,5.4,100,88,3.10,6.96
DARTMOOR,05/07/2021,0.6,11.8, ,11.2,3.5,100,80,1.34,6.74
DARTMOOR,06/07/2021,0.7,0.4, ,12.2,5.6,100,74,1.92,7.19
DARTMOOR,07/07/2021,0.8,0.0, ,13.3,2.6,99,66,2.04,8.43
DARTMOOR,08/07/2021,0.7,0.0, ,11.7,0.7,99,70,1.71,8.24
DARTMOOR,09/07/2021,0.5,0.0, ,12.7,-1.6,100,69,0.35,9.57
DARTMOOR,10/07/2021,0.5,0.2, ,14.8,-2.1,100,58,0.28,9.62
DARTMOOR,11/07/2021,1.2,0.0, ,13.8,-0.5,100,57,3.23,9.38
DARTMOOR,12/07/2021,1.2,0.0, ,13.0,5.4,100,62,3.97,6.62
DARTMOOR,13/07/2021,0.6,3.0, ,12.9,8.4,100,89,3.14,4.87
DARTMOOR,14/07/2021,0.5,2.4, ,13.7,9.0,100,96,3.86,4.35
DARTMOOR,15/07/2021,0.8,5.4, ,14.7,10.3,100,86,4.24,7.39
DARTMOOR,16/07/2021,0.6,6.8, ,13.2,7.7,100,90,4.57,5.71
DARTMOOR,17/07/2021,1.0,26.6, ,13.0,6.9,100,75,5.38,7.15
DARTMOOR,18/07/2021,0.8,2.2, ,13.8,6.7,100,76,2.44,8.10
DARTMOOR,19/07/2021,1.0,1.0, ,14.5,7.9,100,78,3.88,8.73
DARTMOOR,20/07/2021,1.3,11.4, ,11.0,8.4,100,61,5.46,8.78
DARTMOOR,21/07/2021,0.8,1.6, ,12.8,4.2,100,75,1.78,8.16
DARTMOOR,22/07/2021,0.9,0.2, ,10.1,4.4,100,71,3.38,5.10
DARTMOOR,23/07/2021,0.7,0.2, ,10.9,6.1,99,82,3.23,7.64
DARTMOOR,24/07/2021,1.1,3.0, ,13.0,6.4,100,76,6.12,6.69
DARTMOOR,25/07/2021,0.6,13.4, ,12.0,4.0,100,94,3.81,7.68
DARTMOOR,26/07/2021,0.5,2.0, ,15.1,5.3,100,98,4.56,5.76
DARTMOOR,27/07/2021,2.0,5.6, ,16.7,8.8,99,54,5.83,5.44
DARTMOOR,28/07/2021,1.0,5.6, ,10.8,8.8,99,76,5.67,6.15
DARTMOOR,29/07/2021,1.4,8.0, ,14.5,5.4,100,62,3.80,9.09
DARTMOOR,30/07/2021,2.5,0.4, ,14.6,7.5,65,56,6.30,9.21
DARTMOOR,31/07/2021,1.1,0.0, ,12.8,9.8,100,66,3.91,3.92
Totals:,,27.8,153.2, ,,,,,, 
