'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for DARTMOOR Victoria for December 2023,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 January 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
DARTMOOR,01/12/2023,2.5,0.0, ,18.5,11.7,92,71,4.87,12.04
DARTMOOR,02/12/2023,4.0,0.4, ,20.1,13.1,96,50,4.37,20.67
DARTMOOR,03/12/2023,4.9,0.0, ,25.2,7.7,96,42,2.05,27.20
DARTMOOR,04/12/2023,7.6,0.0, ,31.7,10.9,94,22,3.67,31.18
DARTMOOR,05/12/2023,6.0,0.0, ,27.8,14.5,94,32,2.72,28.67
DARTMOOR,06/12/2023,4.8,0.0, ,23.0,7.2,98,41,1.95,28.79
DARTMOOR,07/12/2023,5.9,0.0, ,28.8,8.0,95,20,1.74,30.18
DARTMOOR,08/12/2023,6.1,0.0, ,34.5,13.5,90,31,3.40,18.04
DARTMOOR,09/12/2023,1.8,2.6, ,15.8,14.0,96,68,4.43,5.74
DARTMOOR,10/12/2023,2.0,2.8, ,16.3,12.3,93,69,6.55,6.02
DARTMOOR,11/12/2023,2.0,6.6, ,20.4,12.8,95,83,7.20,9.26
DARTMOOR,12/12/2023,6.0,1.4, ,34.0,14.1,94,47,4.06,21.41
DARTMOOR,13/12/2023,5.6,9.8, ,30.0,16.6,98,35,3.39,21.24
DARTMOOR,14/12/2023,2.5,3.2, ,19.4,14.6,95,69,3.45,11.21
DARTMOOR,15/12/2023,4.3,0.0, ,20.9,8.9,99,44,2.73,24.97
DARTMOOR,16/12/2023,3.8,0.2, ,19.6,9.5,96,48,3.50,20.80
DARTMOOR,17/12/2023,4.9,0.0, ,23.4,7.2,98,46,2.44,29.26
DARTMOOR,18/12/2023,2.6,1.8, ,25.6,13.7,96,51,2.35,7.56
DARTMOOR,19/12/2023,4.8,9.2, ,18.6,12.0,96,46,4.94,29.41
DARTMOOR,20/12/2023,3.9,0.2, ,19.1,6.9,88,48,4.84,19.43
DARTMOOR,21/12/2023,5.0,0.0, ,22.8,11.0,85,52,6.28,24.52
DARTMOOR,22/12/2023,6.4,0.0, ,24.8,13.2,91,41,6.34,31.43
DARTMOOR,23/12/2023,6.5,0.0, ,25.4,10.0,87,35,4.92,32.20
DARTMOOR,24/12/2023,2.9,0.0, ,20.0,11.3,95,62,6.06,10.69
DARTMOOR,25/12/2023,1.3,5.6, ,16.8,12.9,96,87,8.18,5.63
DARTMOOR,26/12/2023,2.7,9.6, ,20.6,14.6,95,74,6.96,13.02
DARTMOOR,27/12/2023,2.6,0.2, ,21.0,14.9,98,81,3.74,14.48
DARTMOOR,28/12/2023,4.1,0.2, ,21.0,13.5,98,59,3.06,23.75
DARTMOOR,29/12/2023,4.5,0.2, ,19.2,9.1,98,50,3.18,29.66
DARTMOOR,30/12/2023,4.0,0.0, ,19.1,12.8,87,50,3.72,20.57
DARTMOOR,31/12/2023,4.6,0.2, ,21.9,8.7,93,55,3.47,27.54
Totals:,,130.6,54.2, ,,,,,, 
