'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for DINNER PLAIN (MOUNT HOTHAM AIRPORT) Victoria for March 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
DINNER PLAIN (MOUNT HOTHAM AIRPORT),01/03/2009,3.7,0.0, ,21.1,4.5,99,41,1.75,23.19
DINNER PLAIN (MOUNT HOTHAM AIRPORT),02/03/2009,4.4,0.0, ,23.1,3.3,99,26,2.17,25.03
DINNER PLAIN (MOUNT HOTHAM AIRPORT),03/03/2009,4.6,0.0, ,21.6,10.2,66,38,6.72,11.38
DINNER PLAIN (MOUNT HOTHAM AIRPORT),04/03/2009,3.5,3.6, ,13.0,5.6,93,43,7.52,22.29
DINNER PLAIN (MOUNT HOTHAM AIRPORT),05/03/2009,3.5,0.6, ,13.4,2.5,100,37,4.27,25.18
DINNER PLAIN (MOUNT HOTHAM AIRPORT),06/03/2009,3.8,0.0, ,18.4,-0.1,93,30,1.96,26.32
DINNER PLAIN (MOUNT HOTHAM AIRPORT),07/03/2009,4.3,0.0, ,20.5,0.8,96,27,2.79,25.91
DINNER PLAIN (MOUNT HOTHAM AIRPORT),08/03/2009,3.8,0.0, ,19.6,6.8,95,38,1.86,24.64
DINNER PLAIN (MOUNT HOTHAM AIRPORT),09/03/2009,4.1,0.0, ,24.3,3.6,99,25,1.77,23.83
DINNER PLAIN (MOUNT HOTHAM AIRPORT),10/03/2009,3.4,0.0, ,23.2,6.5,99,34,1.95,17.19
DINNER PLAIN (MOUNT HOTHAM AIRPORT),11/03/2009,3.2,0.2, ,21.7,8.6,99,41,1.60,17.60
DINNER PLAIN (MOUNT HOTHAM AIRPORT),12/03/2009,2.5,0.0, ,20.4,11.6,99,53,2.60,10.79
DINNER PLAIN (MOUNT HOTHAM AIRPORT),13/03/2009,2.6,4.4, ,19.2,9.4,99,62,2.47,14.45
DINNER PLAIN (MOUNT HOTHAM AIRPORT),14/03/2009,2.0,10.2, ,16.7,9.0,100,63,3.56,8.58
DINNER PLAIN (MOUNT HOTHAM AIRPORT),15/03/2009,3.0, , ,11.2,1.8,77,48,6.17,20.23
DINNER PLAIN (MOUNT HOTHAM AIRPORT),16/03/2009,3.2,0.0, ,12.9,2.7,85,45,6.02,20.89
DINNER PLAIN (MOUNT HOTHAM AIRPORT),17/03/2009,3.5,0.0, ,18.3,-0.6,99,33,2.34,23.88
DINNER PLAIN (MOUNT HOTHAM AIRPORT),18/03/2009,4.0,0.0, ,22.3,2.0,100,23,2.65,21.42
DINNER PLAIN (MOUNT HOTHAM AIRPORT),19/03/2009,5.0,0.0, ,22.4,9.7,48,22,3.29,24.14
DINNER PLAIN (MOUNT HOTHAM AIRPORT),20/03/2009, ,0.0, ,24.8,8.3,53,21,2.91, 
DINNER PLAIN (MOUNT HOTHAM AIRPORT),21/03/2009, ,0.0, ,24.6,9.1,62,24,2.59, 
DINNER PLAIN (MOUNT HOTHAM AIRPORT),22/03/2009, ,0.0, ,21.7,10.0,72,37,5.23, 
DINNER PLAIN (MOUNT HOTHAM AIRPORT),23/03/2009,4.3,0.4, ,23.6,10.7,99,33,3.47,22.50
DINNER PLAIN (MOUNT HOTHAM AIRPORT),24/03/2009,4.3,0.2, ,22.7,4.3,99,14,3.06,20.59
DINNER PLAIN (MOUNT HOTHAM AIRPORT),25/03/2009,2.7,1.2, ,16.8,11.5,97,34,3.28,10.79
DINNER PLAIN (MOUNT HOTHAM AIRPORT),26/03/2009,3.8,8.2, ,20.6,7.9,96,29,3.22,21.06
DINNER PLAIN (MOUNT HOTHAM AIRPORT),27/03/2009, ,0.0, ,18.6,2.4,99,34,1.94, 
DINNER PLAIN (MOUNT HOTHAM AIRPORT),28/03/2009, ,0.0, ,23.1,3.1,85,20,1.83, 
DINNER PLAIN (MOUNT HOTHAM AIRPORT),29/03/2009, ,0.0, ,23.8,6.7,71,17,1.77, 
DINNER PLAIN (MOUNT HOTHAM AIRPORT),30/03/2009,3.6,0.0, ,22.9,6.1,99,23,2.01,21.25
DINNER PLAIN (MOUNT HOTHAM AIRPORT),31/03/2009,3.1,0.2, ,20.5,4.1,99,41,2.06,20.02
Totals:,,89.9,29.2, ,,,,,, 
