'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for DINNER PLAIN (MOUNT HOTHAM AIRPORT) Victoria for May 2012,,,,,,,,,,
Issued at 22:38 GMT on Friday 01 June 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
DINNER PLAIN (MOUNT HOTHAM AIRPORT),01/05/2012,1.6,0.0, ,12.9,2.0,84,59,4.38,3.61
DINNER PLAIN (MOUNT HOTHAM AIRPORT),02/05/2012,0.8,0.0, ,11.0,6.7,99,78,2.64,2.54
DINNER PLAIN (MOUNT HOTHAM AIRPORT),03/05/2012,1.1,17.6, ,7.3,-3.6,99,63,2.98,10.29
DINNER PLAIN (MOUNT HOTHAM AIRPORT),04/05/2012,1.3,0.0, ,9.1,1.5,95,59,3.35,11.42
DINNER PLAIN (MOUNT HOTHAM AIRPORT),05/05/2012,1.2,0.0, ,10.8,-2.9,99,58,1.66,11.73
DINNER PLAIN (MOUNT HOTHAM AIRPORT),06/05/2012,1.3,0.0, ,11.3,-2.4,99,51,2.18,12.08
DINNER PLAIN (MOUNT HOTHAM AIRPORT),07/05/2012,0.8,0.0, ,8.8,-1.4,92,76,2.78,3.65
DINNER PLAIN (MOUNT HOTHAM AIRPORT),08/05/2012,1.9,0.0, ,13.1,2.3,86,54,5.23,10.79
DINNER PLAIN (MOUNT HOTHAM AIRPORT),09/05/2012,2.8,0.0, ,14.7,7.3,91,42,8.69,9.69
DINNER PLAIN (MOUNT HOTHAM AIRPORT),10/05/2012,1.9,6.8, ,14.3,3.4,93,41,3.22,10.56
DINNER PLAIN (MOUNT HOTHAM AIRPORT),11/05/2012,2.0,0.0, ,10.8,5.9,81,52,6.32,9.60
DINNER PLAIN (MOUNT HOTHAM AIRPORT),12/05/2012,1.5,0.0, ,7.2,-2.9,85,48,4.23,10.28
DINNER PLAIN (MOUNT HOTHAM AIRPORT),13/05/2012,0.8,0.6, ,3.8,0.8,98,70,4.41,5.52
DINNER PLAIN (MOUNT HOTHAM AIRPORT),14/05/2012,1.0,2.2, ,5.9,-1.4,99,64,4.00,8.53
DINNER PLAIN (MOUNT HOTHAM AIRPORT),15/05/2012,0.6,0.2, ,6.4,-0.7,99,81,2.65,3.43
DINNER PLAIN (MOUNT HOTHAM AIRPORT),16/05/2012,0.9,0.4, ,9.3,-1.4,99,64,1.73,6.29
DINNER PLAIN (MOUNT HOTHAM AIRPORT),17/05/2012,1.1,0.0, ,10.8,-4.5,99,39,1.48,9.72
DINNER PLAIN (MOUNT HOTHAM AIRPORT),18/05/2012,1.6,0.0, ,11.0,-3.0,78,37,2.74,6.42
DINNER PLAIN (MOUNT HOTHAM AIRPORT),19/05/2012,1.2,0.0, ,10.5,0.0,99,57,3.04,7.98
DINNER PLAIN (MOUNT HOTHAM AIRPORT),20/05/2012,0.8,0.2, ,9.0,0.4,99,61,1.41,8.88
DINNER PLAIN (MOUNT HOTHAM AIRPORT),21/05/2012,1.3,0.0, ,10.1,-2.3,99,43,2.95,9.29
DINNER PLAIN (MOUNT HOTHAM AIRPORT),22/05/2012,1.5,0.0, ,8.6,-3.0,84,60,6.85,8.79
DINNER PLAIN (MOUNT HOTHAM AIRPORT),23/05/2012,2.1,0.0, ,9.3,4.1,73,53,8.47,9.14
DINNER PLAIN (MOUNT HOTHAM AIRPORT),24/05/2012,1.1,0.0, ,10.3,4.3,99,55,2.98,3.75
DINNER PLAIN (MOUNT HOTHAM AIRPORT),25/05/2012,0.7,21.2, ,3.1,0.4,99,74,6.85,5.21
DINNER PLAIN (MOUNT HOTHAM AIRPORT),26/05/2012,1.0,0.4, ,6.7,-0.2,91,72,5.42,6.70
DINNER PLAIN (MOUNT HOTHAM AIRPORT),27/05/2012,1.0,0.6, ,8.5,2.0,99,56,2.74,8.54
DINNER PLAIN (MOUNT HOTHAM AIRPORT),28/05/2012,0.8,0.0, ,8.4,-1.6,99,68,2.41,6.49
DINNER PLAIN (MOUNT HOTHAM AIRPORT),29/05/2012,1.1,0.0, ,12.8,-3.1,97,27,1.28,8.42
DINNER PLAIN (MOUNT HOTHAM AIRPORT),30/05/2012,0.9,0.0, ,12.5,-2.2,99,47,1.33,8.57
DINNER PLAIN (MOUNT HOTHAM AIRPORT),31/05/2012,1.2,0.0, ,13.7,-5.9,99,36,1.61,8.47
Totals:,,38.9,50.2, ,,,,,, 
