'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for DINNER PLAIN (MOUNT HOTHAM AIRPORT) Victoria for January 2014,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 February 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
DINNER PLAIN (MOUNT HOTHAM AIRPORT),01/01/2014,4.2,0.0, ,18.3,6.9,88,31,6.62,12.57
DINNER PLAIN (MOUNT HOTHAM AIRPORT),02/01/2014,6.0,0.0, ,21.3,10.8,96,23,4.16,31.33
DINNER PLAIN (MOUNT HOTHAM AIRPORT),03/01/2014,5.0,0.0, ,20.1,7.3,99,36,3.99,27.52
DINNER PLAIN (MOUNT HOTHAM AIRPORT),04/01/2014,4.2,0.0, ,14.6,0.9,99,50,3.59,33.60
DINNER PLAIN (MOUNT HOTHAM AIRPORT),05/01/2014,5.3,0.0, ,17.8,2.4,90,34,6.76,32.53
DINNER PLAIN (MOUNT HOTHAM AIRPORT),06/01/2014,4.7,1.4, ,14.2,1.2,89,39,4.69,34.85
DINNER PLAIN (MOUNT HOTHAM AIRPORT),07/01/2014,4.2,0.0, ,14.0,1.3,92,43,3.45,31.52
DINNER PLAIN (MOUNT HOTHAM AIRPORT),08/01/2014,4.5,0.0, ,18.5,3.1,99,43,2.40,29.61
DINNER PLAIN (MOUNT HOTHAM AIRPORT),09/01/2014,3.5,0.0, ,20.8,4.6,99,46,1.93,18.46
DINNER PLAIN (MOUNT HOTHAM AIRPORT),10/01/2014,3.5,0.0, ,22.1,8.8,99,44,2.19,16.43
DINNER PLAIN (MOUNT HOTHAM AIRPORT),11/01/2014,5.9,0.0, ,25.0,13.2,99,41,4.16,29.52
DINNER PLAIN (MOUNT HOTHAM AIRPORT),12/01/2014,6.3,0.0, ,25.9,6.2,99,19,2.34,34.12
DINNER PLAIN (MOUNT HOTHAM AIRPORT),13/01/2014,6.9,0.0, ,30.9,8.5,59,12,1.91,33.80
DINNER PLAIN (MOUNT HOTHAM AIRPORT),14/01/2014,7.7,0.0, ,31.0,13.0,57,24,3.39,31.96
DINNER PLAIN (MOUNT HOTHAM AIRPORT),15/01/2014,7.4,0.0, ,32.3,14.8,100,22,4.11,27.33
DINNER PLAIN (MOUNT HOTHAM AIRPORT),16/01/2014,6.6,0.0, ,32.7,15.5,63,19,2.10,27.58
DINNER PLAIN (MOUNT HOTHAM AIRPORT),17/01/2014,8.2,0.0, ,33.1,15.8,63,13,3.27,32.63
DINNER PLAIN (MOUNT HOTHAM AIRPORT),18/01/2014,5.9,0.0, ,28.3,13.6,100,24,2.63,26.13
DINNER PLAIN (MOUNT HOTHAM AIRPORT),19/01/2014,4.2,0.0, ,21.2,10.4,100,58,2.54,24.85
DINNER PLAIN (MOUNT HOTHAM AIRPORT),20/01/2014,1.3,1.0, ,15.9,11.0,100,80,2.30,4.73
DINNER PLAIN (MOUNT HOTHAM AIRPORT),21/01/2014,3.4,0.2, ,18.6,10.5,100,59,2.70,19.08
DINNER PLAIN (MOUNT HOTHAM AIRPORT),22/01/2014,5.2,0.0, ,22.0,3.7,99,34,2.18,32.17
DINNER PLAIN (MOUNT HOTHAM AIRPORT),23/01/2014,5.8,0.0, ,26.5,4.6,94,17,1.86,31.57
DINNER PLAIN (MOUNT HOTHAM AIRPORT),24/01/2014,1.9,4.0, ,14.4,11.8,99,40,2.97,3.86
DINNER PLAIN (MOUNT HOTHAM AIRPORT),25/01/2014,3.3,23.2, ,13.3,3.4,99,54,3.31,23.72
DINNER PLAIN (MOUNT HOTHAM AIRPORT),26/01/2014,5.0,0.2, ,22.3,0.9,99,33,1.70,31.96
DINNER PLAIN (MOUNT HOTHAM AIRPORT),27/01/2014,6.0,0.0, ,26.0,8.3,82,31,2.51,31.78
DINNER PLAIN (MOUNT HOTHAM AIRPORT),28/01/2014,6.6,0.0, ,26.4,11.2,78,33,4.11,31.59
DINNER PLAIN (MOUNT HOTHAM AIRPORT),29/01/2014,7.1,0.0, ,29.2,18.0,94,30,4.53,30.36
DINNER PLAIN (MOUNT HOTHAM AIRPORT),30/01/2014,6.9,0.0, ,29.2,8.9,100,30,4.52,30.27
DINNER PLAIN (MOUNT HOTHAM AIRPORT),31/01/2014,6.9,0.0, ,31.0,16.6,99,27,3.72,28.40
Totals:,,163.6,30, ,,,,,, 
