'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for DINNER PLAIN (MOUNT HOTHAM AIRPORT) Victoria for February 2024,,,,,,,,,,
Issued at 22:30 GMT on Friday 01 March 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
DINNER PLAIN (MOUNT HOTHAM AIRPORT),01/02/2024, , , ,23.8, ,86,29,2.50,29.10
DINNER PLAIN (MOUNT HOTHAM AIRPORT),02/02/2024,5.3,0.0, ,22.4,5.4,85,19,2.54,28.95
DINNER PLAIN (MOUNT HOTHAM AIRPORT),03/02/2024,5.7,0.0, ,25.1,6.3,69,30,2.86,28.80
DINNER PLAIN (MOUNT HOTHAM AIRPORT),04/02/2024,6.8,0.0, ,27.5,11.3,62,25,4.55,25.33
DINNER PLAIN (MOUNT HOTHAM AIRPORT),05/02/2024, ,0.0, , ,18.4,100,29,4.70,6.52
DINNER PLAIN (MOUNT HOTHAM AIRPORT),06/02/2024,2.3, , ,13.0,7.7,100,41,2.55,10.48
DINNER PLAIN (MOUNT HOTHAM AIRPORT),07/02/2024, ,0.0, , ,2.2,99,59,1.76,23.82
DINNER PLAIN (MOUNT HOTHAM AIRPORT),08/02/2024, , , , , ,100,55,1.47,22.19
DINNER PLAIN (MOUNT HOTHAM AIRPORT),09/02/2024, , , ,21.8, ,100,47,2.07,25.40
DINNER PLAIN (MOUNT HOTHAM AIRPORT),10/02/2024,4.2,0.0, ,20.1,4.9,100,51,1.74,27.67
DINNER PLAIN (MOUNT HOTHAM AIRPORT),11/02/2024,3.9,0.0, ,23.4,8.3,100,41,1.80,20.39
DINNER PLAIN (MOUNT HOTHAM AIRPORT),12/02/2024,5.1,0.0, ,24.5,10.2,85,45,2.90,27.04
DINNER PLAIN (MOUNT HOTHAM AIRPORT),13/02/2024,5.9,0.0, ,25.6,14.8,89,42,6.79,24.20
DINNER PLAIN (MOUNT HOTHAM AIRPORT),14/02/2024,1.3,7.2, ,10.7,7.8,100,71,2.04,5.53
DINNER PLAIN (MOUNT HOTHAM AIRPORT),15/02/2024,3.9,0.0, ,20.2,5.2,100,54,2.01,25.67
DINNER PLAIN (MOUNT HOTHAM AIRPORT),16/02/2024,3.8,0.0, ,23.2,7.8,100,42,1.83,20.04
DINNER PLAIN (MOUNT HOTHAM AIRPORT),17/02/2024,4.9,0.0, ,24.9,9.9,100,35,2.21,26.46
DINNER PLAIN (MOUNT HOTHAM AIRPORT),18/02/2024,4.8,0.0, ,25.2,8.9,100,19,1.70,25.65
DINNER PLAIN (MOUNT HOTHAM AIRPORT),19/02/2024,4.3,0.0, ,23.1,7.2,100,37,1.68,24.67
DINNER PLAIN (MOUNT HOTHAM AIRPORT),20/02/2024,4.5,0.0, ,24.3,8.2,100,43,2.67,23.84
DINNER PLAIN (MOUNT HOTHAM AIRPORT),21/02/2024,3.8,2.0, ,23.7,11.0,92,42,2.26,18.51
DINNER PLAIN (MOUNT HOTHAM AIRPORT),22/02/2024,5.2,0.0, ,24.6,11.3,91,45,5.71,24.09
DINNER PLAIN (MOUNT HOTHAM AIRPORT),23/02/2024,3.1,4.6, ,20.4,14.2,100,62,2.91,16.60
DINNER PLAIN (MOUNT HOTHAM AIRPORT),24/02/2024,3.8,0.2, ,19.6,4.4,99,29,1.53,24.45
DINNER PLAIN (MOUNT HOTHAM AIRPORT),25/02/2024,4.5,0.0, ,22.4,5.9,99,36,3.66,23.09
DINNER PLAIN (MOUNT HOTHAM AIRPORT),26/02/2024,3.6,0.0, ,21.8,8.5,100,43,1.64,20.71
DINNER PLAIN (MOUNT HOTHAM AIRPORT),27/02/2024,4.3,0.0, ,23.6,6.5,100,39,2.26,24.37
DINNER PLAIN (MOUNT HOTHAM AIRPORT),28/02/2024,5.2,0.0, ,26.4,11.9,72,38,3.67,22.10
DINNER PLAIN (MOUNT HOTHAM AIRPORT),29/02/2024,5.9,0.0, ,27.8,20.0,100,25,4.74,22.73
Totals:,,106.1,14, ,,,,,, 
