'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for EAST SALE AIRPORT Victoria for March 2011,,,,,,,,,,
Issued at 22:34 GMT on Friday 01 April 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
EAST SALE AIRPORT,01/03/2011,4.7,0.6,2.4,18.9,13.3,97,32,7.54,22.60
EAST SALE AIRPORT,02/03/2011,4.2,0.6,4.8,20.0,6.9,91,43,4.07,24.91
EAST SALE AIRPORT,03/03/2011,3.4,0.2,7.2,17.9,9.5,93,49,6.54,16.09
EAST SALE AIRPORT,04/03/2011,3.6,0.0,4.2,18.0,12.6,80,55,6.16,15.92
EAST SALE AIRPORT,05/03/2011,4.6,0.4,4.4,19.2,7.2,90,36,5.95,26.02
EAST SALE AIRPORT,06/03/2011,4.4,0.0,5.4,22.4,6.7,100,43,3.52,26.35
EAST SALE AIRPORT,07/03/2011,5.6,0.0,4.4,29.1,8.0,100,29,3.12,26.43
EAST SALE AIRPORT,08/03/2011,4.5,0.0,5.2,30.3,9.9,96,28,2.39,16.96
EAST SALE AIRPORT,09/03/2011,4.0,0.0,3.4,28.3,14.6,97,46,2.81,17.45
EAST SALE AIRPORT,10/03/2011,1.4,14.6,4.2,18.7,16.5,97,89,3.04,7.27
EAST SALE AIRPORT,11/03/2011,3.1,3.4,0.6,22.2,16.5,97,67,5.35,16.18
EAST SALE AIRPORT,12/03/2011,4.8,0.0,4.0,29.0,17.8,96,48,2.99,22.99
EAST SALE AIRPORT,13/03/2011,6.0,0.0,4.0,32.3,16.5,99,29,4.04,21.90
EAST SALE AIRPORT,14/03/2011,3.2,11.8,6.0,20.1,13.3,93,55,3.56,17.27
EAST SALE AIRPORT,15/03/2011,4.6,0.2,3.2,27.5,10.0,99,34,2.86,23.04
EAST SALE AIRPORT,16/03/2011,3.4,0.0,5.0,20.3,13.1,90,48,3.54,18.17
EAST SALE AIRPORT,17/03/2011,3.0,0.0,3.8,18.9,12.3,86,49,3.12,15.65
EAST SALE AIRPORT,18/03/2011,3.4,0.0,2.4,19.9,9.7,94,49,3.12,21.47
EAST SALE AIRPORT,19/03/2011,3.4,0.0,3.2,22.2,9.8,90,60,5.59,16.08
EAST SALE AIRPORT,20/03/2011,4.0,0.0,4.4,24.5,12.0,95,59,4.94,22.84
EAST SALE AIRPORT,21/03/2011,3.3,0.0,5.8,24.8,14.6,97,66,5.71,16.51
EAST SALE AIRPORT,22/03/2011,1.9,7.8,2.4,21.4,16.9,98,87,8.90,12.21
EAST SALE AIRPORT,23/03/2011,2.5,10.0,3.2,21.3,15.3,99,67,4.52,11.82
EAST SALE AIRPORT,24/03/2011,2.6,17.6,2.8,20.4,13.2,100,66,5.90,13.93
EAST SALE AIRPORT,25/03/2011,2.9,0.8,2.6,17.1,14.3,88,59,7.78,10.67
EAST SALE AIRPORT,26/03/2011,2.5,0.0,2.2,19.3,10.9,94,59,3.11,14.00
EAST SALE AIRPORT,27/03/2011,3.1,0.0,2.0,21.0,7.5,99,51,2.61,21.08
EAST SALE AIRPORT,28/03/2011,2.8,0.0,3.2,21.9,12.9,96,58,2.02,17.32
EAST SALE AIRPORT,29/03/2011,3.6,0.0,3.0,25.3,11.0,100,40,2.19,20.76
EAST SALE AIRPORT,30/03/2011,3.6,0.0,3.4,20.8,11.9,99,50,6.61,18.19
EAST SALE AIRPORT,31/03/2011,2.7,0.0,4.8,17.4,7.8,93,43,2.84,15.38
Totals:,,110.8,68,117.6,,,,,, 
