'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for EAST SALE AIRPORT Victoria for May 2013,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 June 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
EAST SALE AIRPORT,01/05/2013,1.6,0.0,2.6,15.2,2.9,100,60,4.52,4.46
EAST SALE AIRPORT,02/05/2013,2.3,0.2, ,17.3,5.5,94,41,3.58,13.93
EAST SALE AIRPORT,03/05/2013,4.3,0.2, ,24.1,-0.4,100,15,4.48,11.35
EAST SALE AIRPORT,04/05/2013,3.0,0.2, ,16.0,7.8,85,36,6.39,10.91
EAST SALE AIRPORT,05/05/2013,1.7,0.0,2.6,14.0,7.1,83,49,3.12,5.67
EAST SALE AIRPORT,06/05/2013,1.8,0.2,1.4,16.2,1.8,100,44,2.77,13.16
EAST SALE AIRPORT,07/05/2013,1.4,0.0,2.8,16.0,1.5,100,51,1.89,10.50
EAST SALE AIRPORT,08/05/2013,2.1,0.0,0.4,22.1,4.1,100,42,2.28,12.48
EAST SALE AIRPORT,09/05/2013,2.7,0.2,2.0,25.6,5.4,100,36,2.73,12.13
EAST SALE AIRPORT,10/05/2013,1.7,0.0,1.8,21.4,5.7,100,50,2.04,11.85
EAST SALE AIRPORT,11/05/2013,2.0,0.2,1.6,22.8,7.7,100,42,2.31,11.76
EAST SALE AIRPORT,12/05/2013,1.5,0.0,1.8,19.0,3.5,100,52,2.25,5.29
EAST SALE AIRPORT,13/05/2013,1.3,0.8,0.6,15.6,10.1,96,64,3.17,3.47
EAST SALE AIRPORT,14/05/2013,2.0,0.6,0.6,15.4,1.2,89,42,3.65,10.43
EAST SALE AIRPORT,15/05/2013,2.7,0.0,3.0,18.7,3.0,87,36,4.44,9.43
EAST SALE AIRPORT,16/05/2013,2.2,0.2,2.6,15.1,9.0,90,57,8.30,6.47
EAST SALE AIRPORT,17/05/2013,2.2,0.0,2.6,16.2,8.8,94,55,7.06,8.63
EAST SALE AIRPORT,18/05/2013,1.6,0.4,1.8,14.0,7.7,93,59,5.11,7.21
EAST SALE AIRPORT,19/05/2013,1.6,0.0,0.8,14.9,7.2,94,61,5.16,8.49
EAST SALE AIRPORT,20/05/2013,1.5,0.4,1.8,18.0,3.8,99,55,2.65,5.86
EAST SALE AIRPORT,21/05/2013,1.6,3.0,1.0,15.9,6.3,97,57,4.11,9.24
EAST SALE AIRPORT,22/05/2013,1.1,0.0,2.4,14.3,0.6,100,66,2.64,9.64
EAST SALE AIRPORT,23/05/2013,1.4,3.6,0.4,16.4,4.0,100,51,2.42,9.13
EAST SALE AIRPORT,24/05/2013,1.4,0.0,1.2,15.7,1.9,100,52,2.98,10.14
EAST SALE AIRPORT,25/05/2013,2.0,0.2,1.4,17.0,2.8,100,55,5.84,10.27
EAST SALE AIRPORT,26/05/2013,1.6,0.0,2.4,15.7,8.8,93,62,5.42,6.30
EAST SALE AIRPORT,27/05/2013,1.3,0.0,1.4,17.5,8.4,100,57,2.73,7.48
EAST SALE AIRPORT,28/05/2013,1.0,0.2,1.0,15.9,1.1,100,62,1.80,9.59
EAST SALE AIRPORT,29/05/2013,1.5,0.2,0.8,20.6,2.0,100,41,1.84,9.36
EAST SALE AIRPORT,30/05/2013,0.9,0.0,1.0,15.1,5.8,99,73,2.23,3.58
EAST SALE AIRPORT,31/05/2013,0.9,1.4,0.4,19.6,8.8,100,79,1.54,8.18
Totals:,,55.9,12.2,44.2,,,,,, 
