'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for EAST SALE AIRPORT Victoria for August 2013,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 September 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
EAST SALE AIRPORT,01/08/2013,1.6,0.0,1.6,15.9,1.4,100,43,2.39,13.11
EAST SALE AIRPORT,02/08/2013,2.7,0.2,1.2,16.7,0.6,100,34,5.61,7.85
EAST SALE AIRPORT,03/08/2013,2.6,2.0,2.6,14.7,4.1,89,45,7.73,10.58
EAST SALE AIRPORT,04/08/2013,2.3,1.4,4.0,14.0,4.0,88,48,6.97,8.16
EAST SALE AIRPORT,05/08/2013,2.8,0.4,2.2,17.1,8.8,76,47,6.05,11.10
EAST SALE AIRPORT,06/08/2013,3.0,1.8,4.2,15.2,10.3,89,43,9.20,12.20
EAST SALE AIRPORT,07/08/2013,1.7,0.2,2.8,15.6,4.6,95,49,2.65,12.27
EAST SALE AIRPORT,08/08/2013,1.8,12.0,1.8,14.7,6.5,97,51,3.95,8.56
EAST SALE AIRPORT,09/08/2013, ,2.0,2.0,13.2,3.6,95,57,3.82, 
EAST SALE AIRPORT,10/08/2013,2.9,0.2,1.0,15.8,7.8,84,45,7.41,14.35
EAST SALE AIRPORT,11/08/2013,2.2,0.0,3.6,17.4,1.2,98,41,3.31,12.72
EAST SALE AIRPORT,12/08/2013,2.8,0.0,1.6,17.3,4.1,89,50,8.16,9.76
EAST SALE AIRPORT,13/08/2013,3.3,1.6,2.8,16.0,6.0,85,37,7.46,15.22
EAST SALE AIRPORT,14/08/2013,4.0,0.0,4.8,18.1,10.6,84,35,9.50,8.62
EAST SALE AIRPORT,15/08/2013,2.4,3.8,3.4,15.4,5.2,91,54,6.23,14.74
EAST SALE AIRPORT,16/08/2013,3.2,0.0,2.6,19.5,-0.2,100,17,3.18,16.36
EAST SALE AIRPORT,17/08/2013,3.6,0.0,3.4,16.1,8.5,74,33,6.56,15.62
EAST SALE AIRPORT,18/08/2013,4.3,0.0,5.0,18.1,6.9,80,36,10.33,15.88
EAST SALE AIRPORT,19/08/2013,3.2,1.0,7.2,13.2,7.3,86,36,9.45,12.74
EAST SALE AIRPORT,20/08/2013,1.9,1.4,2.6,10.5,4.2,90,60,7.54,14.16
EAST SALE AIRPORT,21/08/2013,2.2,0.2,2.0,14.2,5.6,93,48,4.15,15.73
EAST SALE AIRPORT,22/08/2013,2.8,0.0,2.2,14.9,3.3,86,40,6.00,13.69
EAST SALE AIRPORT,23/08/2013,2.1,0.6,3.2,14.3,9.6,94,62,9.38,8.68
EAST SALE AIRPORT,24/08/2013,2.5,0.4,2.2,16.8,10.4,95,61,7.03,15.38
EAST SALE AIRPORT,25/08/2013,3.0,0.0,3.0,18.0,4.9,94,42,5.06,16.46
EAST SALE AIRPORT,26/08/2013,2.7,0.0,3.6,18.5,7.4,91,47,3.74,15.90
EAST SALE AIRPORT,27/08/2013,2.1,0.0,2.6,18.5,5.8,100,49,2.29,13.68
EAST SALE AIRPORT,28/08/2013,2.0,0.0,1.2,17.1,6.5,97,68,4.56,15.02
EAST SALE AIRPORT,29/08/2013,2.1,0.0,3.2,18.1,7.8,99,58,5.00,6.52
EAST SALE AIRPORT,30/08/2013,3.9,1.8,1.2,19.7,10.5,85,37,6.62,16.30
EAST SALE AIRPORT,31/08/2013,3.0,2.6,4.4,21.1,8.6,97,38,2.52,18.90
Totals:,,80.7,33.6,89.2,,,,,, 
