'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for EAST SALE AIRPORT Victoria for June 2021,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 July 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
EAST SALE AIRPORT,01/06/2021,0.9,0.0, ,12.4,-0.4,100,62,1.96,6.27
EAST SALE AIRPORT,02/06/2021,1.3,0.0, ,20.4,2.4,98,42,1.51,9.01
EAST SALE AIRPORT,03/06/2021,1.0,0.0, ,15.7,6.6,96,66,2.12,5.89
EAST SALE AIRPORT,04/06/2021,1.7,0.0, ,14.1,7.9,98,47,4.99,6.51
EAST SALE AIRPORT,05/06/2021,1.3,0.4, ,11.9,-0.5,98,51,3.45,7.32
EAST SALE AIRPORT,06/06/2021,1.5,0.0, ,18.3,5.0,88,57,3.01,8.63
EAST SALE AIRPORT,07/06/2021,1.5,0.0, ,18.1,6.3,90,57,3.07,5.84
EAST SALE AIRPORT,08/06/2021,1.5,0.0, ,15.6,3.6,87,51,3.10,6.05
EAST SALE AIRPORT,09/06/2021,0.8,1.0, ,14.7,3.4,99,87,8.17,2.63
EAST SALE AIRPORT,10/06/2021,1.0,72.0, ,14.2,6.7,98,79,7.94,5.55
EAST SALE AIRPORT,11/06/2021,0.9,2.8, ,15.9,6.5,99,80,4.66,6.69
EAST SALE AIRPORT,12/06/2021,1.2,29.8, ,14.3,10.0,98,74,7.12,5.62
EAST SALE AIRPORT,13/06/2021,1.3,2.4, ,14.9,11.2,89,75,5.83,6.27
EAST SALE AIRPORT,14/06/2021,0.8,0.4, ,16.5,8.8,98,70,1.84,7.31
EAST SALE AIRPORT,15/06/2021,0.7,0.4, ,14.8,7.1,99,75,1.52,7.57
EAST SALE AIRPORT,16/06/2021,0.8,0.0, ,14.9,6.4,100,69,1.89,5.19
EAST SALE AIRPORT,17/06/2021,1.2,4.8, ,14.1,5.2,97,66,4.45,8.99
EAST SALE AIRPORT,18/06/2021,0.7,0.0, ,13.2,6.7,98,84,5.07,3.77
EAST SALE AIRPORT,19/06/2021,1.1,7.8, ,14.9,8.4,95,67,3.51,8.02
EAST SALE AIRPORT,20/06/2021,0.7,1.2, ,14.1,5.9,99,74,2.03,7.66
EAST SALE AIRPORT,21/06/2021,0.8,0.2, ,14.5,0.8,100,64,1.72,9.03
EAST SALE AIRPORT,22/06/2021,0.9,0.2, ,14.3,0.4,100,62,2.09,8.07
EAST SALE AIRPORT,23/06/2021,0.5,0.2, ,12.0,2.7,99,88,1.75,3.59
EAST SALE AIRPORT,24/06/2021,0.6,1.8, ,15.3,3.8,99,82,1.89,7.04
EAST SALE AIRPORT,25/06/2021,0.9,2.2, ,14.9,2.3,100,63,2.17,6.04
EAST SALE AIRPORT,26/06/2021,1.6,0.2, ,13.0,8.1,91,56,5.86,8.16
EAST SALE AIRPORT,27/06/2021,1.2,0.0, ,15.6,3.9,93,69,4.33,7.62
EAST SALE AIRPORT,28/06/2021,0.9,0.0, ,14.5,2.8,98,59,1.85,9.11
EAST SALE AIRPORT,29/06/2021,0.6,0.2, ,13.0,-0.3,100,71,1.46,9.16
EAST SALE AIRPORT,30/06/2021,0.8,0.0, ,15.2,-0.8,100,67,1.59,8.80
Totals:,,30.7,128, ,,,,,, 
