'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for EAST SALE AIRPORT Victoria for August 2021,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 September 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
EAST SALE AIRPORT,01/08/2021,2.0,8.6, ,14.8,7.1,95,49,4.82,11.02
EAST SALE AIRPORT,02/08/2021,1.6,0.0, ,16.1,-0.5,98,45,2.29,11.57
EAST SALE AIRPORT,03/08/2021,1.8,0.4, ,14.8,2.3,98,57,5.62,9.97
EAST SALE AIRPORT,04/08/2021,1.7,0.8, ,13.9,7.8,95,68,8.45,10.30
EAST SALE AIRPORT,05/08/2021,1.6,1.2, ,14.3,9.6,96,66,6.50,6.72
EAST SALE AIRPORT,06/08/2021,2.1,0.2, ,14.2,10.4,80,63,6.98,7.61
EAST SALE AIRPORT,07/08/2021,1.7,0.0, ,15.5,6.0,98,61,5.17,9.67
EAST SALE AIRPORT,08/08/2021,1.2,0.8, ,14.6,4.4,100,67,1.66,12.21
EAST SALE AIRPORT,09/08/2021,1.5,0.0, ,16.7,0.9,100,52,2.01,10.97
EAST SALE AIRPORT,10/08/2021,2.1,0.0, ,19.0,0.7,100,37,2.50,12.49
EAST SALE AIRPORT,11/08/2021,5.2,0.0, ,24.2,4.5,89,24,7.63,11.06
EAST SALE AIRPORT,12/08/2021,2.8,2.0, ,16.5,6.6,79,47,6.21,12.14
EAST SALE AIRPORT,13/08/2021,2.3,0.2, ,17.3,3.7,94,46,4.10,12.73
EAST SALE AIRPORT,14/08/2021,1.9,0.0, ,17.3,2.3,93,50,2.76,11.74
EAST SALE AIRPORT,15/08/2021,3.4,0.0, ,18.3,1.8,92,30,5.93,12.16
EAST SALE AIRPORT,16/08/2021,2.6,0.0, ,14.8,10.7,93,50,8.80,8.16
EAST SALE AIRPORT,17/08/2021,1.9,0.8, ,15.7,8.0,96,63,5.60,10.85
EAST SALE AIRPORT,18/08/2021,1.5,0.2, ,14.9,5.4,95,66,2.90,10.65
EAST SALE AIRPORT,19/08/2021,1.8,0.0, ,17.5,2.9,100,50,2.05,13.76
EAST SALE AIRPORT,20/08/2021,1.8,0.0, ,16.1,2.5,98,47,3.00,7.57
EAST SALE AIRPORT,21/08/2021,2.5,0.6, ,19.7,5.8,91,44,3.02,13.28
EAST SALE AIRPORT,22/08/2021,3.0,0.2, ,22.8,3.5,97,31,2.96,13.98
EAST SALE AIRPORT,23/08/2021,1.9,4.2, ,12.1,8.0,93,46,4.67,5.67
EAST SALE AIRPORT,24/08/2021,1.7,11.6, ,12.5,5.9,96,59,5.08,9.10
EAST SALE AIRPORT,25/08/2021,1.5,0.0, ,12.7,3.0,95,68,5.07,8.57
EAST SALE AIRPORT,26/08/2021,0.9,1.0, ,10.7,6.5,98,80,2.42,5.66
EAST SALE AIRPORT,27/08/2021,0.8,17.0, ,11.0,8.2,99,93,2.15,5.80
EAST SALE AIRPORT,28/08/2021,1.8,7.8, ,14.4,4.2,100,61,2.71,15.23
EAST SALE AIRPORT,29/08/2021,0.8,1.4, ,11.4,6.9,99,87,2.32,5.68
EAST SALE AIRPORT,30/08/2021,2.2,3.0, ,17.3,1.7,100,48,2.78,14.36
EAST SALE AIRPORT,31/08/2021,1.9,0.2, ,17.8,3.4,92,52,2.67,7.88
Totals:,,61.5,62.2, ,,,,,, 
