'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for EDENHOPE AIRPORT Victoria for March 2012,,,,,,,,,,
Issued at 22:33 GMT on Sunday 01 April 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
EDENHOPE AIRPORT,01/03/2012,3.9,0.2, ,23.4,14.6,94,46,6.64,10.06
EDENHOPE AIRPORT,02/03/2012,4.0,0.0, ,23.5,13.5,91,45,4.98,14.09
EDENHOPE AIRPORT,03/03/2012,1.0,2.4, ,17.4,15.7,100,89,3.41,3.60
EDENHOPE AIRPORT,04/03/2012,4.1,19.6, ,22.8,15.6,100,49,5.48,19.74
EDENHOPE AIRPORT,05/03/2012,2.5,0.0, ,19.4,11.1,100,56,2.68,12.11
EDENHOPE AIRPORT,06/03/2012,3.6,0.0, ,23.1,10.3,100,46,3.64,16.63
EDENHOPE AIRPORT,07/03/2012,5.3,0.0, ,26.2,9.4,86,25,3.50,24.23
EDENHOPE AIRPORT,08/03/2012,4.7,0.0, ,27.2,10.3,89,30,2.34,23.25
EDENHOPE AIRPORT,09/03/2012,4.8,0.0, ,26.6,9.7,94,28,3.12,21.66
EDENHOPE AIRPORT,10/03/2012,3.9,0.0, ,23.0,10.3,99,36,2.21,22.50
EDENHOPE AIRPORT,11/03/2012,4.0,0.0, ,23.3,5.9,95,36,2.47,22.45
EDENHOPE AIRPORT,12/03/2012,4.1,0.0, ,27.0,7.5,91,25,1.64,22.68
EDENHOPE AIRPORT,13/03/2012,6.8,0.0, ,33.2,13.1,71,20,3.98,21.88
EDENHOPE AIRPORT,14/03/2012,6.8,0.0, ,34.4,18.4,97,19,4.86,17.26
EDENHOPE AIRPORT,15/03/2012,4.0,12.6, ,25.6,17.4,100,44,4.61,15.06
EDENHOPE AIRPORT,16/03/2012,2.9,2.8, ,21.1,15.2,99,53,3.38,13.82
EDENHOPE AIRPORT,17/03/2012,3.4,1.2, ,23.1,7.4,100,44,2.25,19.85
EDENHOPE AIRPORT,18/03/2012,4.3,0.2, ,26.5,10.2,100,31,2.61,21.51
EDENHOPE AIRPORT,19/03/2012,5.7,0.0, ,29.7,13.6,83,30,4.28,21.10
EDENHOPE AIRPORT,20/03/2012,7.1,0.0, ,31.9,17.0,78,29,6.48,19.49
EDENHOPE AIRPORT,21/03/2012,3.3,8.0, ,18.6,11.4,100,45,4.68,17.89
EDENHOPE AIRPORT,22/03/2012,2.2,0.0, ,17.5,6.3,99,55,3.04,10.53
EDENHOPE AIRPORT,23/03/2012,2.5,2.0, ,15.9,9.4,98,55,5.44,12.08
EDENHOPE AIRPORT,24/03/2012,2.2,0.8, ,19.5,10.1,100,63,3.04,12.01
EDENHOPE AIRPORT,25/03/2012,1.5,0.2, ,16.9,7.1,100,55,1.00,8.20
EDENHOPE AIRPORT,26/03/2012,2.7,0.0, ,21.6,5.3,100,42,1.68,16.84
EDENHOPE AIRPORT,27/03/2012,2.8,0.0, ,23.3,10.0,85,46,2.41,12.04
EDENHOPE AIRPORT,28/03/2012,4.0,0.0, ,26.8,11.0,83,28,2.34,18.80
EDENHOPE AIRPORT,29/03/2012,3.0,0.0, ,27.4,8.4,99,30,1.04,18.14
EDENHOPE AIRPORT,30/03/2012,4.6,0.0, ,28.7,12.1,82,25,3.11,17.56
EDENHOPE AIRPORT,31/03/2012,4.3,0.0, ,22.9,16.3,83,35,4.99,16.57
Totals:,,120,50, ,,,,,, 
