'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for EDENHOPE AIRPORT Victoria for April 2022,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 May 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
EDENHOPE AIRPORT,01/04/2022,4.2,0.0, ,21.4,9.8,80,34,4.98,17.85
EDENHOPE AIRPORT,02/04/2022,2.9,0.0, ,20.6,8.3,88,47,3.54,11.89
EDENHOPE AIRPORT,03/04/2022,2.0,0.0, ,19.6,10.7,93,56,2.09,8.86
EDENHOPE AIRPORT,04/04/2022, ,0.0, , ,7.0,100,43,1.73,16.38
EDENHOPE AIRPORT,05/04/2022,1.9,0.0, ,19.9,6.2,100,53,1.61,10.07
EDENHOPE AIRPORT,06/04/2022,2.4,0.4, ,21.2,12.6,93,49,3.21,7.64
EDENHOPE AIRPORT,07/04/2022,3.3,0.0, ,24.4,11.1,100,44,3.30,16.34
EDENHOPE AIRPORT,08/04/2022,3.0,0.0, ,24.8,11.5,94,43,2.48,13.98
EDENHOPE AIRPORT,09/04/2022,2.8,0.0, ,24.8,12.4,88,49,3.14,9.26
EDENHOPE AIRPORT,10/04/2022,4.8,0.0, ,30.0,14.6,87,26,4.03,12.69
EDENHOPE AIRPORT,11/04/2022,3.4,0.0, ,21.0,12.4,93,34,3.99,15.43
EDENHOPE AIRPORT,12/04/2022,2.7,0.0, ,19.7,4.5,87,38,2.43,15.27
EDENHOPE AIRPORT,13/04/2022,2.5,0.0, ,23.1,3.7,95,33,1.46,15.70
EDENHOPE AIRPORT,14/04/2022,3.0,0.0, ,25.6,8.4,82,27,2.07,12.09
EDENHOPE AIRPORT,15/04/2022,1.9,0.0, ,22.9,14.4,97,43,1.42,7.82
EDENHOPE AIRPORT,16/04/2022,2.9,0.0, ,27.2,13.2,100,31,1.71,15.13
EDENHOPE AIRPORT,17/04/2022,3.0,0.0, ,24.8,13.3,100,34,3.96,4.63
EDENHOPE AIRPORT,18/04/2022,1.0,7.4, ,14.2,12.9,100,81,2.60,4.34
EDENHOPE AIRPORT,19/04/2022,2.2,1.2, ,18.4,10.9,100,46,3.08,10.92
EDENHOPE AIRPORT,20/04/2022,2.0,0.4, ,19.2,8.4,100,54,2.94,9.17
EDENHOPE AIRPORT,21/04/2022,1.4,0.0, ,16.6,7.5,100,60,1.69,8.53
EDENHOPE AIRPORT,22/04/2022,2.8,0.0, ,18.7,8.8,76,45,3.76,12.86
EDENHOPE AIRPORT,23/04/2022,2.8,0.0, ,21.3,8.9,80,48,3.37,13.93
EDENHOPE AIRPORT,24/04/2022,2.6,0.0, ,22.8,9.9,87,43,2.37,13.50
EDENHOPE AIRPORT,25/04/2022,2.7,0.0, ,23.5,10.3,83,40,2.50,11.98
EDENHOPE AIRPORT,26/04/2022,2.3,0.0, ,20.4,13.7,75,51,3.15,5.45
EDENHOPE AIRPORT,27/04/2022,1.9,0.0, ,20.9,14.6,100,58,3.15,7.51
EDENHOPE AIRPORT,28/04/2022,2.4,0.6, ,23.7,15.1,100,54,3.68,10.17
EDENHOPE AIRPORT,29/04/2022,1.3,0.2, ,18.3,16.2,96,75,3.59,3.84
EDENHOPE AIRPORT,30/04/2022,2.3,7.0, ,17.9,7.1,98,47,4.05,11.45
Totals:,,74.4,17.2, ,,,,,, 
