'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for EDENHOPE AIRPORT Victoria for September 2022,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 October 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
EDENHOPE AIRPORT,01/09/2022,1.8,0.0, ,14.4,4.8,99,62,2.45,13.87
EDENHOPE AIRPORT,02/09/2022,1.8,1.2, ,13.1,3.7,99,50,2.73,12.03
EDENHOPE AIRPORT,03/09/2022,2.0,0.0, ,15.1,2.3,100,54,2.64,13.82
EDENHOPE AIRPORT,04/09/2022,1.7,0.0, ,13.3,6.4,99,60,2.65,10.79
EDENHOPE AIRPORT,05/09/2022,2.0,0.2, ,14.8,4.9,99,49,2.43,12.43
EDENHOPE AIRPORT,06/09/2022,2.2,0.0, ,15.9,5.5,95,51,2.67,14.33
EDENHOPE AIRPORT,07/09/2022,2.7,0.0, ,18.5,7.3,90,56,4.40,14.26
EDENHOPE AIRPORT,08/09/2022,1.0,7.8, ,13.6,12.1,99,88,3.95,5.20
EDENHOPE AIRPORT,09/09/2022,1.9,8.8, ,17.4,10.1,99,70,2.85,11.74
EDENHOPE AIRPORT,10/09/2022,1.9,0.6, ,13.1,8.9,98,58,3.64,11.06
EDENHOPE AIRPORT,11/09/2022,2.2,0.0, ,14.8,8.6,100,59,3.83,14.30
EDENHOPE AIRPORT,12/09/2022,2.0,5.4, ,13.4,5.7,99,55,1.95,14.82
EDENHOPE AIRPORT,13/09/2022,2.2,0.0, ,14.4,2.6,97,49,2.48,15.92
EDENHOPE AIRPORT,14/09/2022,2.1,0.0, ,13.8,6.3,99,55,6.13,8.40
EDENHOPE AIRPORT,15/09/2022,3.0,6.0, ,17.5,7.1,100,40,3.30,18.60
EDENHOPE AIRPORT,16/09/2022,2.2,0.2, ,14.0,8.4,95,58,5.03,12.45
EDENHOPE AIRPORT,17/09/2022,1.9,12.6, ,14.5,7.7,99,70,7.86,10.52
EDENHOPE AIRPORT,18/09/2022,2.1,7.8, ,14.7,8.5,99,66,5.84,12.50
EDENHOPE AIRPORT,19/09/2022,1.9,4.2, ,13.9,5.3,97,60,1.91,13.08
EDENHOPE AIRPORT,20/09/2022,2.8,0.2, ,19.1,7.4,86,56,4.38,12.10
EDENHOPE AIRPORT,21/09/2022,1.9,0.6, ,18.1,11.4,98,65,2.84,9.50
EDENHOPE AIRPORT,22/09/2022,2.2,0.2, ,18.4,9.9,99,70,2.08,14.45
EDENHOPE AIRPORT,23/09/2022,1.7,0.0, ,14.8,6.7,100,70,2.20,10.90
EDENHOPE AIRPORT,24/09/2022,2.7,0.6, ,14.9,4.1,99,42,2.19,20.58
EDENHOPE AIRPORT,25/09/2022,2.9,0.2, ,18.9,4.8,97,50,2.43,19.44
EDENHOPE AIRPORT,26/09/2022,1.5,3.6, ,15.4,10.4,100,79,2.07,9.10
EDENHOPE AIRPORT,27/09/2022,1.9,0.6, ,14.7,4.4,99,65,3.51,12.28
EDENHOPE AIRPORT,28/09/2022,2.4,0.2, ,16.6,9.7,99,59,3.87,12.79
EDENHOPE AIRPORT,29/09/2022,2.5,0.0, ,17.2,6.4,92,57,3.16,14.49
EDENHOPE AIRPORT,30/09/2022, ,0.0, , ,7.0,99,48,2.35,21.71
Totals:,,61.1,61, ,,,,,, 
