'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for EILDON FIRE TOWER Victoria for July 2016,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 August 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
EILDON FIRE TOWER,01/07/2016,0.5,12.2, ,6.9,2.6,98,85,2.89,4.66
EILDON FIRE TOWER,02/07/2016,0.7,1.8, ,9.2,3.5,99,81,3.38,7.57
EILDON FIRE TOWER,03/07/2016,0.7,1.0, ,10.2,6.6,98,83,3.15,7.51
EILDON FIRE TOWER,04/07/2016,0.7,0.4, ,7.1,5.8,92,78,3.34,4.89
EILDON FIRE TOWER,05/07/2016,0.7,0.0, ,8.7,4.2,98,79,2.95,5.56
EILDON FIRE TOWER,06/07/2016,0.8,2.4, ,10.2,5.0,96,79,5.29,5.24
EILDON FIRE TOWER,07/07/2016,1.2,0.0, ,12.7,6.9,91,71,5.35,8.38
EILDON FIRE TOWER,08/07/2016,0.7,4.2, ,9.2,6.3,98,78,2.16,6.76
EILDON FIRE TOWER,09/07/2016,0.6,2.4, ,10.4,4.9,98,86,1.49,7.72
EILDON FIRE TOWER,10/07/2016,0.6,0.2, ,8.8,6.2,98,89,6.62,4.07
EILDON FIRE TOWER,11/07/2016,1.3,11.2, ,11.4,6.8,98,67,7.01,6.95
EILDON FIRE TOWER,12/07/2016,1.0,6.0, ,7.0,5.2,96,71,8.63,5.75
EILDON FIRE TOWER,13/07/2016,1.0,2.0, ,4.9,0.3,94,67,8.34,6.41
EILDON FIRE TOWER,14/07/2016,0.8,0.6, ,7.1,0.9,94,77,4.84,8.58
EILDON FIRE TOWER,15/07/2016,0.8,0.0, ,8.2,4.1,98,75,4.03,9.66
EILDON FIRE TOWER,16/07/2016,1.0,0.0, ,11.6,2.3,93,64,2.21,10.22
EILDON FIRE TOWER,17/07/2016,1.5,0.2, ,13.5,2.6,85,60,4.22,10.57
EILDON FIRE TOWER,18/07/2016,0.7,0.0, ,10.9,7.6,98,86,4.53,3.19
EILDON FIRE TOWER,19/07/2016,0.7,0.8, ,11.9,8.8,99,86,1.37,5.19
EILDON FIRE TOWER,20/07/2016,1.0,0.0, ,13.3,7.8,98,70,2.26,10.06
EILDON FIRE TOWER,21/07/2016,0.7,0.0, ,13.7,7.1,98,87,3.24,3.78
EILDON FIRE TOWER,22/07/2016,1.1,13.2, ,12.0,8.6,98,76,8.08,2.61
EILDON FIRE TOWER,23/07/2016,1.2,9.4, ,6.0,2.7,97,63,9.99,8.75
EILDON FIRE TOWER,24/07/2016,0.6,0.8, ,6.2,0.7,98,83,3.56,6.43
EILDON FIRE TOWER,25/07/2016,0.9,3.6, ,7.1,2.0,98,76,6.31,8.32
EILDON FIRE TOWER,26/07/2016,0.8,4.0, ,6.5,1.3,97,78,4.64,8.21
EILDON FIRE TOWER,27/07/2016,0.8,5.8, ,6.9,2.6,99,77,5.42,6.78
EILDON FIRE TOWER,28/07/2016,0.7,0.6, ,7.6,4.0,98,84,3.20,7.40
EILDON FIRE TOWER,29/07/2016,0.6,0.4, ,7.5,4.5,99,91,3.75,5.75
EILDON FIRE TOWER,30/07/2016,0.5,2.4, ,7.9,5.7,99,98,2.85,4.97
EILDON FIRE TOWER,31/07/2016,1.0,12.0, ,11.3,5.8,99,78,3.15,9.27
Totals:,,25.9,97.6, ,,,,,, 
