'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for EILDON FIRE TOWER Victoria for October 2016,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 November 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
EILDON FIRE TOWER,01/10/2016,1.3,2.8, ,11.6,5.4,98,80,4.52,8.71
EILDON FIRE TOWER,02/10/2016,3.5,0.0, ,16.9,6.7,94,50,8.56,18.35
EILDON FIRE TOWER,03/10/2016,1.7,12.2, ,9.1,6.0,98,73,7.12,13.76
EILDON FIRE TOWER,04/10/2016,1.5,10.2, ,10.0,5.2,98,72,8.41,7.44
EILDON FIRE TOWER,05/10/2016,1.4,6.4, ,10.8,3.1,93,76,4.47,8.47
EILDON FIRE TOWER,06/10/2016,2.9,0.0, ,18.3,6.2,97,66,3.60,20.39
EILDON FIRE TOWER,07/10/2016,1.7,0.2, ,16.0,8.9,97,59,4.27,2.72
EILDON FIRE TOWER,08/10/2016,3.4,0.0, ,16.6,4.7,97,50,3.79,23.07
EILDON FIRE TOWER,09/10/2016,2.6,0.0, ,15.8,7.0,91,55,7.19,8.98
EILDON FIRE TOWER,10/10/2016,2.1,1.6, ,11.7,7.6,97,67,5.80,13.93
EILDON FIRE TOWER,11/10/2016,2.1,5.2, ,10.3,2.6,91,67,5.84,16.71
EILDON FIRE TOWER,12/10/2016,1.5,1.8, ,9.5,3.6,98,68,4.77,8.57
EILDON FIRE TOWER,13/10/2016,3.1,3.2, ,13.8,2.1,83,56,3.13,24.38
EILDON FIRE TOWER,14/10/2016,3.6,0.0, ,17.6,4.3,90,46,2.78,24.25
EILDON FIRE TOWER,15/10/2016,4.2,0.0, ,18.4,8.1,82,46,5.53,22.87
EILDON FIRE TOWER,16/10/2016,3.4,0.0, ,19.9,11.5,97,48,6.96,11.08
EILDON FIRE TOWER,17/10/2016,3.0,9.4, ,14.0,4.7,98,53,5.07,20.31
EILDON FIRE TOWER,18/10/2016,2.6,1.0, ,13.0,6.5,97,52,6.32,13.55
EILDON FIRE TOWER,19/10/2016,3.1,7.8, ,12.3,1.9,97,45,3.11,24.52
EILDON FIRE TOWER,20/10/2016,3.6,0.0, ,15.1,3.3,92,50,4.95,25.55
EILDON FIRE TOWER,21/10/2016,3.1,0.0, ,16.7,7.4,98,46,7.38,10.41
EILDON FIRE TOWER,22/10/2016,1.7,4.4, ,7.2,2.9,97,81,7.32,19.65
EILDON FIRE TOWER,23/10/2016,3.0,3.0, ,11.1,3.9,97,55,5.81,24.77
EILDON FIRE TOWER,24/10/2016,3.6,0.2, ,16.0,3.0,80,52,2.65,26.42
EILDON FIRE TOWER,25/10/2016,3.9,0.0, ,18.9,7.0,92,45,3.89,22.40
EILDON FIRE TOWER,26/10/2016,3.8,0.0, ,18.7,10.4,85,44,5.78,14.79
EILDON FIRE TOWER,27/10/2016,4.2,0.0, ,16.3,6.0,92,37,4.59,26.57
EILDON FIRE TOWER,28/10/2016,4.1,0.0, ,17.8,4.9,84,40,3.19,25.34
EILDON FIRE TOWER,29/10/2016,4.7,0.0, ,20.6,7.8,82,39,3.25,27.21
EILDON FIRE TOWER,30/10/2016,5.2,0.0, ,21.6,11.7,79,34,8.77,12.86
EILDON FIRE TOWER,31/10/2016,3.3,0.4, ,13.0,2.4,83,49,5.29,21.72
Totals:,,92.9,69.8, ,,,,,, 
