'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for EILDON FIRE TOWER Victoria for July 2020,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 August 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
EILDON FIRE TOWER,01/07/2020,1.5,0.0, ,13.1,6.4,90,62,5.93,8.71
EILDON FIRE TOWER,02/07/2020,1.0,2.4, ,8.8,5.0,95,70,5.15,7.34
EILDON FIRE TOWER,03/07/2020,0.6,1.0, ,6.1,3.1,97,84,4.13,3.51
EILDON FIRE TOWER,04/07/2020,0.4,8.6, ,7.1,2.0,98,95,4.61,6.24
EILDON FIRE TOWER,05/07/2020,0.9,3.2, ,9.7,2.6,98,74,5.99,8.78
EILDON FIRE TOWER,06/07/2020,0.8,0.2, ,10.1,4.8,97,74,2.53,8.51
EILDON FIRE TOWER,07/07/2020,0.8,0.0, ,10.5,5.2,94,75,2.81,9.86
EILDON FIRE TOWER,08/07/2020,1.0,0.2, ,11.8,4.6,93,71,3.46,9.33
EILDON FIRE TOWER,09/07/2020,1.3,0.0, ,12.9,5.5,92,64,4.01,8.70
EILDON FIRE TOWER,10/07/2020,1.1,0.2, ,11.9,6.6,91,73,4.38,7.58
EILDON FIRE TOWER,11/07/2020,0.7,0.0, ,8.1,6.3,97,80,3.19,2.88
EILDON FIRE TOWER,12/07/2020,0.9,3.8, ,8.7,5.5,92,74,4.49,3.90
EILDON FIRE TOWER,13/07/2020,1.7,2.8, ,12.3,5.3,78,63,6.18,6.38
EILDON FIRE TOWER,14/07/2020,1.8,0.0, ,12.3,6.5,76,61,5.69,10.13
EILDON FIRE TOWER,15/07/2020,1.7,0.0, ,12.3,5.2,81,56,4.63,10.34
EILDON FIRE TOWER,16/07/2020,1.1,0.0, ,9.8,2.6,85,67,3.52,9.61
EILDON FIRE TOWER,17/07/2020,1.0,0.0, ,10.3,2.2,95,62,2.45,10.23
EILDON FIRE TOWER,18/07/2020,1.0,0.0, ,9.7,2.7,95,69,4.00,8.65
EILDON FIRE TOWER,19/07/2020,1.4,0.0, ,11.2,5.3,93,65,6.13,7.00
EILDON FIRE TOWER,20/07/2020,0.8,2.6, ,7.7,3.3,96,80,6.50,7.51
EILDON FIRE TOWER,21/07/2020,0.9,0.4, ,10.0,3.6,97,73,3.30,9.32
EILDON FIRE TOWER,22/07/2020,0.9,0.2, ,8.2,3.9,91,69,2.49,9.66
EILDON FIRE TOWER,23/07/2020,1.0,0.0, ,9.7,3.9,93,61,1.89,9.07
EILDON FIRE TOWER,24/07/2020,1.2,0.0, ,10.8,2.4,94,57,2.78,10.86
EILDON FIRE TOWER,25/07/2020,1.7,0.0, ,12.6,3.6,79,41,2.85,8.84
EILDON FIRE TOWER,26/07/2020,1.5,0.0, ,14.7,5.4,95,57,3.37,9.91
EILDON FIRE TOWER,27/07/2020,0.9,0.0, ,10.2,5.3,97,81,5.85,6.36
EILDON FIRE TOWER,28/07/2020,1.7,0.0, ,13.2,7.7,89,63,5.60,9.31
EILDON FIRE TOWER,29/07/2020,1.2,0.0, ,11.6,4.5,95,67,3.07,11.54
EILDON FIRE TOWER,30/07/2020,1.5,0.4, ,11.5,4.3,96,54,3.67,11.47
EILDON FIRE TOWER,31/07/2020,1.2,0.0, ,11.7,2.1,87,59,2.08,11.48
Totals:,,35.2,26, ,,,,,, 
