'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for EILDON FIRE TOWER Victoria for December 2021,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 January 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
EILDON FIRE TOWER,01/12/2021,6.8,0.0, ,29.0,15.0,74,34,4.49,26.32
EILDON FIRE TOWER,02/12/2021,6.4,1.8, ,29.4,13.1,98,37,3.83,27.97
EILDON FIRE TOWER,03/12/2021,4.9,8.0, ,21.6,9.6,99,54,4.93,29.37
EILDON FIRE TOWER,04/12/2021,4.4,0.0, ,16.8,6.2,95,50,5.92,29.98
EILDON FIRE TOWER,05/12/2021,4.5,0.0, ,22.3,5.1,89,46,3.05,24.11
EILDON FIRE TOWER,06/12/2021,4.9,0.0, ,22.9,9.5,82,47,3.90,24.11
EILDON FIRE TOWER,07/12/2021,4.3,0.0, ,20.7,13.9,91,61,4.78,24.05
EILDON FIRE TOWER,08/12/2021,2.9,0.0, ,14.8,7.2,80,53,4.28,13.34
EILDON FIRE TOWER,09/12/2021,1.7,2.2, ,13.4,7.5,89,66,5.64,3.42
EILDON FIRE TOWER,10/12/2021,4.5,1.0, ,17.8,9.4,75,49,6.90,22.42
EILDON FIRE TOWER,11/12/2021,5.6,0.0, ,21.0,9.4,72,47,5.96,30.41
EILDON FIRE TOWER,12/12/2021,6.0,0.0, ,25.0,9.0,82,33,3.82,28.38
EILDON FIRE TOWER,13/12/2021,6.3,0.0, ,29.0,13.0,84,28,2.88,27.87
EILDON FIRE TOWER,14/12/2021,6.3,0.0, ,30.0,13.3,91,31,3.02,26.86
EILDON FIRE TOWER,15/12/2021,2.9,0.0, ,21.7,17.5,98,51,4.38,8.61
EILDON FIRE TOWER,16/12/2021,5.4,5.2, ,22.0,7.8,89,40,3.13,31.45
EILDON FIRE TOWER,17/12/2021,6.6,0.0, ,26.8,10.4,84,29,3.55,31.11
EILDON FIRE TOWER,18/12/2021,8.6,0.0, ,34.4,16.3,73,19,5.18,23.68
EILDON FIRE TOWER,19/12/2021,3.0,4.2, ,19.8,17.4,96,54,6.58,8.23
EILDON FIRE TOWER,20/12/2021,5.9,7.0, ,23.7,6.8,81,37,3.63,32.07
EILDON FIRE TOWER,21/12/2021,7.1,0.0, ,27.6,10.6,91,21,3.80,32.09
EILDON FIRE TOWER,22/12/2021,5.9,0.0, ,24.1,10.5,98,43,4.85,32.09
EILDON FIRE TOWER,23/12/2021,6.1,0.0, ,24.2,8.2,93,35,4.39,31.88
EILDON FIRE TOWER,24/12/2021,6.7,0.0, ,28.8,10.4,87,28,2.90,32.09
EILDON FIRE TOWER,25/12/2021,6.6,0.0, ,27.4,13.9,95,45,4.89,32.08
EILDON FIRE TOWER,26/12/2021,5.3,0.0, ,21.0,7.8,95,46,4.75,31.75
EILDON FIRE TOWER,27/12/2021,6.6,0.0, ,23.4,6.5,77,33,6.37,32.03
EILDON FIRE TOWER,28/12/2021,6.5,0.0, ,25.8,10.1,67,39,4.27,31.23
EILDON FIRE TOWER,29/12/2021,6.5,0.0, ,28.0,12.3,82,28,2.55,31.99
EILDON FIRE TOWER,30/12/2021,7.0,0.0, ,31.3,14.6,76,19,2.27,31.65
EILDON FIRE TOWER,31/12/2021,8.4,0.0, ,33.4,19.3,50,19,3.41,31.70
Totals:,,174.6,29.4, ,,,,,, 
