'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ESSENDON AIRPORT Victoria for November 2015,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 December 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ESSENDON AIRPORT,01/11/2015,4.7,3.6, ,26.8,15.3,84,53,7.13,13.64
ESSENDON AIRPORT,02/11/2015,1.9,0.0, ,15.4,13.3,99,65,4.92,7.55
ESSENDON AIRPORT,03/11/2015,4.1,1.0, ,18.8,7.2,91,50,4.15,25.32
ESSENDON AIRPORT,04/11/2015,4.6,0.0, ,28.2,9.5,100,45,3.57,18.67
ESSENDON AIRPORT,05/11/2015,3.3,12.8, ,24.9,15.6,100,61,3.92,14.34
ESSENDON AIRPORT,06/11/2015,1.7,15.0, ,18.7,16.0,99,72,5.57,4.22
ESSENDON AIRPORT,07/11/2015,4.0,0.2, ,17.4,11.1,88,53,6.23,23.24
ESSENDON AIRPORT,08/11/2015,4.9,0.0, ,25.3,6.9,94,24,2.25,25.05
ESSENDON AIRPORT,09/11/2015,9.3,0.0, ,35.8,10.8,84,12,5.05,26.09
ESSENDON AIRPORT,10/11/2015,1.9,0.0, ,16.2,14.6,95,69,5.37,5.92
ESSENDON AIRPORT,11/11/2015,2.8,2.0, ,19.7,11.5,88,61,3.44,12.68
ESSENDON AIRPORT,12/11/2015,4.7,0.2, ,24.0,13.0,99,45,3.92,23.68
ESSENDON AIRPORT,13/11/2015,4.4,0.0, ,19.4,13.2,94,53,6.10,25.15
ESSENDON AIRPORT,14/11/2015,4.7,0.0, ,19.2,10.2,87,46,5.85,26.43
ESSENDON AIRPORT,15/11/2015,4.4,0.2, ,19.8,12.2,89,54,4.90,25.36
ESSENDON AIRPORT,16/11/2015,6.0,0.0, ,26.5,11.4,99,37,3.98,29.54
ESSENDON AIRPORT,17/11/2015,10.4,0.0, ,34.6,15.2,76,11,6.96,26.23
ESSENDON AIRPORT,18/11/2015,6.6,0.0, ,30.0,12.5,89,17,2.77,28.96
ESSENDON AIRPORT,19/11/2015,8.3,0.0, ,33.2,15.5,75,15,5.29,21.30
ESSENDON AIRPORT,20/11/2015,2.2,0.0, ,19.2,15.1,91,65,3.97,7.03
ESSENDON AIRPORT,21/11/2015,4.5,3.6, ,18.5,11.0,85,51,6.39,24.81
ESSENDON AIRPORT,22/11/2015,5.2,0.0, ,20.8,12.9,81,41,4.18,27.50
ESSENDON AIRPORT,23/11/2015,4.7,0.0, ,22.0,12.3,86,46,4.82,21.99
ESSENDON AIRPORT,24/11/2015,6.3,0.0, ,25.7,11.3,83,32,3.83,30.86
ESSENDON AIRPORT,25/11/2015,10.6,0.0, ,34.5,11.8,89,9,9.09,13.44
ESSENDON AIRPORT,26/11/2015,5.9,0.0, ,19.1,10.1,80,26,9.72,23.00
ESSENDON AIRPORT,27/11/2015,4.4,0.6, ,19.0,6.3,72,40,4.84,20.62
ESSENDON AIRPORT,28/11/2015,5.4,0.0, ,21.4,10.3,75,47,4.33,30.64
ESSENDON AIRPORT,29/11/2015,4.4,0.0, ,21.2,11.9,79,47,4.10,20.11
ESSENDON AIRPORT,30/11/2015,9.5,0.0, ,33.0,7.9,93,20,7.04,28.75
Totals:,,155.8,39.2, ,,,,,, 
