'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ESSENDON AIRPORT Victoria for April 2022,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 May 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ESSENDON AIRPORT,01/04/2022,3.3,0.4, ,20.0,12.7,93,52,7.09,12.75
ESSENDON AIRPORT,02/04/2022,1.7,0.0, ,17.7,12.7,95,72,5.88,4.66
ESSENDON AIRPORT,03/04/2022,1.4,2.8, ,17.8,13.8,98,80,4.25,6.51
ESSENDON AIRPORT,04/04/2022,1.9,0.2, ,18.9,14.2,98,62,3.87,6.18
ESSENDON AIRPORT,05/04/2022,2.6,0.0, ,20.2,9.7,100,51,3.23,13.96
ESSENDON AIRPORT,06/04/2022,2.4,0.0, ,21.9,12.3,93,56,3.14,10.28
ESSENDON AIRPORT,07/04/2022,2.7,0.0, ,23.3,10.5,100,53,3.03,13.07
ESSENDON AIRPORT,08/04/2022,2.7,0.0, ,23.9,12.4,97,45,2.22,13.32
ESSENDON AIRPORT,09/04/2022,3.1,0.0, ,25.5,15.6,94,51,3.69,11.76
ESSENDON AIRPORT,10/04/2022,4.6,0.0, ,26.6,15.1,86,42,5.97,15.06
ESSENDON AIRPORT,11/04/2022,2.3,1.6, ,18.9,13.4,100,49,4.54,7.14
ESSENDON AIRPORT,12/04/2022,2.8,0.0, ,18.2,12.0,78,44,3.96,9.73
ESSENDON AIRPORT,13/04/2022,2.4,0.0, ,20.6,10.5,95,58,2.95,13.80
ESSENDON AIRPORT,14/04/2022,3.4,0.0, ,25.1,8.3,100,38,3.78,12.55
ESSENDON AIRPORT,15/04/2022,4.0,0.0, ,26.4,12.0,82,36,4.49,10.42
ESSENDON AIRPORT,16/04/2022,4.0,0.0, ,28.6,13.8,82,30,3.17,13.52
ESSENDON AIRPORT,17/04/2022,5.3,0.0, ,28.4,16.3,89,28,6.12,13.41
ESSENDON AIRPORT,18/04/2022,0.8,15.4, ,16.9,15.5,100,88,3.10,2.88
ESSENDON AIRPORT,19/04/2022,0.6,13.4, ,15.3,14.4,100,91,3.50,1.76
ESSENDON AIRPORT,20/04/2022,1.9,8.6, ,19.5,8.1,94,62,3.77,7.07
ESSENDON AIRPORT,21/04/2022,2.2,0.4, ,17.2,10.3,94,48,4.26,7.67
ESSENDON AIRPORT,22/04/2022,2.6,0.0, ,17.9,7.2,84,45,3.81,12.83
ESSENDON AIRPORT,23/04/2022,2.1,0.0, ,18.2,7.8,91,59,3.08,13.61
ESSENDON AIRPORT,24/04/2022,1.7,0.0, ,18.2,6.8,100,63,2.33,11.43
ESSENDON AIRPORT,25/04/2022,2.6,0.0, ,23.3,6.6,100,39,2.51,13.34
ESSENDON AIRPORT,26/04/2022,1.9,0.0, ,22.3,7.2,99,51,1.80,10.67
ESSENDON AIRPORT,27/04/2022,1.8,0.0, ,21.3,13.2,96,55,2.31,7.02
ESSENDON AIRPORT,28/04/2022,1.7,0.0, ,21.7,15.2,97,71,4.13,7.21
ESSENDON AIRPORT,29/04/2022,1.6,0.0, ,20.0,16.9,100,73,6.24,4.39
ESSENDON AIRPORT,30/04/2022,2.3,34.0, ,18.0,11.0,99,50,5.31,9.14
Totals:,,74.4,76.8, ,,,,,, 
