'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ESSENDON AIRPORT Victoria for May 2024,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 June 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ESSENDON AIRPORT,01/05/2024,1.9,0.4, ,17.9,6.8,100,55,3.40,11.67
ESSENDON AIRPORT,02/05/2024,1.4,0.0, ,17.3,7.6,100,61,2.04,9.72
ESSENDON AIRPORT,03/05/2024,1.5,0.2, ,17.4,6.1,100,64,2.67,11.87
ESSENDON AIRPORT,04/05/2024,1.4,0.2, ,16.4,7.3,100,65,2.51,10.39
ESSENDON AIRPORT,05/05/2024,1.5,0.0, ,18.0,9.3,100,66,2.84,9.78
ESSENDON AIRPORT,06/05/2024,1.6,0.0, ,18.9,8.6,100,63,3.04,10.97
ESSENDON AIRPORT,07/05/2024,1.5,0.0, ,17.5,9.1,100,66,2.93,11.69
ESSENDON AIRPORT,08/05/2024,1.6,0.0, ,19.7,10.4,100,54,1.90,11.13
ESSENDON AIRPORT,09/05/2024,1.1,0.0, ,17.4,10.1,100,75,2.35,7.03
ESSENDON AIRPORT,10/05/2024,0.9,17.0, ,17.1,12.1,100,81,1.24,6.06
ESSENDON AIRPORT,11/05/2024,1.3,1.8, ,19.6,12.6,100,64,1.65,8.39
ESSENDON AIRPORT,12/05/2024,1.6,0.0, ,20.0,7.7,100,56,2.14,11.13
ESSENDON AIRPORT,13/05/2024,1.8,0.0, ,20.1,8.0,100,54,3.03,9.84
ESSENDON AIRPORT,14/05/2024,1.5,0.0, ,17.0,11.8,99,56,3.08,8.77
ESSENDON AIRPORT,15/05/2024,1.6,0.0, ,18.0,5.1,100,50,2.60,10.82
ESSENDON AIRPORT,16/05/2024,1.5,0.0, ,19.0,5.7,100,54,2.16,10.76
ESSENDON AIRPORT,17/05/2024,1.3,0.0, ,16.4,7.1,100,69,4.40,5.50
ESSENDON AIRPORT,18/05/2024,1.7,7.0, ,13.4,8.5,92,49,4.33,10.57
ESSENDON AIRPORT,19/05/2024,1.1,0.0, ,15.4,6.0,100,75,4.52,6.16
ESSENDON AIRPORT,20/05/2024,1.0,1.8, ,14.8,8.3,100,76,3.95,7.72
ESSENDON AIRPORT,21/05/2024,1.0,3.0, ,14.0,8.9,100,65,2.50,6.07
ESSENDON AIRPORT,22/05/2024,1.1,0.4, ,16.4,5.0,100,63,2.15,9.54
ESSENDON AIRPORT,23/05/2024,1.1,0.0, ,16.0,9.8,100,66,2.06,9.13
ESSENDON AIRPORT,24/05/2024,0.9,0.0, ,14.2,4.8,100,75,2.24,7.26
ESSENDON AIRPORT,25/05/2024,1.2,0.0, ,17.5,9.2,100,59,2.23,9.15
ESSENDON AIRPORT,26/05/2024,1.2,0.2, ,17.5,3.9,100,55,1.81,9.96
ESSENDON AIRPORT,27/05/2024,2.1,0.2, ,19.6,6.1,99,41,3.55,9.89
ESSENDON AIRPORT,28/05/2024,2.7,0.0, ,19.8,9.6,71,47,5.01,9.83
ESSENDON AIRPORT,29/05/2024,2.7,0.0, ,18.8,6.8,93,45,6.71,9.77
ESSENDON AIRPORT,30/05/2024,2.6,0.0, ,20.0,13.1,100,53,9.08,5.41
ESSENDON AIRPORT,31/05/2024,2.9,3.8, ,17.6,13.5,77,44,6.45,9.38
Totals:,,48.3,36, ,,,,,, 
