'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FALLS CREEK Victoria for November 2015,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 December 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FALLS CREEK,01/11/2015,0.7,9.0, ,11.1,7.2,100,100,7.79,5.94
FALLS CREEK,02/11/2015,1.3,38.0, ,11.3,7.7,100,98,4.83,10.89
FALLS CREEK,03/11/2015,3.8,0.2, ,13.3,1.9,100,40,3.54,27.70
FALLS CREEK,04/11/2015,3.6,0.0, ,16.6,5.9,100,58,4.22,24.38
FALLS CREEK,05/11/2015,0.9,6.4, ,10.5,8.3,100,100,8.29,9.36
FALLS CREEK,06/11/2015,2.3,17.2, ,11.2,7.5,100,59,4.82,13.03
FALLS CREEK,07/11/2015,3.5,4.4, ,12.1,3.6,100,42,3.96,24.70
FALLS CREEK,08/11/2015,4.8,0.0, ,16.8,-0.8,100,24,5.17,28.59
FALLS CREEK,09/11/2015,5.1,0.0, ,20.3,8.4,82,28,3.00,27.54
FALLS CREEK,10/11/2015,4.4,0.0, ,18.3,12.3,100,46,5.05,24.97
FALLS CREEK,11/11/2015,1.5,6.8, ,11.9,7.3,100,80,5.42,8.67
FALLS CREEK,12/11/2015,1.1,19.4, ,10.8,8.6,100,81,6.59,3.92
FALLS CREEK,13/11/2015,4.0,21.4, ,14.7,6.9,100,38,4.98,25.03
FALLS CREEK,14/11/2015,3.0,0.0, ,10.7,0.4,100,48,4.65,22.23
FALLS CREEK,15/11/2015,3.7,0.0, ,12.3,-0.1,100,55,4.61,31.64
FALLS CREEK,16/11/2015,3.8,0.0, ,14.7,4.0,98,66,3.71,29.65
FALLS CREEK,17/11/2015,4.1,0.0, ,14.8,7.8,76,55,7.49,24.02
FALLS CREEK,18/11/2015,6.7,0.0, ,18.7,9.1,59,23,7.39,31.76
FALLS CREEK,19/11/2015,7.0,0.0, ,22.2,13.2,54,31,6.62,29.46
FALLS CREEK,20/11/2015,4.3,0.0, ,20.1,15.5,97,43,6.57,18.21
FALLS CREEK,21/11/2015,4.5,1.0, ,13.7,0.9,100,31,4.40,32.30
FALLS CREEK,22/11/2015,4.0,0.0, ,13.0,4.8,98,39,5.92,27.15
FALLS CREEK,23/11/2015,4.5,0.0, ,14.1,4.6,81,52,4.15,32.53
FALLS CREEK,24/11/2015,4.8,0.0, ,13.9,3.7,88,33,6.05,32.97
FALLS CREEK,25/11/2015,6.9,0.0, ,16.7,7.6,56,20,11.41,32.08
FALLS CREEK,26/11/2015,3.4,0.0, ,5.7,4.4,97,24,9.64,27.42
FALLS CREEK,27/11/2015,3.7,0.0, ,10.3,-3.5,88,49,3.75,33.66
FALLS CREEK,28/11/2015,4.9,0.0, ,16.3,2.8,71,46,3.50,33.24
FALLS CREEK,29/11/2015,2.5,0.0, ,10.7,5.5,91,62,6.04,15.85
FALLS CREEK,30/11/2015,4.7,0.0, ,16.1,4.1,100,44,8.39,33.13
Totals:,,113.5,123.8, ,,,,,, 
