'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FALLS CREEK Victoria for November 2021,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 December 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FALLS CREEK,01/11/2021,4.2,0.0, ,13.5,3.9,88,29,3.85,27.66
FALLS CREEK,02/11/2021,3.6,0.0, ,14.7,5.2,87,55,5.46,24.04
FALLS CREEK,03/11/2021,1.9,0.0, ,11.4,8.0,99,74,9.72,12.50
FALLS CREEK,04/11/2021,1.3,31.0, ,9.4,7.7,99,99,7.34,13.92
FALLS CREEK,05/11/2021,2.2,5.0, ,11.3,6.3,99,79,4.47,17.26
FALLS CREEK,06/11/2021,0.9,4.4, ,10.1,7.6,99,99,8.19,8.63
FALLS CREEK,07/11/2021,2.8,17.8, ,13.2,7.1,99,84,4.18,22.81
FALLS CREEK,08/11/2021,3.0,20.4, ,11.4,5.9,99,66,5.75,25.48
FALLS CREEK,09/11/2021,3.1,0.4, ,10.5,2.9,99,65,5.86,28.61
FALLS CREEK,10/11/2021,2.3,0.2, ,9.9,4.7,99,66,5.52,16.77
FALLS CREEK,11/11/2021,3.4,0.2, ,10.7,-1.8,99,34,4.49,25.62
FALLS CREEK,12/11/2021,0.7,31.0, ,6.8,2.4,99,99,4.29,5.78
FALLS CREEK,13/11/2021,1.1,30.8, ,4.7,0.7,99,88,8.54,13.23
FALLS CREEK,14/11/2021,0.5,1.6, ,-1.1,-3.4,99,91,10.09,5.46
FALLS CREEK,15/11/2021,0.7,0.0, ,-0.9,-4.0,98,87,8.84,8.56
FALLS CREEK,16/11/2021,2.0,2.6, ,5.9,-4.6,99,69,2.86,18.59
FALLS CREEK,17/11/2021,3.1,8.0, ,9.9,-1.5,99,60,5.00,29.68
FALLS CREEK,18/11/2021,3.2,0.0, ,10.1,3.3,87,56,10.57,25.13
FALLS CREEK,19/11/2021,2.4,0.6, ,11.1,5.5,99,62,6.10,15.54
FALLS CREEK,20/11/2021,1.4,1.4, ,8.4,3.6,99,86,2.43,10.05
FALLS CREEK,21/11/2021,2.7,7.6, ,10.8,1.5,99,72,3.58,22.63
FALLS CREEK,22/11/2021,4.3,0.0, ,15.6,2.3,99,35,3.35,28.56
FALLS CREEK,23/11/2021,3.0,0.2, ,13.2,6.2,99,69,3.62,22.04
FALLS CREEK,24/11/2021,1.8,25.8, ,12.2,8.7,99,88,4.13,12.96
FALLS CREEK,25/11/2021,1.2,0.0, ,12.9,8.9,99,93,3.31,7.14
FALLS CREEK,26/11/2021,0.7,35.2, ,5.3,4.2,99,99,10.33,9.94
FALLS CREEK,27/11/2021,2.2,11.4, ,9.7,-0.9,99,85,8.27,28.57
FALLS CREEK,28/11/2021,4.3,0.2, ,13.9,-1.6,99,28,3.60,30.71
FALLS CREEK,29/11/2021,3.4,0.4, ,14.4,5.4,99,66,3.19,24.59
FALLS CREEK,30/11/2021,4.0,0.8, ,16.6,7.0,92,50,2.99,24.63
Totals:,,71.4,237, ,,,,,, 
