'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FALLS CREEK Victoria for July 2023,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 August 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FALLS CREEK,01/07/2023,0.3,3.2, ,1.7,-1.6,99,98,6.51,5.53
FALLS CREEK,02/07/2023,1.7,6.0, ,6.9,-3.9,98,30,5.80,7.86
FALLS CREEK,03/07/2023,1.5,20.8, ,5.5,1.0,79,35,4.53,7.57
FALLS CREEK,04/07/2023,0.6,1.0, ,3.2,-0.1,99,81,6.57,4.13
FALLS CREEK,05/07/2023,0.3,34.4, ,2.5,0.1,99,99,6.62,3.94
FALLS CREEK,06/07/2023,0.2,1.8, ,-1.3,-2.7,99,99,9.92,4.05
FALLS CREEK,07/07/2023,0.2,0.0, ,-0.5,-2.5,99,99,8.24,4.62
FALLS CREEK,08/07/2023,0.2,0.0, ,-0.2,-3.3,99,98,12.70,3.70
FALLS CREEK,09/07/2023,0.2,0.0, ,0.7,-3.4,99,99,9.46,5.17
FALLS CREEK,10/07/2023,0.2,23.0, ,0.5,-1.2,99,99,9.26,4.68
FALLS CREEK,11/07/2023,0.3,8.6, ,4.9,-1.1,99,99,5.66,5.51
FALLS CREEK,12/07/2023,1.2,11.6, ,3.9,-1.1,99,45,6.09,7.38
FALLS CREEK,13/07/2023,1.1,0.0, ,1.7,-1.9,99,48,7.47,7.49
FALLS CREEK,14/07/2023,0.2,0.4, ,0.8,-1.5,99,99,12.49,6.13
FALLS CREEK,15/07/2023,0.7,2.2, ,3.5,-0.9,99,77,9.41,8.27
FALLS CREEK,16/07/2023,1.3,0.0, ,6.9,-0.2,99,8,2.21,8.72
FALLS CREEK,17/07/2023,1.8,0.0, ,4.2,1.2,99,14,5.92,8.63
FALLS CREEK,18/07/2023,0.5,0.2, ,-0.7,-1.7,99,83,10.40,3.62
FALLS CREEK,19/07/2023,2.1,0.0, ,3.7,-5.3,91,8,7.12,8.62
FALLS CREEK,20/07/2023,1.8,0.4, ,0.6,-3.0,99,9,8.95,8.40
FALLS CREEK,21/07/2023,0.7,0.0, ,1.2,-4.2,99,76,5.96,8.19
FALLS CREEK,22/07/2023,1.0,3.0, ,1.6,-4.7,99,40,2.98,8.52
FALLS CREEK,23/07/2023,0.5,0.2, ,1.4,-3.3,99,87,5.13,9.16
FALLS CREEK,24/07/2023,1.4,0.2, ,5.4,-2.7,99,26,3.17,9.37
FALLS CREEK,25/07/2023,2.1,0.0, ,8.8,-0.1,58,17,3.38,9.59
FALLS CREEK,26/07/2023,2.0,0.0, ,5.0,1.4,74,19,4.85,9.48
FALLS CREEK,27/07/2023,1.5,0.0, ,2.6,1.0,99,37,9.59,9.28
FALLS CREEK,28/07/2023,0.3,12.6, ,3.2,0.3,99,99,9.78,3.04
FALLS CREEK,29/07/2023,0.2,9.8, ,3.4,0.6,99,99,11.27,1.87
FALLS CREEK,30/07/2023,0.3,2.0, ,1.8,0.2,99,99,10.09,4.17
FALLS CREEK,31/07/2023,0.3,2.2, ,0.0,-1.5,99,99,8.40,6.70
Totals:,,26.7,143.6, ,,,,,, 
