'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FERNY CREEK Victoria for September 2014,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FERNY CREEK,01/09/2014,1.4,0.0, ,12.5,12.1,97,47,2.54,3.43
FERNY CREEK,02/09/2014,1.5,19.2, ,10.7,5.2,97,57,1.51,11.54
FERNY CREEK,03/09/2014,1.5,3.0, ,10.6,3.9,93,56,1.18,13.02
FERNY CREEK,04/09/2014,1.7,0.0, ,11.2,4.0,92,65,1.83,14.81
FERNY CREEK,05/09/2014,1.7,0.2, ,12.9,3.9,95,59,1.06,14.48
FERNY CREEK,06/09/2014,2.0,0.2, ,16.2,3.8,98,42,0.97,16.61
FERNY CREEK,07/09/2014,2.3,0.0, ,16.2,8.1,72,47,1.29,17.02
FERNY CREEK,08/09/2014,3.5,0.0, ,17.0,10.4,66,44,4.82,16.40
FERNY CREEK,09/09/2014,1.6,0.4, ,14.4,11.9,96,51,3.39,3.46
FERNY CREEK,10/09/2014,1.6,17.0, ,14.3,7.7,96,54,1.44,9.05
FERNY CREEK,11/09/2014,1.8,9.0, ,12.4,7.0,97,62,1.68,13.62
FERNY CREEK,12/09/2014,1.3,0.0, ,11.2,3.4,96,63,0.44,10.53
FERNY CREEK,13/09/2014,2.1,0.0, ,14.3,4.7,87,57,0.82,17.95
FERNY CREEK,14/09/2014,2.2,0.0, ,16.8,6.7,86,50,0.71,17.14
FERNY CREEK,15/09/2014,1.6,0.0, ,15.2,7.3,88,56,1.45,7.47
FERNY CREEK,16/09/2014,1.0,0.0, ,10.3,7.8,97,60,1.30,3.21
FERNY CREEK,17/09/2014,1.6,4.6, ,10.8,5.8,98,64,1.43,12.19
FERNY CREEK,18/09/2014,1.6,8.4, ,10.6,4.0,98,68,1.37,13.31
FERNY CREEK,19/09/2014,1.5,2.0, ,11.4,4.4,97,64,1.08,10.71
FERNY CREEK,20/09/2014,1.1,0.2, ,11.1,5.2,96,79,1.05,6.61
FERNY CREEK,21/09/2014,2.3,0.4, ,14.5,5.3,92,59,1.27,18.35
FERNY CREEK,22/09/2014,2.8,0.0, ,19.1,5.7,93,41,1.01,20.27
FERNY CREEK,23/09/2014,3.3,0.0, ,21.0,12.0,57,37,1.57,18.89
FERNY CREEK,24/09/2014,2.6,0.0, ,19.3,14.3,97,40,2.43,11.44
FERNY CREEK,25/09/2014,1.3,27.6, ,13.4,10.4,98,73,1.21,6.44
FERNY CREEK,26/09/2014,1.7,0.8, ,13.7,6.4,97,62,0.60,11.78
FERNY CREEK,27/09/2014,2.7,0.0, ,17.7,6.9,96,57,1.90,18.90
FERNY CREEK,28/09/2014,4.6,0.0, ,21.4,13.1,75,36,4.76,19.68
FERNY CREEK,29/09/2014,3.0,0.0, ,18.5,8.9,80,49,1.94,17.81
FERNY CREEK,30/09/2014,2.8,0.0, ,17.9,9.6,95,41,2.40,14.62
Totals:,,61.7,93, ,,,,,, 
