'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FERNY CREEK Victoria for July 2017,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 August 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FERNY CREEK,01/07/2017,0.8,0.0, ,8.1,2.3,84,44,1.69,9.30
FERNY CREEK,02/07/2017,1.4,0.0, ,9.6,4.6,53,23,1.99,8.99
FERNY CREEK,03/07/2017,1.5,0.0, ,11.4,6.0,93,38,3.46,4.49
FERNY CREEK,04/07/2017,0.7,11.0, ,11.3,6.4,96,79,2.19,6.48
FERNY CREEK,05/07/2017,0.6,1.4, ,10.5,7.3,98,74,0.82,5.71
FERNY CREEK,06/07/2017,0.7,0.0, ,9.9,3.3,95,64,1.50,7.27
FERNY CREEK,07/07/2017,0.7,0.0, ,9.2,4.8,85,71,1.51,7.24
FERNY CREEK,08/07/2017,0.6,0.0, ,7.6,4.7,95,79,1.35,4.20
FERNY CREEK,09/07/2017,0.7,4.2, ,7.7,4.1,97,69,1.88,4.64
FERNY CREEK,10/07/2017,0.7,0.0, ,9.8,4.1,96,72,1.32,4.86
FERNY CREEK,11/07/2017,0.5,9.6, ,10.0,5.4,97,78,0.44,7.28
FERNY CREEK,12/07/2017,0.8,0.2, ,10.7,4.6,87,59,1.23,9.65
FERNY CREEK,13/07/2017,1.4,0.0, ,9.8,6.5,77,55,3.84,7.38
FERNY CREEK,14/07/2017,0.9,5.2, ,10.7,5.8,94,62,1.94,3.90
FERNY CREEK,15/07/2017,0.6,0.8, ,7.5,1.6,94,71,0.81,6.98
FERNY CREEK,16/07/2017,1.0,0.4, ,8.1,2.9,82,61,2.75,8.61
FERNY CREEK,17/07/2017,1.4,0.0, ,10.7,4.3,88,57,4.21,7.55
FERNY CREEK,18/07/2017,0.7,0.4, ,7.7,6.1,94,79,2.25,4.72
FERNY CREEK,19/07/2017,0.5,10.4, ,8.0,5.1,99,86,1.80,2.35
FERNY CREEK,20/07/2017,0.5,15.0, ,6.1,3.7,98,84,1.49,5.18
FERNY CREEK,21/07/2017,0.7,11.4, ,9.3,1.6,98,69,0.91,9.55
FERNY CREEK,22/07/2017,1.2,0.0, ,8.5,3.7,78,59,3.19,6.76
FERNY CREEK,23/07/2017,1.0,0.0, ,9.2,5.9,98,50,1.94,5.11
FERNY CREEK,24/07/2017,0.7,6.4, ,10.6,5.6,99,81,1.19,5.65
FERNY CREEK,25/07/2017,1.2,0.0, ,13.8,5.6,91,58,2.09,7.01
FERNY CREEK,26/07/2017,0.7,6.4, ,9.2,6.5,97,84,1.22,6.52
FERNY CREEK,27/07/2017,0.9,3.6, ,9.8,3.7,96,68,2.24,9.46
FERNY CREEK,28/07/2017,0.8,8.6, ,10.0,5.2,97,64,1.23,8.52
FERNY CREEK,29/07/2017,2.2,0.0, ,14.1,5.5,73,45,4.33,9.60
FERNY CREEK,30/07/2017,1.1,0.2, ,12.9,7.7,89,50,1.44,7.86
FERNY CREEK,31/07/2017,0.8,0.6, ,11.5,5.7,93,64,0.45,10.39
Totals:,,28,95.8, ,,,,,, 
