'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FERNY CREEK Victoria for October 2019,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 November 2019,,,,,,,,,,
© Copyright Commonwealth of Australia 2019 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FERNY CREEK,01/10/2019,3.0,0.0, ,18.7,3.3,89,42,1.41,21.60
FERNY CREEK,02/10/2019,3.7,0.0, ,22.1,11.2,52,28,1.82,18.69
FERNY CREEK,03/10/2019, ,0.0, , ,17.2,94,25,2.55,21.98
FERNY CREEK,04/10/2019,1.4,0.0, ,11.7,7.7,100,71,1.44,8.59
FERNY CREEK,05/10/2019,3.4,3.0, ,22.6,5.4,100,41,2.54,17.19
FERNY CREEK,06/10/2019,3.3,0.0, ,22.0,10.5,99,32,2.78,12.65
FERNY CREEK,07/10/2019,2.0,5.0, ,13.0,7.0,100,61,1.02,14.14
FERNY CREEK,08/10/2019,1.4,14.0, ,9.2,5.1,100,82,1.29,10.16
FERNY CREEK,09/10/2019,1.2,10.0, ,9.9,4.0,100,82,1.03,7.64
FERNY CREEK,10/10/2019,1.4,1.0, ,10.5,5.4,100,82,1.18,10.25
FERNY CREEK,11/10/2019,2.4,0.8, ,14.8,5.1,100,66,3.58,17.86
FERNY CREEK,12/10/2019,2.8,0.0, ,15.6,5.8,85,55,1.88,18.57
FERNY CREEK,13/10/2019,3.2,0.0, ,17.4,8.6,68,46,2.06,17.63
FERNY CREEK,14/10/2019,3.6,0.2, ,21.6,11.7,97,42,1.80,20.36
FERNY CREEK,15/10/2019,2.5, , ,15.7,8.1,100,62,1.33,17.17
FERNY CREEK,16/10/2019,1.4,0.0, ,14.8,8.2,100,72,1.22,7.38
FERNY CREEK,17/10/2019,1.0,17.8, ,9.8,4.4,100,79,1.18,5.41
FERNY CREEK,18/10/2019,3.1,10.4, ,16.6,3.3,100,39,2.24,20.05
FERNY CREEK,19/10/2019,1.9,0.6, ,11.5,4.8,97,57,1.27,12.77
FERNY CREEK,20/10/2019,1.8,3.0, ,12.2,5.3,100,67,1.02,11.59
FERNY CREEK,21/10/2019,2.5,0.2, ,15.2,6.5,100,66,0.54,18.11
FERNY CREEK,22/10/2019,3.4, , ,19.9,6.6,100,56,0.70,23.65
FERNY CREEK,23/10/2019,4.1,0.2, ,24.8,7.3,77,8,0.85,25.93
FERNY CREEK,24/10/2019,6.4,0.0, ,27.7,16.9,32,19,2.89,26.04
FERNY CREEK,25/10/2019,3.0,1.4, ,17.1,11.9,95,17,2.25,11.85
FERNY CREEK,26/10/2019,2.0, , ,10.9,5.5,93,64,1.84,13.22
FERNY CREEK,27/10/2019,1.4, , ,12.1,5.1,99,68,1.08,7.61
FERNY CREEK,28/10/2019,3.6, , ,18.7,5.4,99,22,0.45,25.95
FERNY CREEK,29/10/2019,5.0,0.0, ,24.9,9.6,40,18,1.59,26.93
FERNY CREEK,30/10/2019,5.2,0.0, ,27.3,16.9,62,19,1.23,27.11
FERNY CREEK,31/10/2019,6.5,0.0, ,27.6,18.9,40,17,2.77,27.10
Totals:,,87.6,67.6, ,,,,,, 
