'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FERNY CREEK Victoria for January 2020,,,,,,,,,,
Issued at 22:30 GMT on Friday 31 January 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FERNY CREEK,01/01/2020,5.3,0.2, ,22.7,8.6,84,33,1.55,32.00
FERNY CREEK,02/01/2020,5.6,0.0, ,24.1,10.9,80,36,1.81,31.80
FERNY CREEK,03/01/2020,5.9,0.0, ,32.5,11.4,91,11,0.91,31.45
FERNY CREEK,04/01/2020,5.4,0.0, ,25.1,17.3,87,13,2.18,23.97
FERNY CREEK,05/01/2020,1.1,2.0, ,11.1,8.5,100,80,3.72,4.22
FERNY CREEK,06/01/2020,0.8,15.2, ,13.8,7.6,100,100,1.56,3.48
FERNY CREEK,07/01/2020,0.9,1.8, ,15.8,9.2,100,100,1.71,4.76
FERNY CREEK,08/01/2020,4.3,0.4, ,22.8,13.4,100,63,3.77,24.77
FERNY CREEK,09/01/2020,6.0,0.0, ,30.0,14.1,100,38,2.29,29.03
FERNY CREEK,10/01/2020,3.8,0.0, ,29.2,18.6,100,34,2.41,11.88
FERNY CREEK,11/01/2020,2.7,27.0, ,16.1,9.3,100,56,1.63,16.01
FERNY CREEK,12/01/2020,3.8,0.0, ,18.3,9.0,96,58,2.14,24.19
FERNY CREEK,13/01/2020,5.2,0.0, ,27.8,10.0,97,32,1.61,27.11
FERNY CREEK,14/01/2020,6.2,0.0, ,30.1,16.8,84,29,2.17,28.12
FERNY CREEK,15/01/2020,5.7,0.0, ,33.3,22.3,99,28,2.24,22.04
FERNY CREEK,16/01/2020,1.7,26.0, ,15.4,11.8,100,65,1.73,7.83
FERNY CREEK,17/01/2020,4.1,0.2, ,20.5,8.8,100,64,3.72,26.94
FERNY CREEK,18/01/2020,4.5,0.0, ,24.6,11.0,96,53,1.64,25.40
FERNY CREEK,19/01/2020,3.8,0.0, ,26.8,16.0,95,53,2.49,16.19
FERNY CREEK,20/01/2020,2.2,6.0, ,22.1,14.8,100,71,1.46,9.76
FERNY CREEK,21/01/2020,4.1,73.2, ,20.5,10.3,100,50,1.32,24.99
FERNY CREEK,22/01/2020,4.1,0.2, ,26.6,11.1,100,31,3.40,11.12
FERNY CREEK,23/01/2020,1.9,24.8, ,15.7,10.0,100,55,1.64,8.05
FERNY CREEK,24/01/2020,3.6,3.8, ,19.9,7.1,84,45,1.00,22.57
FERNY CREEK,25/01/2020,5.0,0.0, ,24.1,11.1,89,42,1.07,29.77
FERNY CREEK,26/01/2020,4.2,0.0, ,22.1,13.0,95,64,1.21,25.35
FERNY CREEK,27/01/2020,4.4,0.0, ,23.1,10.6,98,53,1.24,26.18
FERNY CREEK,28/01/2020,4.4,0.0, ,22.1,10.3,98,43,0.94,27.43
FERNY CREEK,29/01/2020,5.1,0.0, ,27.7,11.0,98,25,0.78,29.36
FERNY CREEK,30/01/2020,6.3,0.0, ,34.4,16.3,28,14,1.45,29.28
FERNY CREEK,31/01/2020,6.2,0.0, ,38.3,26.7,90,18,2.28,19.52
Totals:,,128.3,180.8, ,,,,,, 
