'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FERNY CREEK Victoria for August 2022,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 September 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FERNY CREEK,01/08/2022,0.9,1.0, ,9.9,3.8,100,68,2.42,7.38
FERNY CREEK,02/08/2022,1.4,4.2, ,11.7,6.3,98,57,3.93,11.02
FERNY CREEK,03/08/2022,2.0,1.2, ,16.3,7.3,97,49,4.19,10.22
FERNY CREEK,04/08/2022,1.6,0.2, ,14.2,10.5,83,44,2.43,6.67
FERNY CREEK,05/08/2022,0.9,0.0, ,8.8,7.8,100,62,2.04,3.60
FERNY CREEK,06/08/2022,0.8,5.2, ,9.5,5.5,100,82,0.84,7.19
FERNY CREEK,07/08/2022,0.9,10.0, ,10.8,4.7,100,66,0.31,10.20
FERNY CREEK,08/08/2022,0.8,0.0, ,10.0,4.0,100,54,0.54,4.93
FERNY CREEK,09/08/2022,1.0,0.2, ,10.4,3.8,100,70,1.18,11.06
FERNY CREEK,10/08/2022,1.2,0.0, ,10.7,3.9,84,59,2.04,8.26
FERNY CREEK,11/08/2022,1.2,0.0, ,11.8,7.2,100,61,3.40,4.48
FERNY CREEK,12/08/2022,1.3,7.0, ,11.4,7.1,92,57,3.01,5.12
FERNY CREEK,13/08/2022,1.4,0.6, ,14.1,7.2,94,49,1.56,9.58
FERNY CREEK,14/08/2022,0.6, , ,8.5,5.1,100,97,1.20,4.12
FERNY CREEK,15/08/2022,1.0, , ,10.8,5.4,100,65,1.74,6.18
FERNY CREEK,16/08/2022,0.6,17.8, ,8.8,5.7,100,100,1.67,5.56
FERNY CREEK,17/08/2022,1.2,8.4, ,11.0,4.1,100,67,2.26,10.06
FERNY CREEK,18/08/2022,1.0,1.0, ,10.8,7.0,100,73,3.23,4.16
FERNY CREEK,19/08/2022,1.3,19.0, ,11.1,4.2,100,57,1.39,11.51
FERNY CREEK,20/08/2022,1.2,12.4, ,10.5,5.5,100,51,1.41,9.47
FERNY CREEK,21/08/2022,1.3, , ,10.0,3.1,98,58,1.57,11.63
FERNY CREEK,22/08/2022,1.2,0.0, ,11.9,4.7,100,64,2.57,7.00
FERNY CREEK,23/08/2022,1.0,41.0, ,7.9,2.8,100,74,1.32,9.19
FERNY CREEK,24/08/2022,0.7,8.4, ,7.9,3.9,100,96,0.94,5.67
FERNY CREEK,25/08/2022,0.7,31.8, ,9.3,4.5,100,100,1.26,6.34
FERNY CREEK,26/08/2022,1.0,3.0, ,11.8,5.9,100,84,0.51,7.54
FERNY CREEK,27/08/2022,1.7,0.0, ,15.2,6.1,100,51,1.01,15.07
FERNY CREEK,28/08/2022,2.5, , ,16.3,10.1,71,54,3.04,14.86
FERNY CREEK,29/08/2022,1.4,0.0, ,14.1,12.0,100,60,3.39,4.25
FERNY CREEK,30/08/2022,0.6,22.2, ,8.9,5.1,100,90,1.93,2.97
FERNY CREEK,31/08/2022,1.6,3.0, ,12.6,3.2,100,57,0.86,15.42
Totals:,,36,197.6, ,,,,,, 
