'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FERNY CREEK Victoria for April 2023,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 May 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FERNY CREEK,01/04/2023,1.7,5.8, ,12.6,7.1,100,60,1.63,11.98
FERNY CREEK,02/04/2023,2.2,0.0, ,17.6,6.6,98,57,1.48,16.41
FERNY CREEK,03/04/2023,2.2,0.0, ,20.4,8.6,100,49,0.89,15.88
FERNY CREEK,04/04/2023,2.6,0.2, ,22.8,15.3,100,43,1.30,14.81
FERNY CREEK,05/04/2023,1.2,0.0, ,20.0,11.3,100,85,1.43,5.90
FERNY CREEK,06/04/2023,2.4,0.0, ,22.1,10.5,100,48,1.66,13.51
FERNY CREEK,07/04/2023,1.6,6.2, ,16.6,13.5,100,68,2.29,8.23
FERNY CREEK,08/04/2023,1.0,11.4, ,13.4,10.4,100,82,1.75,5.62
FERNY CREEK,09/04/2023,1.4,31.6, ,11.9,6.4,100,63,1.97,8.59
FERNY CREEK,10/04/2023,1.0,6.2, ,12.4,6.8,100,79,1.34,6.08
FERNY CREEK,11/04/2023,1.7,1.2, ,15.4,7.6,100,67,1.04,14.26
FERNY CREEK,12/04/2023,1.3,5.8, ,14.1,9.6,100,64,2.41,5.92
FERNY CREEK,13/04/2023,1.9,2.0, ,17.8,9.8,100,66,2.67,12.23
FERNY CREEK,14/04/2023,2.2,0.4, ,20.9,10.1,100,53,1.45,14.96
FERNY CREEK,15/04/2023,1.8,0.0, ,18.1,14.4,100,56,3.32,7.14
FERNY CREEK,16/04/2023,0.9,56.6, ,11.8,8.8,100,75,1.20,4.16
FERNY CREEK,17/04/2023,1.3,6.0, ,15.4,5.7,100,63,1.11,8.54
FERNY CREEK,18/04/2023,1.7,0.2, ,18.1,10.6,86,59,1.22,11.52
FERNY CREEK,19/04/2023,1.0,4.6, ,13.7,9.8,100,70,0.66,6.10
FERNY CREEK,20/04/2023,1.3,0.0, ,14.9,5.8,94,47,0.41,12.34
FERNY CREEK,21/04/2023,0.8,0.2, ,13.8,9.3,100,84,0.22,4.95
FERNY CREEK,22/04/2023,1.3,0.0, ,17.4,12.0,100,74,0.53,9.34
FERNY CREEK,23/04/2023,1.4,0.0, ,16.9,10.0,99,68,1.47,10.45
FERNY CREEK,24/04/2023,1.9,0.0, ,20.6,10.9,98,58,1.53,13.47
FERNY CREEK,25/04/2023,1.7,0.0, ,21.1,13.6,75,48,0.71,12.50
FERNY CREEK,26/04/2023,2.1,0.0, ,20.0,13.3,75,52,1.92,12.81
FERNY CREEK,27/04/2023,2.2,0.0, ,18.7,15.3,89,51,4.19,6.21
FERNY CREEK,28/04/2023,1.5,2.6, ,17.3,12.9,100,54,1.93,6.96
FERNY CREEK,29/04/2023,1.1,8.6, ,12.3,5.4,100,53,0.94,9.46
FERNY CREEK,30/04/2023,1.3,0.0, ,12.6,6.5,90,64,1.82,11.78
Totals:,,47.7,149.6, ,,,,,, 
