'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FERNY CREEK Victoria for September 2023,,,,,,,,,,
Issued at 22:30 GMT on Sunday 01 October 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FERNY CREEK,01/09/2023,1.3,7.2, ,10.8,5.8,100,69,1.25,10.73
FERNY CREEK,02/09/2023,1.8,0.2, ,14.5,3.1,96,56,1.34,16.19
FERNY CREEK,03/09/2023,2.1,0.0, ,15.9,6.6,92,52,1.61,16.36
FERNY CREEK,04/09/2023,2.6,0.0, ,18.6,10.3,100,39,3.35,11.82
FERNY CREEK,05/09/2023,1.1,22.0, ,9.4,3.8,100,75,0.91,8.22
FERNY CREEK,06/09/2023,2.2,3.6, ,16.1,4.0,90,55,2.58,15.66
FERNY CREEK,07/09/2023,3.2,0.0, ,18.8,8.3,100,30,4.02,14.77
FERNY CREEK,08/09/2023,0.8,9.0, ,6.0,4.3,100,77,2.83,4.20
FERNY CREEK,09/09/2023,1.5,10.4, ,10.4,1.9,100,60,1.13,12.96
FERNY CREEK,10/09/2023,1.2,0.0, ,10.8,4.0,100,71,0.62,9.08
FERNY CREEK,11/09/2023,1.5,0.4, ,13.7,6.4,100,64,0.45,11.92
FERNY CREEK,12/09/2023,2.7,0.0, ,20.0,8.2,88,29,1.30,17.73
FERNY CREEK,13/09/2023,2.8,0.0, ,20.3,9.9,78,36,1.29,18.19
FERNY CREEK,14/09/2023,3.5,0.0, ,20.3,12.8,70,35,2.68,17.35
FERNY CREEK,15/09/2023,3.4,0.0, ,20.9,13.3,75,29,2.22,17.98
FERNY CREEK,16/09/2023,3.3,0.0, ,19.8,9.4,68,42,2.41,18.78
FERNY CREEK,17/09/2023,2.3,0.0, ,19.3,9.3,88,49,0.99,15.23
FERNY CREEK,18/09/2023,2.0,0.0, ,20.8,9.7,100,45,1.06,10.19
FERNY CREEK,19/09/2023,3.1,0.0, ,22.2,12.0,64,29,1.92,12.24
FERNY CREEK,20/09/2023,1.6,5.2, ,12.7,9.2,100,46,1.42,8.22
FERNY CREEK,21/09/2023,1.9,3.6, ,12.0,4.9,100,60,1.01,15.86
FERNY CREEK,22/09/2023,2.1,1.4, ,12.3,4.2,96,59,1.49,17.96
FERNY CREEK,23/09/2023,2.7,0.0, ,17.4,4.4,95,50,1.42,20.07
FERNY CREEK,24/09/2023,3.0,0.0, ,19.4,9.6,88,45,1.42,20.34
FERNY CREEK,25/09/2023,3.3,0.0, ,20.1,14.5,100,42,2.18,19.14
FERNY CREEK,26/09/2023,2.4,0.0, ,16.9,5.3,100,67,1.12,18.54
FERNY CREEK,27/09/2023,1.8,0.2, ,13.8,7.7,100,64,1.05,12.33
FERNY CREEK,28/09/2023,2.7,0.0, ,18.4,7.5,98,45,0.78,19.42
FERNY CREEK,29/09/2023,3.9,0.0, ,24.6,8.8,90,11,1.60,21.18
FERNY CREEK,30/09/2023,5.3,0.0, ,25.0,16.5,33,17,2.83,21.47
Totals:,,73.1,63.2, ,,,,,, 
