'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FERNY CREEK (DUNNS HILL) Victoria for May 2010,,,,,,,,,,
Issued at 04:44 GMT on Monday 26 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FERNY CREEK (DUNNS HILL),01/05/2010,2.0,0.0, ,15.2,8.5,99,67,8.02,16.05
FERNY CREEK (DUNNS HILL),02/05/2010,1.5,0.0, ,12.2,10.1,93,69,5.76,7.94
FERNY CREEK (DUNNS HILL),03/05/2010,2.6,0.0, ,17.7,8.1,90,58,6.73,15.30
FERNY CREEK (DUNNS HILL),04/05/2010,3.0,0.0, ,18.7,11.7,99,47,8.59,12.96
FERNY CREEK (DUNNS HILL),05/05/2010,1.1,14.8, ,10.1,4.0,99,72,4.40,11.00
FERNY CREEK (DUNNS HILL),06/05/2010,1.4,5.8, ,12.5,4.8,99,67,4.34,13.00
FERNY CREEK (DUNNS HILL),07/05/2010,0.9,0.0, ,11.8,7.9,99,85,6.10,8.83
FERNY CREEK (DUNNS HILL),08/05/2010,1.4,9.4, ,14.3,8.6,99,75,3.79,14.34
FERNY CREEK (DUNNS HILL),09/05/2010,1.7,0.0, ,16.6,9.1,91,73,4.98,13.04
FERNY CREEK (DUNNS HILL),10/05/2010,2.2,0.0, ,15.4,11.6,84,68,8.21,13.80
FERNY CREEK (DUNNS HILL),11/05/2010,1.2,12.8, ,8.5,4.0,99,64,5.16,12.16
FERNY CREEK (DUNNS HILL),12/05/2010,0.7,11.2, ,8.3,4.0,99,91,3.35,11.21
FERNY CREEK (DUNNS HILL),13/05/2010,0.6,15.0, ,9.4,5.5,99,99,3.43,9.87
FERNY CREEK (DUNNS HILL),14/05/2010,0.6,5.4, ,9.5,8.1,99,98,3.02,9.03
FERNY CREEK (DUNNS HILL),15/05/2010,1.0,0.6, ,11.3,6.9,99,80,3.04,12.20
FERNY CREEK (DUNNS HILL),16/05/2010,1.3,0.0, ,14.0,7.3,98,70,2.62,13.91
FERNY CREEK (DUNNS HILL),17/05/2010,0.9,0.0, ,12.1,8.0,97,80,1.50,12.62
FERNY CREEK (DUNNS HILL),18/05/2010,1.4,0.0, ,12.8,8.0,98,46,2.15,13.53
FERNY CREEK (DUNNS HILL),19/05/2010,1.5,0.0, ,13.9,7.7,82,47,1.87,13.38
FERNY CREEK (DUNNS HILL),20/05/2010,1.1,0.0, ,13.0,8.7,99,69,2.30,12.14
FERNY CREEK (DUNNS HILL),21/05/2010,1.1,0.0, ,10.9,6.9,99,70,4.08,12.43
FERNY CREEK (DUNNS HILL),22/05/2010,1.3,0.0, ,10.0,5.7,87,66,3.39,13.28
FERNY CREEK (DUNNS HILL),23/05/2010,1.7,0.0, ,13.6,6.3,79,57,3.65,13.04
FERNY CREEK (DUNNS HILL),24/05/2010,1.5,0.0, ,12.3,8.5,97,57,5.83,7.96
FERNY CREEK (DUNNS HILL),25/05/2010,0.7,7.2, ,11.2,8.6,99,90,4.16,8.31
FERNY CREEK (DUNNS HILL),26/05/2010,1.0,1.6, ,13.0,8.7,99,80,5.09,11.73
FERNY CREEK (DUNNS HILL),27/05/2010,1.1,0.0, ,13.4,9.5,98,74,5.39,10.65
FERNY CREEK (DUNNS HILL),28/05/2010,1.3,1.2, ,12.6,9.8,93,71,6.06,9.75
FERNY CREEK (DUNNS HILL),29/05/2010,0.8,7.0, ,10.9,9.4,99,83,4.19,9.18
FERNY CREEK (DUNNS HILL),30/05/2010,0.8,1.0, ,11.7,9.1,99,86,8.90,7.50
FERNY CREEK (DUNNS HILL),31/05/2010,1.0,0.0, ,12.3,8.3,99,79,6.98,11.32
Totals:,,40.4,93, ,,,,,, 
