'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FRANKSTON (BALLAM PARK) Victoria for August 2022,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 September 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FRANKSTON (BALLAM PARK),01/08/2022,1.7,0.4, ,14.4,8.0,88,59,4.30,9.24
FRANKSTON (BALLAM PARK),02/08/2022,2.2,0.0, ,15.5,9.5,83,49,4.58,10.39
FRANKSTON (BALLAM PARK),03/08/2022,2.4,0.6, ,17.9,10.4,90,46,4.89,10.96
FRANKSTON (BALLAM PARK),04/08/2022,1.9,2.8, ,17.5,11.2,93,44,3.19,8.00
FRANKSTON (BALLAM PARK),05/08/2022,1.2,0.2, ,14.1,11.3,100,62,2.69,6.68
FRANKSTON (BALLAM PARK),06/08/2022,0.9,3.0, ,12.8,5.3,100,75,1.01,9.29
FRANKSTON (BALLAM PARK),07/08/2022,1.1,0.0, ,14.1,6.1,100,55,0.78,11.74
FRANKSTON (BALLAM PARK),08/08/2022,0.9,0.2, ,13.4,5.7,99,51,0.77,4.80
FRANKSTON (BALLAM PARK),09/08/2022,1.1,0.0, ,13.4,2.5,100,57,1.02,11.82
FRANKSTON (BALLAM PARK),10/08/2022,1.2,0.0, ,14.5,2.8,99,55,1.44,9.18
FRANKSTON (BALLAM PARK),11/08/2022,1.3,0.0, ,14.6,6.4,93,60,2.65,3.85
FRANKSTON (BALLAM PARK),12/08/2022,1.0,1.4, ,14.0,7.8,93,68,1.37,5.12
FRANKSTON (BALLAM PARK),13/08/2022,1.5,0.8, ,16.6,8.1,99,65,2.34,11.48
FRANKSTON (BALLAM PARK),14/08/2022,0.6,0.8, ,11.5,5.0,100,91,3.19,3.58
FRANKSTON (BALLAM PARK),15/08/2022,1.2,9.4, ,12.9,9.3,98,75,4.68,6.45
FRANKSTON (BALLAM PARK),16/08/2022,1.0,3.8, ,13.3,9.3,100,84,1.77,8.69
FRANKSTON (BALLAM PARK),17/08/2022,1.4,4.4, ,14.7,5.7,100,65,2.49,9.51
FRANKSTON (BALLAM PARK),18/08/2022,1.4,2.8, ,14.7,8.4,100,66,4.06,6.21
FRANKSTON (BALLAM PARK),19/08/2022,1.7,11.6, ,14.3,8.1,99,59,3.08,13.44
FRANKSTON (BALLAM PARK),20/08/2022,1.6,4.0, ,13.9,9.7,100,44,2.26,9.92
FRANKSTON (BALLAM PARK),21/08/2022,1.7,0.4, ,13.8,4.8,100,49,2.24,13.84
FRANKSTON (BALLAM PARK),22/08/2022,2.0,0.0, ,16.5,8.5,99,54,3.85,10.07
FRANKSTON (BALLAM PARK),23/08/2022,1.3,17.4, ,12.1,4.7,100,64,1.37,12.59
FRANKSTON (BALLAM PARK),24/08/2022,0.9,2.6, ,12.0,6.6,100,84,3.36,6.26
FRANKSTON (BALLAM PARK),25/08/2022,1.2,6.4, ,15.0,7.2,100,75,0.85,9.60
FRANKSTON (BALLAM PARK),26/08/2022,0.9,2.4, ,12.2,7.1,100,88,0.54,6.44
FRANKSTON (BALLAM PARK),27/08/2022,1.7,0.2, ,19.0,5.6,100,49,1.04,13.06
FRANKSTON (BALLAM PARK),28/08/2022,2.0,0.2, ,20.0,8.0,96,53,1.72,12.17
FRANKSTON (BALLAM PARK),29/08/2022,1.3,0.0, ,17.5,12.9,100,59,1.81,5.00
FRANKSTON (BALLAM PARK),30/08/2022,1.1,21.6, ,12.5,8.7,100,74,2.73,5.44
FRANKSTON (BALLAM PARK),31/08/2022,1.7,4.2, ,15.0,4.6,99,61,1.45,15.62
Totals:,,43.1,101.6, ,,,,,, 
