'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GABO ISLAND LIGHTHOUSE Victoria for February 2010,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GABO ISLAND LIGHTHOUSE,01/02/2010,4.8,0.0, ,21.3,19.1,92,71,5.74,30.29
GABO ISLAND LIGHTHOUSE,02/02/2010,5.1,0.0, ,24.2,19.3,96,62,7.15,27.91
GABO ISLAND LIGHTHOUSE,03/02/2010,3.8,0.2, ,23.4,20.3,93,81,9.63,23.50
GABO ISLAND LIGHTHOUSE,04/02/2010,2.6,1.0, ,22.9,20.2,98,85,11.43,15.46
GABO ISLAND LIGHTHOUSE,05/02/2010,1.6,23.6, ,22.5,18.9,99,93,7.86,9.22
GABO ISLAND LIGHTHOUSE,06/02/2010,2.1,40.4, ,20.5,15.7,98,84,9.30,12.69
GABO ISLAND LIGHTHOUSE,07/02/2010,3.9,8.2, ,24.2,18.3,98,78,4.05,23.22
GABO ISLAND LIGHTHOUSE,08/02/2010,5.5,0.4, ,26.4,19.1,95,66,8.21,30.23
GABO ISLAND LIGHTHOUSE,09/02/2010,5.6,0.0, ,26.8,21.1,94,67,6.75,30.15
GABO ISLAND LIGHTHOUSE,10/02/2010,4.6,0.0, ,25.1,18.9,98,73,3.92,26.98
GABO ISLAND LIGHTHOUSE,11/02/2010,4.2,0.0, ,25.4,20.0,95,79,6.98,24.64
GABO ISLAND LIGHTHOUSE,12/02/2010,3.0,4.2, ,22.7,20.1,97,68,5.86,12.86
GABO ISLAND LIGHTHOUSE,13/02/2010,3.0,1.4, ,21.3,19.6,89,75,9.15,12.86
GABO ISLAND LIGHTHOUSE,14/02/2010,2.3,9.8, ,20.6,19.1,95,81,11.23,10.23
GABO ISLAND LIGHTHOUSE,15/02/2010,2.4,20.2, ,20.8,18.2,97,76,11.25,9.75
GABO ISLAND LIGHTHOUSE,16/02/2010,5.0,33.6, ,22.7,18.1,90,58,9.20,25.95
GABO ISLAND LIGHTHOUSE,17/02/2010,5.0,0.0, ,22.5,15.9,85,54,4.01,28.63
GABO ISLAND LIGHTHOUSE,18/02/2010,4.9,0.0, ,23.7,15.9,86,65,5.20,28.61
GABO ISLAND LIGHTHOUSE,19/02/2010,5.0,0.0, ,23.4,17.1,89,66,8.79,29.04
GABO ISLAND LIGHTHOUSE,20/02/2010,5.2,0.0, ,23.5,17.3,88,63,8.89,28.96
GABO ISLAND LIGHTHOUSE,21/02/2010,6.3,0.0, ,30.0,18.5,88,48,5.75,26.49
GABO ISLAND LIGHTHOUSE,22/02/2010,2.7,3.2, ,23.7,19.6,93,74,4.91,10.97
GABO ISLAND LIGHTHOUSE,23/02/2010,5.1,2.2, ,20.5,15.0,90,50,12.57,25.63
GABO ISLAND LIGHTHOUSE,24/02/2010,4.9,0.0, ,22.2,13.8,82,53,3.60,28.73
GABO ISLAND LIGHTHOUSE,25/02/2010,4.7,0.0, ,23.4,14.5,89,66,6.65,28.38
GABO ISLAND LIGHTHOUSE,26/02/2010,6.1,0.0, ,23.1,17.8,81,51,11.33,28.54
GABO ISLAND LIGHTHOUSE,27/02/2010,4.4,0.0, ,24.0,18.2,92,61,5.29,23.06
GABO ISLAND LIGHTHOUSE,28/02/2010,3.9,4.0, ,22.1,17.8,92,60,9.91,14.39
Totals:,,117.7,152.4, ,,,,,, 
