'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GABO ISLAND LIGHTHOUSE Victoria for October 2015,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 November 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GABO ISLAND LIGHTHOUSE,01/10/2015,3.4,0.0, ,18.3,9.5,90,59,5.57,21.77
GABO ISLAND LIGHTHOUSE,02/10/2015,3.3,0.0, ,20.0,11.9,90,70,5.99,21.71
GABO ISLAND LIGHTHOUSE,03/10/2015,4.4,0.0, ,25.3,12.4,96,39,3.02,22.35
GABO ISLAND LIGHTHOUSE,04/10/2015,5.4,0.0, ,20.1,16.7,84,21,6.10,22.46
GABO ISLAND LIGHTHOUSE,05/10/2015,4.8,0.0, ,22.7,13.2,77,46,5.51,22.26
GABO ISLAND LIGHTHOUSE,06/10/2015,10.4,0.0, ,35.6,16.5,77,8,7.37,22.29
GABO ISLAND LIGHTHOUSE,07/10/2015,4.4,0.0, ,16.1,13.5,82,49,11.50,23.07
GABO ISLAND LIGHTHOUSE,08/10/2015,3.9,0.0, ,18.5,9.6,87,53,9.29,18.48
GABO ISLAND LIGHTHOUSE,09/10/2015,3.5,0.0, ,21.0,13.8,90,64,4.64,19.85
GABO ISLAND LIGHTHOUSE,10/10/2015,4.1,0.0, ,21.4,12.7,92,50,4.97,22.01
GABO ISLAND LIGHTHOUSE,11/10/2015,2.9,0.0, ,23.2,15.1,91,56,3.60,10.35
GABO ISLAND LIGHTHOUSE,12/10/2015,1.6,9.6, ,16.0,14.7,96,75,7.61,3.93
GABO ISLAND LIGHTHOUSE,13/10/2015,3.0,0.2, ,18.5,12.3,91,71,5.96,19.37
GABO ISLAND LIGHTHOUSE,14/10/2015,3.9,0.0, ,21.1,12.3,92,67,8.16,24.23
GABO ISLAND LIGHTHOUSE,15/10/2015,3.8,0.0, ,21.4,15.4,94,71,9.01,24.56
GABO ISLAND LIGHTHOUSE,16/10/2015,3.9,0.0, ,25.6,16.1,93,53,5.08,13.92
GABO ISLAND LIGHTHOUSE,17/10/2015,4.5,0.0, ,21.8,13.3,81,52,7.42,17.99
GABO ISLAND LIGHTHOUSE,18/10/2015,3.0,0.0, ,18.1,12.1,83,64,4.83,15.04
GABO ISLAND LIGHTHOUSE,19/10/2015,3.8,0.0, ,21.8,13.5,97,69,4.27,24.88
GABO ISLAND LIGHTHOUSE,20/10/2015, ,0.0, , ,13.5,100,65,3.95,21.90
GABO ISLAND LIGHTHOUSE,21/10/2015, , , ,22.9, ,97,58,3.97,10.63
GABO ISLAND LIGHTHOUSE,22/10/2015,3.1,25.4, ,17.6,14.1,96,56,8.91,12.71
GABO ISLAND LIGHTHOUSE,23/10/2015,3.5,0.0, ,18.4,12.3,82,55,4.75,17.19
GABO ISLAND LIGHTHOUSE,24/10/2015,4.3,0.0, ,19.5,13.8,83,55,4.63,24.29
GABO ISLAND LIGHTHOUSE,25/10/2015, ,0.0, , ,13.4,93,72,6.14,25.95
GABO ISLAND LIGHTHOUSE,26/10/2015, , , ,21.4, ,89,52,9.93,13.47
GABO ISLAND LIGHTHOUSE,27/10/2015,4.5,0.2, ,17.3,12.5,60,43,6.15,16.28
GABO ISLAND LIGHTHOUSE,28/10/2015,4.8,0.0, ,18.8,11.3,81,49,6.90,27.40
GABO ISLAND LIGHTHOUSE,29/10/2015,4.2,0.0, ,19.9,11.0,91,62,6.58,27.51
GABO ISLAND LIGHTHOUSE,30/10/2015,4.9,0.0, ,20.0,14.9,85,56,9.81,27.05
GABO ISLAND LIGHTHOUSE,31/10/2015,4.2,0.0, ,20.7,15.1,91,63,14.18,21.39
Totals:,,111.5,35.4, ,,,,,, 
