'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GABO ISLAND LIGHTHOUSE Victoria for July 2023,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 August 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GABO ISLAND LIGHTHOUSE,01/07/2023,1.8,0.0, ,14.5,8.7,91,68,11.01,7.81
GABO ISLAND LIGHTHOUSE,02/07/2023,1.7,1.6, ,14.8,7.4,87,71,9.91,9.37
GABO ISLAND LIGHTHOUSE,03/07/2023,1.1,0.0, ,14.8,6.6,91,76,4.49,9.31
GABO ISLAND LIGHTHOUSE,04/07/2023,0.9,0.0, ,14.5,10.6,95,76,3.30,4.42
GABO ISLAND LIGHTHOUSE,05/07/2023,0.9,1.4, ,15.5,9.2,96,85,4.93,8.07
GABO ISLAND LIGHTHOUSE,06/07/2023,1.7,0.2, ,15.5,7.8,92,49,4.28,9.54
GABO ISLAND LIGHTHOUSE,07/07/2023,1.9,0.0, ,15.6,6.1,83,55,5.36,9.42
GABO ISLAND LIGHTHOUSE,08/07/2023,2.9,0.0, ,17.0,7.2,65,43,5.96,9.22
GABO ISLAND LIGHTHOUSE,09/07/2023,3.3,0.0, ,17.3,11.2,82,48,11.03,9.30
GABO ISLAND LIGHTHOUSE,10/07/2023,2.2,0.0, ,17.0,8.9,82,53,5.63,9.47
GABO ISLAND LIGHTHOUSE,11/07/2023,2.4,0.0, ,16.3,11.4,80,54,7.01,8.91
GABO ISLAND LIGHTHOUSE,12/07/2023,1.8,0.0, ,18.4,7.3,89,53,3.63,9.77
GABO ISLAND LIGHTHOUSE,13/07/2023,2.2,0.0, ,16.9,7.0,88,42,4.67,9.80
GABO ISLAND LIGHTHOUSE,14/07/2023,2.0,0.0, ,18.8,5.7,85,33,2.67,7.28
GABO ISLAND LIGHTHOUSE,15/07/2023,2.3,0.0, ,18.2,6.9,84,45,4.40,8.30
GABO ISLAND LIGHTHOUSE,16/07/2023,2.1,0.0, ,14.7,7.6,87,56,7.01,10.21
GABO ISLAND LIGHTHOUSE,17/07/2023,1.1,0.0, ,14.9,6.6,95,71,3.12,10.28
GABO ISLAND LIGHTHOUSE,18/07/2023,3.8,0.0, ,19.6,4.2,96,34,9.43,10.25
GABO ISLAND LIGHTHOUSE,19/07/2023,2.2,2.8, ,13.3,5.2,84,61,12.03,6.26
GABO ISLAND LIGHTHOUSE,20/07/2023,2.1,0.0, ,15.7,7.0,79,57,5.82,5.86
GABO ISLAND LIGHTHOUSE,21/07/2023,2.2,0.0, ,13.8,7.5,88,60,10.39,9.12
GABO ISLAND LIGHTHOUSE,22/07/2023,1.7,2.0, ,14.1,6.9,93,68,8.98,9.19
GABO ISLAND LIGHTHOUSE,23/07/2023,1.7,0.0, ,14.4,2.9,88,69,8.09,10.68
GABO ISLAND LIGHTHOUSE,24/07/2023,1.9,0.0, ,14.8,6.6,86,68,8.77,9.85
GABO ISLAND LIGHTHOUSE,25/07/2023,1.9,0.0, ,15.0,11.1,88,68,7.83,9.38
GABO ISLAND LIGHTHOUSE,26/07/2023,1.3,0.0, ,13.7,5.3,92,76,5.97,10.84
GABO ISLAND LIGHTHOUSE,27/07/2023,1.8,0.0, ,16.8,4.8,91,64,5.41,11.14
GABO ISLAND LIGHTHOUSE,28/07/2023,2.0,0.0, ,19.9,9.5,86,51,3.16,7.49
GABO ISLAND LIGHTHOUSE,29/07/2023,2.6,0.0, ,21.5,8.9,89,43,3.93,11.30
GABO ISLAND LIGHTHOUSE,30/07/2023,1.9,0.0, ,17.0,9.8,87,58,3.74,11.45
GABO ISLAND LIGHTHOUSE,31/07/2023,2.0,0.0, ,17.6,4.6,89,56,4.27,11.56
Totals:,,61.4,8, ,,,,,, 
