'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GELANTIPY Victoria for December 2012,,,,,,,,,,
Issued at 22:37 GMT on Tuesday 01 January 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GELANTIPY,01/12/2012,5.4,0.2, ,25.6,20.1,99,46,4.45,24.41
GELANTIPY,02/12/2012,3.0,8.2, ,15.1,9.5,99,75,2.53,21.06
GELANTIPY,03/12/2012,4.0,0.6, ,17.8,9.2,99,72,2.24,28.34
GELANTIPY,04/12/2012,3.0,0.0, ,11.5,6.5,99,64,3.26,23.45
GELANTIPY,05/12/2012,3.5,6.0, ,13.1,4.6,97,53,6.85,26.54
GELANTIPY,06/12/2012,4.1,1.2, ,16.0,5.1,99,56,3.88,30.87
GELANTIPY,07/12/2012,4.9,0.0, ,23.3,6.4,99,46,3.33,27.06
GELANTIPY,08/12/2012,7.2,0.0, ,27.5,9.8,80,29,4.32,32.88
GELANTIPY,09/12/2012,3.0,2.0, ,13.2,7.4,98,64,2.71,21.09
GELANTIPY,10/12/2012,5.1,0.4, ,20.5,1.4,99,41,3.67,33.13
GELANTIPY,11/12/2012,5.7,0.2, ,21.2,6.2,90,40,5.02,33.73
GELANTIPY,12/12/2012,6.4,0.0, ,26.3,9.5,93,35,4.18,31.06
GELANTIPY,13/12/2012,7.2,0.0, ,29.0,13.5,87,30,3.76,32.44
GELANTIPY,14/12/2012,3.0,0.0, ,19.6,14.8,99,74,2.35,16.72
GELANTIPY,15/12/2012,3.4,3.6, ,21.5,15.4,99,66,3.58,17.31
GELANTIPY,16/12/2012,4.3,11.2, ,21.0,12.4,99,49,4.13,21.93
GELANTIPY,17/12/2012,4.1,1.0, ,17.8,7.4,99,62,2.10,28.25
GELANTIPY,18/12/2012,5.3,0.0, ,21.7,7.0,99,48,3.04,33.99
GELANTIPY,19/12/2012,6.9,0.0, ,28.7,10.6,95,28,4.65,28.52
GELANTIPY,20/12/2012, ,3.6, , ,10.0,98,38,2.98,25.98
GELANTIPY,21/12/2012, , , , , ,99,56,2.09,32.06
GELANTIPY,22/12/2012, , , ,25.3, ,99,48,2.95,34.06
GELANTIPY,23/12/2012,8.2,0.0, ,31.5,12.4,84,31,5.73,30.95
GELANTIPY,24/12/2012,5.1,2.0, ,27.0,17.4,99,46,5.97,18.48
GELANTIPY,25/12/2012,3.0,7.6, ,14.1,8.8,99,70,2.64,21.09
GELANTIPY,26/12/2012,4.7,0.0, ,19.5,3.3,99,42,3.27,30.37
GELANTIPY,27/12/2012,6.5,0.0, ,25.7,8.6,91,35,4.52,32.52
GELANTIPY,28/12/2012,4.2,0.0, ,18.5,9.6,99,50,3.60,25.39
GELANTIPY,29/12/2012,5.4,0.0, ,20.4,7.2,99,39,3.33,33.55
GELANTIPY,30/12/2012,5.4,0.0, ,20.5,7.8,99,33,2.51,33.66
GELANTIPY,31/12/2012,5.9,0.0, ,25.5,7.0,96,42,2.63,33.84
Totals:,,137.9,47.8, ,,,,,, 
