'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GELANTIPY Victoria for June 2018,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 July 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GELANTIPY,01/06/2018,1.0,0.0, ,6.4,1.8,87,64,3.31,4.95
GELANTIPY,02/06/2018,1.2,0.0, ,6.8,4.7,73,63,3.35,4.26
GELANTIPY,03/06/2018,1.1,0.0, ,9.4,4.4,70,52,1.95,6.10
GELANTIPY,04/06/2018,1.0,0.0, ,7.7,5.9,78,59,1.89,4.09
GELANTIPY,05/06/2018,0.9,0.0, ,10.4,3.0,79,50,1.40,8.13
GELANTIPY,06/06/2018,1.9,0.0, ,12.1,2.8,80,44,4.72,9.23
GELANTIPY,07/06/2018,2.4,0.0, ,14.3,5.5,66,38,4.87,8.68
GELANTIPY,08/06/2018,2.6,12.8, ,11.2,9.0,56,40,5.34,4.24
GELANTIPY,09/06/2018,1.2,0.6, ,11.5,6.7,63,46,1.67,5.69
GELANTIPY,10/06/2018,1.1,0.2, ,11.5,3.9,78,48,2.10,9.21
GELANTIPY,11/06/2018,1.5,0.0, ,10.6,1.3,89,49,4.82,9.39
GELANTIPY,12/06/2018,1.8,0.0, ,12.6,3.1,79,43,4.28,8.32
GELANTIPY,13/06/2018,1.9,0.0, ,11.0,6.7,69,47,4.64,6.36
GELANTIPY,14/06/2018,1.9,0.0, ,10.8,4.5,72,48,5.45,8.47
GELANTIPY,15/06/2018,2.2,0.0, ,10.2,6.3,67,50,7.48,9.41
GELANTIPY,16/06/2018,1.4,1.6, ,7.9,2.5,81,59,6.10,9.23
GELANTIPY,17/06/2018,1.2,0.0, ,6.6,2.9,84,64,6.02,5.06
GELANTIPY,18/06/2018,1.2,43.8, ,6.2,2.2,79,65,5.17,4.71
GELANTIPY,19/06/2018,0.9,22.4, ,7.5,3.3,78,61,2.10,7.28
GELANTIPY,20/06/2018,1.4,0.4, ,10.7,2.2,84,48,3.73,9.11
GELANTIPY,21/06/2018,0.9,0.0, ,10.8,-0.2,100,48,2.09,9.41
GELANTIPY,22/06/2018,0.8,0.0, ,8.7,-0.5,100,54,1.91,9.39
GELANTIPY,23/06/2018,1.1,0.0, ,10.3,-0.2,98,50,2.89,8.48
GELANTIPY,24/06/2018,1.2,0.0, ,7.2,2.8,79,62,4.17,6.04
GELANTIPY,25/06/2018,0.7,0.0, ,8.2,0.6,94,58,1.80,8.43
GELANTIPY,26/06/2018,1.1,0.0, ,10.7,-1.0,100,48,2.93,9.47
GELANTIPY,27/06/2018,1.1,0.2, ,10.2,-0.2,99,50,2.88,9.29
GELANTIPY,28/06/2018,1.0,0.8, ,9.2,0.6,96,52,2.89,5.45
GELANTIPY,29/06/2018,1.2,0.0, ,10.4,2.8,79,50,2.64,8.70
GELANTIPY,30/06/2018,1.8,0.0, ,9.5,4.3,74,53,6.21,8.08
Totals:,,40.7,82.8, ,,,,,, 
