'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GRAMPIANS (MOUNT WILLIAM) Victoria for February 2018,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 March 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GRAMPIANS (MOUNT WILLIAM),01/02/2018,3.9,0.2, ,15.4,3.0,99,51,11.01,28.61
GRAMPIANS (MOUNT WILLIAM),02/02/2018,4.4,0.2, ,18.1,5.3,100,49,9.13,27.90
GRAMPIANS (MOUNT WILLIAM),03/02/2018,5.4,0.0, ,21.9,6.9,99,40,8.21,27.16
GRAMPIANS (MOUNT WILLIAM),04/02/2018,6.2,0.0, ,25.3,8.7,96,26,4.58,28.13
GRAMPIANS (MOUNT WILLIAM),05/02/2018,6.4,0.0, ,27.8,14.0,75,24,4.11,24.40
GRAMPIANS (MOUNT WILLIAM),06/02/2018,8.3,0.0, ,30.5,15.1,49,12,4.77,28.04
GRAMPIANS (MOUNT WILLIAM),07/02/2018,7.5,0.0, ,31.1,17.6,51,21,3.82,27.64
GRAMPIANS (MOUNT WILLIAM),08/02/2018,6.3,0.0, ,26.5,20.2,73,32,5.91,19.53
GRAMPIANS (MOUNT WILLIAM),09/02/2018,6.1,0.0, ,27.4,15.6,63,35,5.16,19.89
GRAMPIANS (MOUNT WILLIAM),10/02/2018,5.4,0.0, ,26.4,18.8,98,38,8.18,15.16
GRAMPIANS (MOUNT WILLIAM),11/02/2018,2.3,0.2, ,14.5,6.7,99,62,6.89,11.04
GRAMPIANS (MOUNT WILLIAM),12/02/2018,3.7,0.0, ,18.1,5.0,99,46,5.04,19.90
GRAMPIANS (MOUNT WILLIAM),13/02/2018,5.0,0.0, ,22.3,7.5,95,33,4.04,25.13
GRAMPIANS (MOUNT WILLIAM),14/02/2018,3.9,4.8, ,15.1,5.5,99,42,8.04,24.48
GRAMPIANS (MOUNT WILLIAM),15/02/2018,2.4,0.0, ,14.6,5.2,99,68,5.22,16.02
GRAMPIANS (MOUNT WILLIAM),16/02/2018,4.2,3.2, ,18.1,6.2,99,39,3.67,25.88
GRAMPIANS (MOUNT WILLIAM),17/02/2018,4.9,0.0, ,21.7,6.4,74,37,3.94,25.13
GRAMPIANS (MOUNT WILLIAM),18/02/2018,3.3,0.0, ,21.8,11.9,99,50,4.43,13.07
GRAMPIANS (MOUNT WILLIAM),19/02/2018,2.0,5.8, ,15.6,9.3,100,83,9.28,15.88
GRAMPIANS (MOUNT WILLIAM),20/02/2018,6.2,0.0, ,27.1,9.3,100,33,6.03,25.46
GRAMPIANS (MOUNT WILLIAM),21/02/2018,4.0,0.0, ,20.9,14.2,68,46,5.85,9.66
GRAMPIANS (MOUNT WILLIAM),22/02/2018,2.2,0.2, ,17.0,14.0,100,58,7.86,4.92
GRAMPIANS (MOUNT WILLIAM),23/02/2018,6.3,14.8, ,28.5,12.3,100,40,9.47,20.22
GRAMPIANS (MOUNT WILLIAM),24/02/2018,3.0,3.4, ,18.2,15.8,100,54,8.30,10.80
GRAMPIANS (MOUNT WILLIAM),25/02/2018,2.3,0.6, ,10.8,4.5,99,68,13.49,21.23
GRAMPIANS (MOUNT WILLIAM),26/02/2018,4.3,0.2, ,21.5,4.6,100,48,4.86,24.38
GRAMPIANS (MOUNT WILLIAM),27/02/2018,6.7,0.2, ,24.7,10.5,65,31,7.93,24.32
GRAMPIANS (MOUNT WILLIAM),28/02/2018,3.6,0.0, ,14.8,10.9,99,42,10.00,18.21
Totals:,,130.2,33.8, ,,,,,, 
