'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GRAMPIANS (MOUNT WILLIAM) Victoria for May 2019,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 June 2019,,,,,,,,,,
© Copyright Commonwealth of Australia 2019 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GRAMPIANS (MOUNT WILLIAM),01/05/2019,1.6,7.2, ,11.1,6.0,100,63,11.25,3.59
GRAMPIANS (MOUNT WILLIAM),02/05/2019,1.3,14.4, ,9.3,6.1,100,70,9.68,8.55
GRAMPIANS (MOUNT WILLIAM),03/05/2019,1.2,0.4, ,10.0,4.1,100,73,5.67,10.54
GRAMPIANS (MOUNT WILLIAM),04/05/2019,0.4,5.8, ,5.6,2.5,100,100,8.01,7.20
GRAMPIANS (MOUNT WILLIAM),05/05/2019,0.4,2.0, ,7.0,2.5,100,100,7.29,7.27
GRAMPIANS (MOUNT WILLIAM),06/05/2019,1.5,1.2, ,9.2,3.6,100,53,5.12,10.07
GRAMPIANS (MOUNT WILLIAM),07/05/2019,2.2,0.0, ,11.1,4.1,100,42,8.51,10.89
GRAMPIANS (MOUNT WILLIAM),08/05/2019,0.4,23.6, ,5.1,3.1,100,99,6.46,6.89
GRAMPIANS (MOUNT WILLIAM),09/05/2019,0.3,5.2, ,5.2,3.3,100,100,10.79,4.51
GRAMPIANS (MOUNT WILLIAM),10/05/2019,0.4,38.2, ,4.5,0.7,100,95,13.07,7.01
GRAMPIANS (MOUNT WILLIAM),11/05/2019,0.3,4.0, ,6.1,0.7,100,100,6.88,6.48
GRAMPIANS (MOUNT WILLIAM),12/05/2019,0.4,2.2, ,6.9,4.4,100,100,4.49,5.81
GRAMPIANS (MOUNT WILLIAM),13/05/2019,0.5,1.6, ,6.8,3.6,100,93,8.73,6.75
GRAMPIANS (MOUNT WILLIAM),14/05/2019,0.8,0.0, ,10.0,4.0,100,83,4.21,8.24
GRAMPIANS (MOUNT WILLIAM),15/05/2019,0.9,0.2, ,7.0,4.4,100,69,3.41,7.05
GRAMPIANS (MOUNT WILLIAM),16/05/2019,1.2,0.0, ,10.3,3.2,100,47,2.35,9.28
GRAMPIANS (MOUNT WILLIAM),17/05/2019,1.3,0.0, ,12.1,3.6,95,36,1.70,10.88
GRAMPIANS (MOUNT WILLIAM),18/05/2019,2.3,0.0, ,12.6,4.4,96,24,4.94,10.79
GRAMPIANS (MOUNT WILLIAM),19/05/2019,2.2,0.0, ,13.3,8.6,85,59,8.78,9.46
GRAMPIANS (MOUNT WILLIAM),20/05/2019,0.8,5.4, ,10.1,7.1,100,82,9.47,4.46
GRAMPIANS (MOUNT WILLIAM),21/05/2019,0.4,0.6, ,8.7,5.8,100,97,9.24,6.86
GRAMPIANS (MOUNT WILLIAM),22/05/2019,1.5,0.2, ,12.9,6.3,97,62,5.67,10.44
GRAMPIANS (MOUNT WILLIAM),23/05/2019,1.7,0.0, ,13.5,8.0,93,65,8.53,10.19
GRAMPIANS (MOUNT WILLIAM),24/05/2019,2.9,1.4, ,13.4,8.0,100,24,9.05,7.05
GRAMPIANS (MOUNT WILLIAM),25/05/2019,0.5,2.4, ,7.0,5.5,100,88,7.76,2.90
GRAMPIANS (MOUNT WILLIAM),26/05/2019,0.2,17.8, ,4.9,1.4,100,100,8.93,4.86
GRAMPIANS (MOUNT WILLIAM),27/05/2019,0.2,23.6, ,4.2,-1.6,100,100,8.01,4.10
GRAMPIANS (MOUNT WILLIAM),28/05/2019,0.2,12.4, ,5.9,-0.7,100,100,9.81,5.46
GRAMPIANS (MOUNT WILLIAM),29/05/2019,0.2,11.2, ,0.1,-1.8,100,100,8.51,5.28
GRAMPIANS (MOUNT WILLIAM),30/05/2019,0.2,0.0, ,5.2,-2.1,100,100,8.79,5.75
GRAMPIANS (MOUNT WILLIAM),31/05/2019,0.2,15.2, ,4.9,-0.1,100,100,10.51,6.22
Totals:,,28.6,196.2, ,,,,,, 
