'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HAMILTON AIRPORT Victoria for September 2012,,,,,,,,,,
Issued at 22:38 GMT on Monday 01 October 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HAMILTON AIRPORT,01/09/2012,1.4,1.4, ,12.6,6.0,99,68,1.52,11.73
HAMILTON AIRPORT,02/09/2012,3.2,0.0, ,18.6,4.1,97,45,5.89,16.31
HAMILTON AIRPORT,03/09/2012,2.6,0.0, ,18.7,7.1,99,50,3.63,15.35
HAMILTON AIRPORT,04/09/2012,5.4,0.0, ,22.1,8.1,78,26,8.09,16.73
HAMILTON AIRPORT,05/09/2012,3.6,0.0, ,13.6,12.9,94,27,11.15,8.39
HAMILTON AIRPORT,06/09/2012,2.2,9.0, ,14.9,7.6,95,67,9.13,12.50
HAMILTON AIRPORT,07/09/2012,2.0,7.0, ,12.1,5.8,95,64,9.08,13.04
HAMILTON AIRPORT,08/09/2012,1.4,1.8, ,11.7,7.2,96,78,6.70,9.93
HAMILTON AIRPORT,09/09/2012,2.4,2.4, ,16.1,6.8,97,58,3.25,17.66
HAMILTON AIRPORT,10/09/2012,2.0,0.2, ,16.0,2.9,99,62,3.65,13.15
HAMILTON AIRPORT,11/09/2012,3.0,0.2, ,19.0,3.9,97,46,3.87,18.18
HAMILTON AIRPORT,12/09/2012,3.4,0.0, ,18.6,8.4,95,41,7.17,9.76
HAMILTON AIRPORT,13/09/2012,2.4,1.8, ,13.1,3.5,96,55,5.04,17.24
HAMILTON AIRPORT,14/09/2012,1.6,3.0, ,13.7,4.9,98,74,4.47,10.77
HAMILTON AIRPORT,15/09/2012,1.8,0.6, ,13.0,6.5,99,62,2.12,12.31
HAMILTON AIRPORT,16/09/2012,1.7,0.0, ,14.6,6.9,99,71,3.78,10.19
HAMILTON AIRPORT,17/09/2012,2.2,1.6, ,15.1,3.3,99,48,2.08,15.45
HAMILTON AIRPORT,18/09/2012,2.0,0.8, ,14.8,6.8,99,65,3.20,14.06
HAMILTON AIRPORT,19/09/2012,2.6,0.4, ,17.0,2.7,99,45,2.42,17.71
HAMILTON AIRPORT,20/09/2012,4.0,0.4, ,21.8,9.4,91,49,6.52,18.42
HAMILTON AIRPORT,21/09/2012,2.8,1.6, ,17.1,11.1,97,55,5.35,15.97
HAMILTON AIRPORT,22/09/2012,3.4,0.0, ,19.2,5.5,99,47,4.69,20.49
HAMILTON AIRPORT,23/09/2012,3.0,0.2, ,13.6,8.2,94,49,7.18,18.28
HAMILTON AIRPORT,24/09/2012,2.1,1.4, ,12.6,2.3,97,56,4.12,12.91
HAMILTON AIRPORT,25/09/2012,2.8,0.6, ,15.3,1.3,97,53,3.64,21.13
HAMILTON AIRPORT,26/09/2012,4.9,0.0, ,20.5,5.7,81,32,8.00,16.48
HAMILTON AIRPORT,27/09/2012,4.9,0.0, ,23.0,10.0,88,34,5.51,21.36
HAMILTON AIRPORT,28/09/2012,2.9,5.6, ,14.4,10.4,91,53,8.97,11.78
HAMILTON AIRPORT,29/09/2012,2.2,10.2, ,11.8,0.8,96,59,7.41,14.68
HAMILTON AIRPORT,30/09/2012,2.2,5.4, ,14.0,4.2,98,65,4.25,16.41
Totals:,,82.1,55.6, ,,,,,, 
