'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HAMILTON AIRPORT Victoria for March 2016,,,,,,,,,,
Issued at 22:30 GMT on Friday 01 April 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HAMILTON AIRPORT,01/03/2016,6.7,0.0, ,32.3,10.3,93,19,4.13,21.53
HAMILTON AIRPORT,02/03/2016,7.2,0.0, ,32.1,13.7,79,13,4.32,22.59
HAMILTON AIRPORT,03/03/2016,7.0,0.0, ,29.6,13.0,88,27,6.33,23.08
HAMILTON AIRPORT,04/03/2016, ,0.0, ,34.1, ,94,26,5.01,23.38
HAMILTON AIRPORT,05/03/2016,5.5,0.0, ,28.5,14.5,93,40,5.70,19.55
HAMILTON AIRPORT,06/03/2016,7.2,0.0, ,31.8,13.9,92,29,6.76,20.92
HAMILTON AIRPORT,07/03/2016,7.1,0.6, ,30.6,16.5,87,28,7.87,16.11
HAMILTON AIRPORT,08/03/2016,9.9,0.2, ,39.1,15.4,91,13,6.30,20.94
HAMILTON AIRPORT,09/03/2016,3.1,0.0, ,23.6,18.9,96,45,5.13,6.11
HAMILTON AIRPORT,10/03/2016,1.9,4.8, ,22.8,15.3,97,77,4.14,7.07
HAMILTON AIRPORT,11/03/2016,4.0,1.4, ,29.6,16.5,97,48,3.34,15.21
HAMILTON AIRPORT,12/03/2016,3.2,0.2, ,24.6,16.9,96,60,4.39,13.27
HAMILTON AIRPORT,13/03/2016,4.9,0.0, ,27.0,14.5,96,45,5.52,19.88
HAMILTON AIRPORT,14/03/2016,3.8,0.0, ,21.1,14.0,95,50,7.24,15.11
HAMILTON AIRPORT,15/03/2016,6.1,0.0, ,27.6,12.6,93,35,7.80,20.24
HAMILTON AIRPORT,16/03/2016,6.7,0.2, ,31.9,12.7,92,22,4.99,20.45
HAMILTON AIRPORT,17/03/2016,7.9,0.0, ,33.8,15.4,87,23,7.01,18.18
HAMILTON AIRPORT,18/03/2016,3.3,24.4, ,18.2,11.4,95,53,8.35,14.76
HAMILTON AIRPORT,19/03/2016,2.4,2.4, ,16.0,8.2,94,54,4.12,11.11
HAMILTON AIRPORT,20/03/2016,2.7,0.0, ,17.8,10.4,91,49,4.63,10.10
HAMILTON AIRPORT,21/03/2016,4.3,0.0, ,22.3,6.5,95,40,5.61,20.35
HAMILTON AIRPORT,22/03/2016,5.0,0.2, ,26.2,8.6,95,27,3.98,21.70
HAMILTON AIRPORT,23/03/2016,4.3,0.0, ,26.2,12.9,93,26,4.20,11.20
HAMILTON AIRPORT,24/03/2016,3.0,0.4, ,21.2,14.0,93,57,4.72,13.08
HAMILTON AIRPORT,25/03/2016,3.6,0.0, ,21.3,9.0,87,44,4.21,16.70
HAMILTON AIRPORT,26/03/2016,1.9,0.6, ,18.4,12.3,95,64,3.55,6.91
HAMILTON AIRPORT,27/03/2016,2.7,0.6, ,17.8,10.5,95,46,4.17,10.83
HAMILTON AIRPORT,28/03/2016,2.5,0.0, ,16.6,6.5,82,47,4.20,7.94
HAMILTON AIRPORT,29/03/2016,2.7,0.0, ,16.8,9.8,90,44,4.65,8.79
HAMILTON AIRPORT,30/03/2016,3.1,0.0, ,19.2,10.5,81,37,3.69,11.15
HAMILTON AIRPORT,31/03/2016,3.1,0.0, ,22.5,9.2,94,45,3.65,13.25
Totals:,,136.8,36, ,,,,,, 
