'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HOPETOUN AIRPORT Victoria for October 2013,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 November 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HOPETOUN AIRPORT,01/10/2013,4.4,7.8, ,17.8,10.6,97,38,8.78,23.59
HOPETOUN AIRPORT,02/10/2013,4.1,0.0, ,20.0,4.7,92,48,7.96,19.92
HOPETOUN AIRPORT,03/10/2013,3.8,10.0, ,17.7,3.1,95,45,4.55,25.88
HOPETOUN AIRPORT,04/10/2013,4.7,0.0, ,23.2,0.5,96,29,2.46,28.06
HOPETOUN AIRPORT,05/10/2013,7.2,0.0, ,29.9,10.0,91,16,5.14,25.34
HOPETOUN AIRPORT,06/10/2013,4.1,0.0, ,20.8,5.9,98,45,4.66,23.66
HOPETOUN AIRPORT,07/10/2013,4.6,0.0, ,22.6,3.1,97,35,2.71,28.31
HOPETOUN AIRPORT,08/10/2013,4.9,0.0, ,24.2,3.8,97,27,2.14,29.17
HOPETOUN AIRPORT,09/10/2013,10.3,0.0, ,34.4,9.1,70,10,6.47,28.42
HOPETOUN AIRPORT,10/10/2013,5.1,0.0, ,21.7,16.7,94,15,5.41,17.92
HOPETOUN AIRPORT,11/10/2013,4.8,0.8, ,22.2,2.3,97,36,3.06,29.30
HOPETOUN AIRPORT,12/10/2013,7.2,0.0, ,29.3,4.0,92,12,3.54,30.78
HOPETOUN AIRPORT,13/10/2013,4.7,0.0, ,19.9,6.0,94,38,7.56,23.34
HOPETOUN AIRPORT,14/10/2013,4.7,0.2, ,19.3,1.8,94,29,5.05,26.25
HOPETOUN AIRPORT,15/10/2013,5.8,0.0, ,23.5,-0.3,92,22,3.59,31.13
HOPETOUN AIRPORT,16/10/2013,10.6,0.0, ,31.4,6.8,65,9,8.55,28.20
HOPETOUN AIRPORT,17/10/2013,5.5,0.0, ,18.4,9.1,87,27,8.38,27.60
HOPETOUN AIRPORT,18/10/2013,6.7,0.2, ,25.9,-0.1,86,12,3.60,31.90
HOPETOUN AIRPORT,19/10/2013,9.1,0.0, ,30.5,8.8,36,6,4.57,32.38
HOPETOUN AIRPORT,20/10/2013,11.2,0.0, ,37.6,11.3,28,5,5.46,28.65
HOPETOUN AIRPORT,21/10/2013,5.8,0.0, ,28.8,16.7,76,23,4.50,15.18
HOPETOUN AIRPORT,22/10/2013,4.4,0.0, ,26.8,15.4,95,38,5.38,9.84
HOPETOUN AIRPORT,23/10/2013,4.2,8.8, ,18.0,11.6,94,37,8.24,17.00
HOPETOUN AIRPORT,24/10/2013,4.6,0.0, ,17.6,4.3,87,32,5.77,25.86
HOPETOUN AIRPORT,25/10/2013,3.4,0.0, ,17.6,0.3,94,40,3.49,19.78
HOPETOUN AIRPORT,26/10/2013,4.9,0.0, ,21.2,0.7,96,33,3.21,30.44
HOPETOUN AIRPORT,27/10/2013,4.8,0.0, ,23.0,7.1,85,31,3.88,20.84
HOPETOUN AIRPORT,28/10/2013,8.2,0.0, ,27.9,12.4,81,24,8.27,28.47
HOPETOUN AIRPORT,29/10/2013,6.0,0.0, ,22.3,10.2,82,35,6.98,29.24
HOPETOUN AIRPORT,30/10/2013,5.2,0.0, ,22.3,4.2,91,34,3.96,29.41
HOPETOUN AIRPORT,31/10/2013,5.7,0.0, ,23.5,8.2,86,27,3.05,31.50
Totals:,,180.7,27.8, ,,,,,, 
