'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HOPETOUN AIRPORT Victoria for November 2015,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 December 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HOPETOUN AIRPORT,01/11/2015,5.6,0.0, ,28.1,13.9,68,28,3.91,16.95
HOPETOUN AIRPORT,02/11/2015,5.6,0.0, ,26.0,11.4,83,31,4.20,22.36
HOPETOUN AIRPORT,03/11/2015,6.1,0.0, ,27.7,9.5,75,26,4.44,20.27
HOPETOUN AIRPORT,04/11/2015,3.9,0.0, ,23.9,14.7,100,33,5.87,6.29
HOPETOUN AIRPORT,05/11/2015,3.4,19.8, ,22.7,16.0,99,67,6.12,16.34
HOPETOUN AIRPORT,06/11/2015,4.0,0.8, ,22.6,14.4,99,51,6.95,15.22
HOPETOUN AIRPORT,07/11/2015,6.2,0.0, ,25.0,7.8,96,18,4.12,28.11
HOPETOUN AIRPORT,08/11/2015,6.1,0.0, ,31.2,9.2,78,13,2.10,27.34
HOPETOUN AIRPORT,09/11/2015,7.8,0.0, ,37.3,13.6,50,10,2.69,26.97
HOPETOUN AIRPORT,10/11/2015,5.0,0.0, ,25.3,19.5,75,40,6.04,10.79
HOPETOUN AIRPORT,11/11/2015,5.3,0.0, ,26.5,9.3,77,28,2.94,22.13
HOPETOUN AIRPORT,12/11/2015,7.0,0.0, ,32.2,12.4,60,24,3.96,21.53
HOPETOUN AIRPORT,13/11/2015,7.0,0.0, ,25.9,10.4,85,26,5.71,30.06
HOPETOUN AIRPORT,14/11/2015,6.5,0.0, ,25.3,7.9,85,31,5.77,29.10
HOPETOUN AIRPORT,15/11/2015,7.1,0.0, ,26.9,8.5,79,19,4.64,30.36
HOPETOUN AIRPORT,16/11/2015,7.3,0.0, ,32.6,10.6,78,17,3.26,27.50
HOPETOUN AIRPORT,17/11/2015,10.8,0.0, ,36.7,11.5,49,10,5.57,28.19
HOPETOUN AIRPORT,18/11/2015,11.6,0.0, ,41.1,11.1,44,9,4.87,29.35
HOPETOUN AIRPORT,19/11/2015,10.8,0.0, ,38.0,20.9,59,21,6.19,29.02
HOPETOUN AIRPORT,20/11/2015,6.4,0.0, ,26.7,18.5,65,35,5.96,18.78
HOPETOUN AIRPORT,21/11/2015,6.6,0.0, ,24.5,9.4,85,23,5.29,28.91
HOPETOUN AIRPORT,22/11/2015,7.0,0.0, ,25.9,7.9,72,24,4.84,30.49
HOPETOUN AIRPORT,23/11/2015,6.9,0.0, ,26.4,9.4,73,26,5.28,27.38
HOPETOUN AIRPORT,24/11/2015,7.1,0.0, ,29.3,7.8,77,18,3.39,30.16
HOPETOUN AIRPORT,25/11/2015,13.0,0.0, ,38.1,10.2,78,8,9.08,19.78
HOPETOUN AIRPORT,26/11/2015,7.4,0.0, ,21.7,11.0,77,19,9.27,31.00
HOPETOUN AIRPORT,27/11/2015,5.8,0.0, ,23.0,3.6,63,29,3.91,29.49
HOPETOUN AIRPORT,28/11/2015,6.7,0.0, ,27.2,9.8,66,23,3.81,27.48
HOPETOUN AIRPORT,29/11/2015,6.1,0.0, ,25.7,11.6,71,26,3.23,28.32
HOPETOUN AIRPORT,30/11/2015,11.4,0.0, ,37.3,11.4,68,14,7.91,18.87
Totals:,,211.5,20.6, ,,,,,, 
