'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HOPETOUN AIRPORT Victoria for February 2017,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 March 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HOPETOUN AIRPORT,01/02/2017,3.9,0.0, ,24.4,13.9,64,35,3.19,9.45
HOPETOUN AIRPORT,02/02/2017,6.1,0.0, ,28.6,10.5,75,25,3.45,23.61
HOPETOUN AIRPORT,03/02/2017,6.7,0.0, ,32.2,11.8,79,12,2.33,28.70
HOPETOUN AIRPORT,04/02/2017,8.9,0.0, ,37.8,14.2,69,13,4.42,21.87
HOPETOUN AIRPORT,05/02/2017,3.1,2.4, ,30.5,19.6,100,54,4.05,6.06
HOPETOUN AIRPORT,06/02/2017,1.2,34.8, ,18.2,17.9,100,79,4.10,3.12
HOPETOUN AIRPORT,07/02/2017,6.8,6.8, ,31.0,10.9,87,34,3.91,28.59
HOPETOUN AIRPORT,08/02/2017,10.6,0.2, ,40.6,14.3,83,20,5.43,28.41
HOPETOUN AIRPORT,09/02/2017,14.2,0.0, ,46.2,24.6,56,12,7.16,26.18
HOPETOUN AIRPORT,10/02/2017,9.4,0.0, ,43.9,20.1,83,19,3.56,27.55
HOPETOUN AIRPORT,11/02/2017,8.2,0.0, ,35.8,24.0,72,31,4.96,24.60
HOPETOUN AIRPORT,12/02/2017,6.7,0.0, ,24.7,16.6,69,26,7.79,16.76
HOPETOUN AIRPORT,13/02/2017,6.2,0.0, ,26.2,10.9,75,37,6.26,23.07
HOPETOUN AIRPORT,14/02/2017,6.4,0.0, ,28.5,12.7,88,19,3.50,27.24
HOPETOUN AIRPORT,15/02/2017,8.9,0.0, ,35.7,11.8,71,14,4.80,24.98
HOPETOUN AIRPORT,16/02/2017,6.9,0.0, ,31.6,15.6,82,31,4.01,26.81
HOPETOUN AIRPORT,17/02/2017,6.1,0.0, ,25.8,9.9,83,34,5.49,26.84
HOPETOUN AIRPORT,18/02/2017,5.7,0.0, ,23.6,10.5,86,27,5.75,21.86
HOPETOUN AIRPORT,19/02/2017,4.6,0.0, ,20.8,5.6,89,42,6.42,21.18
HOPETOUN AIRPORT,20/02/2017,5.1,1.4, ,23.3,6.0,91,25,3.75,23.87
HOPETOUN AIRPORT,21/02/2017,6.2,0.0, ,28.9,8.4,79,16,3.12,26.21
HOPETOUN AIRPORT,22/02/2017,11.7,0.0, ,37.1,12.7,52,8,6.99,26.09
HOPETOUN AIRPORT,23/02/2017,6.1,0.0, ,29.1,12.2,86,32,4.51,23.55
HOPETOUN AIRPORT,24/02/2017,6.7,0.0, ,28.3,13.1,85,23,5.01,25.18
HOPETOUN AIRPORT,25/02/2017,7.1,0.0, ,26.6,10.5,82,18,6.08,25.48
HOPETOUN AIRPORT,26/02/2017,6.2,0.0, ,32.4,10.7,92,23,2.94,25.29
HOPETOUN AIRPORT,27/02/2017,8.2,0.0, ,35.8,15.2,59,18,4.23,24.96
HOPETOUN AIRPORT,28/02/2017,7.8,0.0, ,35.8,17.0,56,15,3.66,24.82
Totals:,,195.7,45.6, ,,,,,, 
