'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HOPETOUN AIRPORT Victoria for October 2020,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 November 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HOPETOUN AIRPORT,01/10/2020,4.2,0.4, ,22.2,2.3,100,26,2.98,22.18
HOPETOUN AIRPORT,02/10/2020,8.0,0.0, ,33.5,8.4,87,15,5.23,22.36
HOPETOUN AIRPORT,03/10/2020,8.5,0.0, ,34.5,15.9,58,12,5.59,16.38
HOPETOUN AIRPORT,04/10/2020,7.5,0.0, ,35.6,15.9,94,16,5.45,13.15
HOPETOUN AIRPORT,05/10/2020,3.0,3.2, ,17.2,8.3,100,50,5.88,14.99
HOPETOUN AIRPORT,06/10/2020,3.3,0.0, ,17.4,5.4,95,39,4.58,15.68
HOPETOUN AIRPORT,07/10/2020,1.6,0.0, ,15.4,6.4,100,70,3.91,7.59
HOPETOUN AIRPORT,08/10/2020,2.0,14.6, ,15.6,8.8,100,75,8.20,12.35
HOPETOUN AIRPORT,09/10/2020,3.5,2.2, ,19.0,9.0,100,46,4.91,18.64
HOPETOUN AIRPORT,10/10/2020,5.7,0.2, ,25.9,2.3,100,28,5.19,22.91
HOPETOUN AIRPORT,11/10/2020,3.6,0.0, ,20.4,2.3,100,41,2.28,22.99
HOPETOUN AIRPORT,12/10/2020,5.3,0.0, ,29.3,6.6,97,23,2.77,22.59
HOPETOUN AIRPORT,13/10/2020,4.6,0.0, ,26.1,8.9,97,46,3.29,24.04
HOPETOUN AIRPORT,14/10/2020,5.4,0.0, ,31.6,7.4,99,27,2.35,23.34
HOPETOUN AIRPORT,15/10/2020,6.5,0.0, ,30.4,13.5,84,20,5.95,10.87
HOPETOUN AIRPORT,16/10/2020,1.6,0.0, ,15.8,10.5,100,70,4.94,5.84
HOPETOUN AIRPORT,17/10/2020,3.1,8.2, ,19.8,12.8,100,48,4.62,12.59
HOPETOUN AIRPORT,18/10/2020,3.7,0.2, ,18.1,5.7,100,42,4.18,21.36
HOPETOUN AIRPORT,19/10/2020,3.6,0.0, ,19.8,2.9,100,42,2.95,21.23
HOPETOUN AIRPORT,20/10/2020,4.3,0.0, ,23.4,4.6,100,34,2.30,24.51
HOPETOUN AIRPORT,21/10/2020,5.1,0.0, ,26.9,7.3,98,25,2.71,23.76
HOPETOUN AIRPORT,22/10/2020,5.6,0.0, ,29.1,8.7,99,27,3.29,23.06
HOPETOUN AIRPORT,23/10/2020,3.3,0.0, ,26.4,14.5,100,36,2.77,9.09
HOPETOUN AIRPORT,24/10/2020,3.9,6.2, ,19.6,11.5,100,40,6.56,15.73
HOPETOUN AIRPORT,25/10/2020,4.4,0.0, ,17.3,4.8,100,31,6.84,23.81
HOPETOUN AIRPORT,26/10/2020,3.0,1.4, ,19.1,7.8,97,46,3.86,11.85
HOPETOUN AIRPORT,27/10/2020,3.2,0.4, ,19.7,9.9,99,44,3.70,13.39
HOPETOUN AIRPORT,28/10/2020,5.0,0.2, ,25.5,9.2,98,29,3.26,22.56
HOPETOUN AIRPORT,29/10/2020,2.1,0.0, ,19.9,5.3,100,51,2.23,6.73
HOPETOUN AIRPORT,30/10/2020,3.6,7.8, ,23.0,11.8,100,49,5.21,12.67
HOPETOUN AIRPORT,31/10/2020,5.4,0.2, ,24.1,11.2,97,39,5.53,25.16
Totals:,,133.6,45.2, ,,,,,, 
