'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HOPETOUN AIRPORT Victoria for September 2023,,,,,,,,,,
Issued at 22:30 GMT on Sunday 01 October 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HOPETOUN AIRPORT,01/09/2023,1.6,0.2, ,14.9,3.8,100,62,2.08,10.87
HOPETOUN AIRPORT,02/09/2023,2.2,0.0, ,18.1,-1.2,100,50,1.84,16.83
HOPETOUN AIRPORT,03/09/2023,3.5,0.0, ,21.7,3.3,100,34,3.82,17.23
HOPETOUN AIRPORT,04/09/2023,3.3,0.0, ,21.4,7.1,98,42,4.90,12.20
HOPETOUN AIRPORT,05/09/2023,2.9,0.2, ,17.4,0.0,100,34,3.33,17.19
HOPETOUN AIRPORT,06/09/2023,4.2,0.0, ,23.2,0.5,100,29,4.28,17.69
HOPETOUN AIRPORT,07/09/2023,4.0,0.0, ,22.1,8.1,100,32,6.42,8.33
HOPETOUN AIRPORT,08/09/2023,3.0,5.0, ,14.3,6.5,99,45,9.88,16.19
HOPETOUN AIRPORT,09/09/2023,2.5,0.2, ,16.5,-2.2,100,47,3.34,16.42
HOPETOUN AIRPORT,10/09/2023,2.2,0.4, ,17.8,6.9,100,61,2.54,15.42
HOPETOUN AIRPORT,11/09/2023,2.5,0.4, ,20.1,1.5,100,47,1.31,18.59
HOPETOUN AIRPORT,12/09/2023,3.3,0.0, ,24.4,2.6,100,31,1.82,18.44
HOPETOUN AIRPORT,13/09/2023,3.7,0.0, ,26.5,3.3,99,23,2.00,18.39
HOPETOUN AIRPORT,14/09/2023,5.5,0.0, ,29.1,6.5,93,22,4.09,18.49
HOPETOUN AIRPORT,15/09/2023,4.1,0.0, ,24.5,5.7,100,29,3.15,19.34
HOPETOUN AIRPORT,16/09/2023, , , , ,2.6, , , ,19.53
HOPETOUN AIRPORT,17/09/2023,4.1, , ,28.8,3.6,99,26,2.03,19.70
HOPETOUN AIRPORT,18/09/2023,5.4,0.0, ,31.1,13.3,96,21,3.55,17.84
HOPETOUN AIRPORT,19/09/2023,5.1,0.0, ,28.2,8.8,100,28,4.18,19.45
HOPETOUN AIRPORT,20/09/2023, ,0.0, , ,7.1,97,45,6.32,13.49
HOPETOUN AIRPORT,21/09/2023, , , ,18.4, ,100,34,3.33,18.89
HOPETOUN AIRPORT,22/09/2023,3.5,0.0, ,19.3,2.2,99,29,2.91,20.56
HOPETOUN AIRPORT,23/09/2023,4.2,0.0, ,22.9,3.5,97,25,3.33,19.93
HOPETOUN AIRPORT,24/09/2023,5.5,0.0, ,28.5,6.0,94,19,3.52,21.02
HOPETOUN AIRPORT,25/09/2023,5.0,0.0, ,27.0,8.5,87,29,3.58,21.18
HOPETOUN AIRPORT,26/09/2023, ,0.0, , ,6.9,100,37,2.83,21.26
HOPETOUN AIRPORT,27/09/2023, , , ,20.6, ,99,37,4.24,20.78
HOPETOUN AIRPORT,28/09/2023,4.4,0.0, ,25.4,2.4,100,19,2.39,21.69
HOPETOUN AIRPORT,29/09/2023,4.8,0.0, ,30.6,-1.6,94,12,1.83,21.76
HOPETOUN AIRPORT,30/09/2023,7.6,0.0, ,32.7,4.9,75,9,4.25,21.95
Totals:,,98.1,6.4, ,,,,,, 
