'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HORSHAM AERODROME Victoria for April 2012,,,,,,,,,,
Issued at 22:38 GMT on Tuesday 01 May 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HORSHAM AERODROME,01/04/2012,3.3,0.0, ,22.4,7.8,89,33,2.72,15.34
HORSHAM AERODROME,02/04/2012,6.1,0.0, ,29.7,5.1,89,26,5.51,17.29
HORSHAM AERODROME,03/04/2012,4.2,0.0, ,26.4,13.5,97,42,4.66,16.64
HORSHAM AERODROME,04/04/2012,3.8,0.0, ,27.5,10.7,95,39,2.96,16.42
HORSHAM AERODROME,05/04/2012, ,0.0, , ,10.5,88,27,2.94,17.16
HORSHAM AERODROME,06/04/2012, , , , , ,78,24,9.73,14.54
HORSHAM AERODROME,07/04/2012, , , ,18.8, ,93,40,4.00,13.17
HORSHAM AERODROME,08/04/2012,3.3,0.0, ,20.1,9.6,88,41,4.99,11.10
HORSHAM AERODROME,09/04/2012,3.6,0.0, ,17.9,10.4,91,39,7.86,13.10
HORSHAM AERODROME,10/04/2012,3.1,0.0, ,18.0,2.5,88,40,5.10,12.68
HORSHAM AERODROME,11/04/2012,3.2,0.0, ,20.7,3.9,86,34,3.23,16.38
HORSHAM AERODROME,12/04/2012,3.9,0.0, ,23.4,3.0,94,24,3.56,16.23
HORSHAM AERODROME,13/04/2012,4.8,0.0, ,25.5,2.7,84,17,4.04,16.45
HORSHAM AERODROME,14/04/2012,5.5,0.0, ,27.7,4.8,67,20,4.75,14.90
HORSHAM AERODROME,15/04/2012,5.3,0.0, ,29.3,5.1,71,16,3.77,15.62
HORSHAM AERODROME,16/04/2012,3.7,0.0, ,24.5,5.4,97,32,3.81,15.37
HORSHAM AERODROME,17/04/2012,4.1,0.0, ,25.3,5.1,91,31,4.14,15.28
HORSHAM AERODROME,18/04/2012,4.6,0.0, ,26.9,8.4,87,27,4.58,14.91
HORSHAM AERODROME,19/04/2012,2.3,0.0, ,22.8,11.8,83,57,3.12,7.18
HORSHAM AERODROME,20/04/2012,2.6,0.0, ,26.9,8.0,97,38,1.94,11.17
HORSHAM AERODROME,21/04/2012,4.4,0.0, ,26.8,11.3,95,35,5.72,12.51
HORSHAM AERODROME,22/04/2012,3.4,7.8, ,21.4,14.2,95,39,5.85,10.35
HORSHAM AERODROME,23/04/2012,2.4,1.0, ,17.0,8.8,96,48,5.40,8.56
HORSHAM AERODROME,24/04/2012,1.3,2.0, ,11.6,3.4,97,68,5.60,4.48
HORSHAM AERODROME,25/04/2012,2.4,1.6, ,17.8,6.4,94,56,5.58,11.32
HORSHAM AERODROME,26/04/2012,1.7,0.0, ,16.6,8.2,96,61,3.69,6.51
HORSHAM AERODROME,27/04/2012,1.9,0.0, ,18.7,4.3,98,54,2.89,9.90
HORSHAM AERODROME,28/04/2012,2.5,0.2, ,20.6,4.9,98,48,4.32,9.79
HORSHAM AERODROME,29/04/2012,2.2,0.0, ,16.9,4.5,97,43,3.35,13.46
HORSHAM AERODROME,30/04/2012,2.9,0.0, ,19.0,1.4,92,35,4.48,9.40
Totals:,,92.5,12.6, ,,,,,, 
