'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HORSHAM AERODROME Victoria for October 2013,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 November 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HORSHAM AERODROME,01/10/2013,3.4,4.6, ,14.9,8.9,95,53,8.44,23.63
HORSHAM AERODROME,02/10/2013,2.7,0.4, ,16.2,4.8,94,62,9.55,13.89
HORSHAM AERODROME,03/10/2013,3.4,4.6, ,16.1,2.5,96,48,5.04,24.35
HORSHAM AERODROME,04/10/2013,4.3,0.0, ,20.7,-0.3,98,40,3.55,27.87
HORSHAM AERODROME,05/10/2013,5.9,0.0, ,25.6,7.0,95,30,5.72,25.57
HORSHAM AERODROME,06/10/2013,2.9,0.0, ,17.3,5.7,98,57,4.50,18.73
HORSHAM AERODROME,07/10/2013,3.6,0.0, ,19.3,1.7,99,51,3.32,25.83
HORSHAM AERODROME,08/10/2013,4.3,0.2, ,22.0,6.0,98,49,3.10,27.49
HORSHAM AERODROME,09/10/2013,6.9,0.0, ,29.9,5.3,93,24,5.45,23.42
HORSHAM AERODROME,10/10/2013,2.0,0.0, ,14.7,11.2,96,59,4.89,7.24
HORSHAM AERODROME,11/10/2013,4.3,0.0, ,19.5,2.8,98,44,4.50,27.76
HORSHAM AERODROME,12/10/2013,6.6,0.2, ,25.8,2.8,97,24,5.18,30.07
HORSHAM AERODROME,13/10/2013,3.9,0.0, ,17.5,7.1,97,48,7.75,23.68
HORSHAM AERODROME,14/10/2013,3.5,0.2, ,16.1,1.4,98,48,5.35,23.85
HORSHAM AERODROME,15/10/2013,4.7,0.2, ,20.4,-0.3,98,35,4.98,27.23
HORSHAM AERODROME,16/10/2013,8.5,0.0, ,28.0,2.5,100,15,8.85,25.53
HORSHAM AERODROME,17/10/2013,4.5,1.6, ,15.5,6.7,95,36,8.51,29.45
HORSHAM AERODROME,18/10/2013,6.6,0.6, ,23.8,-0.2,98,19,5.39,31.59
HORSHAM AERODROME,19/10/2013,8.4,0.0, ,27.6,1.7,84,12,6.15,32.00
HORSHAM AERODROME,20/10/2013,8.7,0.0, ,32.8,3.3,81,9,5.20,23.27
HORSHAM AERODROME,21/10/2013,3.0,0.0, ,22.4,13.3,95,62,3.95,13.47
HORSHAM AERODROME,22/10/2013,1.6,1.8, ,17.6,11.3,97,80,5.82,6.64
HORSHAM AERODROME,23/10/2013,3.7,15.4, ,16.1,11.0,95,46,8.40,18.05
HORSHAM AERODROME,24/10/2013,3.6,0.8, ,15.4,3.4,94,43,5.88,22.77
HORSHAM AERODROME,25/10/2013,3.0,0.0, ,16.5,0.4,97,52,4.67,17.48
HORSHAM AERODROME,26/10/2013,3.9,0.0, ,18.3,6.2,94,48,4.53,23.95
HORSHAM AERODROME,27/10/2013,2.0,0.0, ,15.2,1.7,99,61,3.30,10.57
HORSHAM AERODROME,28/10/2013,4.2,4.0, ,21.8,9.2,94,61,8.10,24.00
HORSHAM AERODROME,29/10/2013,4.5,0.2, ,19.2,8.5,90,46,7.04,24.86
HORSHAM AERODROME,30/10/2013,4.1,0.0, ,18.3,5.3,90,51,5.38,26.01
HORSHAM AERODROME,31/10/2013,4.8,0.0, ,20.7,9.3,94,45,4.06,29.48
Totals:,,137.5,34.8, ,,,,,, 
