'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HORSHAM AERODROME Victoria for July 2014,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 August 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HORSHAM AERODROME,01/07/2014,1.0,1.8, ,12.9,4.8,97,66,2.73,6.30
HORSHAM AERODROME,02/07/2014,1.1,0.0, ,14.9,7.6,96,64,2.94,7.49
HORSHAM AERODROME,03/07/2014,1.4,0.2, ,14.2,0.3,99,63,5.01,9.34
HORSHAM AERODROME,04/07/2014,1.9,0.2, ,15.3,3.0,96,57,6.78,7.98
HORSHAM AERODROME,05/07/2014,1.4,0.4, ,13.2,6.4,97,66,6.58,6.53
HORSHAM AERODROME,06/07/2014,1.0,0.2, ,13.0,-0.2,99,66,2.85,8.03
HORSHAM AERODROME,07/07/2014,1.3,0.0, ,14.6,-1.5,99,67,4.65,8.14
HORSHAM AERODROME,08/07/2014,2.7,0.2, ,15.4,2.7,88,47,8.86,7.44
HORSHAM AERODROME,09/07/2014,0.7,1.4, ,11.2,6.7,98,85,5.16,4.23
HORSHAM AERODROME,10/07/2014,1.2,4.8, ,12.8,1.4,99,67,5.36,8.22
HORSHAM AERODROME,11/07/2014,1.2,0.4, ,13.7,3.3,99,72,6.29,5.89
HORSHAM AERODROME,12/07/2014,1.2,3.2, ,11.4,2.1,98,60,4.34,9.79
HORSHAM AERODROME,13/07/2014,1.2,0.0, ,12.1,-0.6,98,55,2.82,8.17
HORSHAM AERODROME,14/07/2014,0.9,0.2, ,11.4,-1.6,99,74,3.67,6.31
HORSHAM AERODROME,15/07/2014,0.8,1.4, ,10.2,3.0,97,81,6.09,3.88
HORSHAM AERODROME,16/07/2014,1.6,1.8, ,14.6,6.9,98,64,6.53,8.21
HORSHAM AERODROME,17/07/2014,1.3,5.0, ,11.1,4.3,94,69,6.61,7.24
HORSHAM AERODROME,18/07/2014,1.1,2.8, ,11.7,0.4,98,70,4.97,9.60
HORSHAM AERODROME,19/07/2014,0.9,0.0, ,11.3,3.1,98,75,3.36,6.56
HORSHAM AERODROME,20/07/2014,0.9,0.0, ,12.3,-0.4,99,66,2.10,8.21
HORSHAM AERODROME,21/07/2014,1.0,0.0, ,11.4,-0.7,99,67,3.27,8.20
HORSHAM AERODROME,22/07/2014,0.9,0.6, ,12.3,-1.7,99,65,1.49,8.35
HORSHAM AERODROME,23/07/2014,1.1,0.0, ,11.1,-2.2,99,64,3.89,7.36
HORSHAM AERODROME,24/07/2014,1.2,4.4, ,13.7,0.6,98,73,6.58,4.75
HORSHAM AERODROME,25/07/2014,1.0,1.0, ,14.6,8.6,98,82,5.05,4.96
HORSHAM AERODROME,26/07/2014,1.5,1.2, ,16.3,5.7,99,58,3.48,9.47
HORSHAM AERODROME,27/07/2014,1.5,0.0, ,15.9,1.3,99,63,4.36,8.54
HORSHAM AERODROME,28/07/2014,2.0,0.0, ,17.2,2.3,95,56,4.77,10.44
HORSHAM AERODROME,29/07/2014,1.6,0.4, ,15.7,6.5,95,73,9.09,5.99
HORSHAM AERODROME,30/07/2014,1.6,4.2, ,16.0,10.3,98,70,7.65,4.87
HORSHAM AERODROME,31/07/2014,2.3,0.0, ,16.4,8.5,95,59,9.64,5.56
Totals:,,40.5,35.8, ,,,,,, 
