'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HUNTERS HILL Victoria for March 2011,,,,,,,,,,
Issued at 22:34 GMT on Friday 01 April 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HUNTERS HILL,01/03/2011,3.9,7.0, ,16.8,12.6,100,55,4.25,26.88
HUNTERS HILL,02/03/2011,4.2,0.0, ,18.2,6.8,82,49,2.42,28.38
HUNTERS HILL,03/03/2011,4.2,0.0, ,17.0,8.8,80,51,3.17,28.09
HUNTERS HILL,04/03/2011,4.0,0.0, ,17.8,7.5,87,53,2.97,27.80
HUNTERS HILL,05/03/2011,4.3,0.0, ,20.9,7.3,89,32,1.76,27.54
HUNTERS HILL,06/03/2011,4.2,0.0, ,21.2,7.6,88,41,1.74,27.21
HUNTERS HILL,07/03/2011,4.4,0.0, ,22.6,9.9,88,47,2.10,27.12
HUNTERS HILL,08/03/2011,3.9,0.0, ,22.5,11.7,82,46,2.08,22.22
HUNTERS HILL,09/03/2011,2.6,0.0, ,22.2,14.6,100,60,2.29,12.66
HUNTERS HILL,10/03/2011,1.1,12.8, ,16.0,14.5,100,99,1.64,6.16
HUNTERS HILL,11/03/2011,3.3,9.2, ,23.1,13.4,100,59,1.82,18.91
HUNTERS HILL,12/03/2011,2.7,0.2, ,23.0,14.5,99,76,1.59,15.13
HUNTERS HILL,13/03/2011,2.5,4.8, ,22.9,15.8,100,77,2.34,13.60
HUNTERS HILL,14/03/2011,2.9,15.0, ,22.3,15.3,100,56,0.66,17.26
HUNTERS HILL,15/03/2011,3.4,0.0, ,22.9,13.6,99,62,1.56,20.59
HUNTERS HILL,16/03/2011,3.8,0.2, ,22.7,14.9,100,44,2.32,21.15
HUNTERS HILL,17/03/2011,3.6,0.2, ,22.0,11.6,99,53,1.68,22.82
HUNTERS HILL,18/03/2011,3.4,0.0, ,22.7,11.4,86,47,1.29,20.88
HUNTERS HILL,19/03/2011,3.7,0.0, ,23.1,12.1,88,43,1.52,22.76
HUNTERS HILL,20/03/2011,3.4,0.0, ,23.8,13.3,89,52,2.12,17.93
HUNTERS HILL,21/03/2011,2.2,1.0, ,20.1,13.8,89,69,1.95,10.67
HUNTERS HILL,22/03/2011,2.8,0.0, ,22.0,15.2,99,68,2.24,16.50
HUNTERS HILL,23/03/2011,1.3,0.2, ,12.2,11.0,99,84,2.84,8.50
HUNTERS HILL,24/03/2011,1.2,14.8, ,13.7,8.9,100,95,3.96,9.23
HUNTERS HILL,25/03/2011,2.0,9.4, ,15.0,8.3,100,74,2.48,14.71
HUNTERS HILL,26/03/2011,3.1,0.0, ,18.9,7.8,92,58,2.15,22.54
HUNTERS HILL,27/03/2011,2.7,0.0, ,18.2,8.0,87,57,1.24,19.61
HUNTERS HILL,28/03/2011,3.2,0.0, ,20.2,10.7,85,58,1.67,21.65
HUNTERS HILL,29/03/2011,2.6,0.0, ,19.3,11.0,92,68,1.78,17.89
HUNTERS HILL,30/03/2011,2.7,0.0, ,19.3,12.7,96,61,2.66,16.72
HUNTERS HILL,31/03/2011,2.7,0.4, ,18.6,8.0,96,54,1.50,19.56
Totals:,,96,75.2, ,,,,,, 
