'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HUNTERS HILL Victoria for October 2018,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 November 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HUNTERS HILL,01/10/2018,3.0,0.0, ,17.4,6.1,71,30,0.81,21.91
HUNTERS HILL,02/10/2018,2.9,0.0, ,20.3,9.5,55,31,0.82,17.71
HUNTERS HILL,03/10/2018,1.8,0.0, ,14.3,13.1,100,37,1.95,6.18
HUNTERS HILL,04/10/2018,1.8,2.2, ,15.5,8.1,100,74,1.16,11.08
HUNTERS HILL,05/10/2018,3.0,0.0, ,17.3,5.3,92,44,1.59,20.30
HUNTERS HILL,06/10/2018,3.2,0.0, ,18.3,5.1,71,46,1.09,22.52
HUNTERS HILL,07/10/2018,3.7,0.0, ,19.7,7.6,73,32,1.46,23.14
HUNTERS HILL,08/10/2018,3.9,0.0, ,21.6,9.5,60,31,1.23,23.48
HUNTERS HILL,09/10/2018,2.5,0.0, ,19.7,10.3,100,45,0.91,13.56
HUNTERS HILL,10/10/2018,1.7,5.6, ,12.0,6.6,100,70,2.52,10.51
HUNTERS HILL,11/10/2018,3.5,0.4, ,17.6,2.6,75,33,1.40,24.00
HUNTERS HILL,12/10/2018,3.6,0.0, ,18.4,3.6,89,25,1.26,24.19
HUNTERS HILL,13/10/2018,3.2,0.0, ,17.9,4.2,78,42,1.16,21.68
HUNTERS HILL,14/10/2018,3.4,0.0, ,20.1,8.1,83,41,1.41,19.84
HUNTERS HILL,15/10/2018,3.9,0.0, ,22.5,8.7,86,39,1.38,23.28
HUNTERS HILL,16/10/2018,2.4,0.0, ,19.4,11.1,100,63,1.66,12.69
HUNTERS HILL,17/10/2018,1.4,11.0, ,14.7,10.5,100,89,1.44,7.87
HUNTERS HILL,18/10/2018,2.4,7.8, ,17.0,9.5,100,66,1.53,14.09
HUNTERS HILL,19/10/2018,3.9,0.0, ,20.9,9.6,98,42,0.97,24.84
HUNTERS HILL,20/10/2018,3.0,0.0, ,19.8,13.4,100,49,2.83,14.36
HUNTERS HILL,21/10/2018,3.5,4.0, ,17.3,3.6,99,45,1.02,24.97
HUNTERS HILL,22/10/2018,4.0,0.2, ,20.0,7.8,87,28,0.94,25.92
HUNTERS HILL,23/10/2018,4.8,0.0, ,24.0,11.4,72,19,2.20,23.16
HUNTERS HILL,24/10/2018,3.6,0.0, ,19.4,5.9,97,38,1.07,23.29
HUNTERS HILL,25/10/2018,3.9,0.0, ,19.4,7.3,88,43,1.56,24.44
HUNTERS HILL,26/10/2018,4.4,0.0, ,19.3,9.2,61,24,1.80,25.45
HUNTERS HILL,27/10/2018,4.7,1.6, ,19.6,9.8,67,21,2.16,26.18
HUNTERS HILL,28/10/2018,4.2,0.0, ,20.3,4.4,80,22,1.50,26.18
HUNTERS HILL,29/10/2018,4.7,0.0, ,22.2,9.5,50,23,1.34,27.19
HUNTERS HILL,30/10/2018,5.1,0.0, ,22.6,11.3,52,18,1.93,26.86
HUNTERS HILL,31/10/2018,5.3,0.0, ,25.6,14.6,32,16,1.52,27.39
Totals:,,106.4,32.8, ,,,,,, 
