'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HUNTERS HILL Victoria for May 2022,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 June 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HUNTERS HILL,01/05/2022,1.3,0.0, ,12.8,5.3,98,69,1.11,12.08
HUNTERS HILL,02/05/2022,1.3,0.0, ,14.8,6.1,98,68,0.54,12.84
HUNTERS HILL,03/05/2022,1.4,0.0, ,15.3,7.4,98,68,1.20,12.21
HUNTERS HILL,04/05/2022,1.1,0.2, ,15.3,9.8,99,76,1.33,8.11
HUNTERS HILL,05/05/2022,1.3,10.6, ,9.9,4.7,99,57,2.11,12.59
HUNTERS HILL,06/05/2022,0.8,1.0, ,6.5,1.6,98,80,1.59,6.61
HUNTERS HILL,07/05/2022,0.6,2.2, ,5.8,1.0,98,87,2.17,3.75
HUNTERS HILL,08/05/2022,0.7,3.6, ,8.5,2.4,99,92,0.82,5.44
HUNTERS HILL,09/05/2022,1.1,0.0, ,13.3,4.4,98,64,0.80,11.62
HUNTERS HILL,10/05/2022,1.1,0.0, ,14.1,7.5,91,63,0.75,9.49
HUNTERS HILL,11/05/2022,1.0,0.0, ,13.0,9.0,95,67,1.10,5.48
HUNTERS HILL,12/05/2022,0.8,10.0, ,13.0,9.4,99,80,1.11,3.76
HUNTERS HILL,13/05/2022,0.8,26.8, ,15.0,10.2,99,99,0.72,5.84
HUNTERS HILL,14/05/2022,0.7,5.0, ,14.3,12.8,99,99,1.88,4.95
HUNTERS HILL,15/05/2022,0.9,9.0, ,13.0,8.5,100,85,2.00,8.70
HUNTERS HILL,16/05/2022,0.8,0.0, ,10.8,7.7,100,86,2.62,7.51
HUNTERS HILL,17/05/2022,0.8,3.4, ,8.0,4.1,99,81,1.92,7.58
HUNTERS HILL,18/05/2022,0.9,2.4, ,7.7,4.3,99,73,3.22,9.11
HUNTERS HILL,19/05/2022,0.9,0.4, ,10.2,1.6,99,62,1.13,11.21
HUNTERS HILL,20/05/2022,0.9,0.0, ,10.2,2.5,90,61,1.10,11.12
HUNTERS HILL,21/05/2022,0.9,0.0, ,14.2,4.3,86,46,0.52,11.03
HUNTERS HILL,22/05/2022,1.0,0.0, ,14.9,7.0,82,55,0.61,10.96
HUNTERS HILL,23/05/2022,0.9,0.0, ,14.7,6.5,84,54,0.32,10.88
HUNTERS HILL,24/05/2022,0.8,0.0, ,14.3,6.5,81,56,0.30,10.80
HUNTERS HILL,25/05/2022,0.9,0.0, ,12.7,6.0,89,58,0.64,9.73
HUNTERS HILL,26/05/2022,0.6,0.6, ,10.1,6.9,99,84,0.98,3.80
HUNTERS HILL,27/05/2022,0.6,6.0, ,11.0,7.7,99,98,0.62,5.52
HUNTERS HILL,28/05/2022,0.7,10.2, ,10.2,6.9,99,91,1.83,8.98
HUNTERS HILL,29/05/2022,0.6,0.8, ,8.0,3.3,99,78,0.70,7.10
HUNTERS HILL,30/05/2022,0.4,0.0, ,3.5,2.1,99,95,1.20,2.25
HUNTERS HILL,31/05/2022,0.3,41.4, ,2.4,1.3,99,98,3.93,2.94
Totals:,,26.9,133.6, ,,,,,, 
