'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HUNTERS HILL Victoria for March 2023,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 April 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HUNTERS HILL,01/03/2023,3.7,0.0, ,23.8,13.5,85,46,1.20,20.83
HUNTERS HILL,02/03/2023,3.9,0.0, ,23.6,13.1,80,42,0.89,23.07
HUNTERS HILL,03/03/2023,3.8,0.0, ,25.5,13.6,86,43,0.82,22.03
HUNTERS HILL,04/03/2023,3.6,0.4, ,25.1,13.5,92,51,1.68,18.83
HUNTERS HILL,05/03/2023,4.6,4.4, ,26.4,14.4,95,31,2.27,21.92
HUNTERS HILL,06/03/2023,3.9,2.8, ,19.6,11.9,97,39,2.58,23.07
HUNTERS HILL,07/03/2023,3.7,0.0, ,17.7,9.9,86,41,3.07,21.90
HUNTERS HILL,08/03/2023,1.5,0.6, ,11.4,7.5,98,59,2.75,6.48
HUNTERS HILL,09/03/2023,3.1,2.0, ,15.9,5.3,84,53,1.96,22.16
HUNTERS HILL,10/03/2023,3.3,0.0, ,21.1,6.5,76,45,0.89,22.40
HUNTERS HILL,11/03/2023,3.3,0.0, ,22.6,10.8,65,42,1.06,18.63
HUNTERS HILL,12/03/2023,3.2,0.0, ,23.5,13.1,80,36,1.04,17.63
HUNTERS HILL,13/03/2023,3.4,0.0, ,23.4,10.3,85,35,0.76,21.86
HUNTERS HILL,14/03/2023,3.3,0.0, ,24.1,12.3,78,41,0.75,20.18
HUNTERS HILL,15/03/2023,3.6,0.0, ,24.3,15.0,82,44,1.26,20.25
HUNTERS HILL,16/03/2023,4.7,0.0, ,24.1,16.1,70,27,2.85,21.31
HUNTERS HILL,17/03/2023,3.7,0.0, ,23.1,12.4,93,41,1.87,21.08
HUNTERS HILL,18/03/2023,3.8,0.0, ,27.1,13.8,54,27,1.18,20.74
HUNTERS HILL,19/03/2023,4.5,0.0, ,31.4,16.8,42,25,1.61,20.06
HUNTERS HILL,20/03/2023,2.7,0.0, ,22.1,14.4,64,34,1.48,10.87
HUNTERS HILL,21/03/2023,1.9,0.0, ,19.0,11.5,99,55,1.59,8.13
HUNTERS HILL,22/03/2023,1.3,16.2, ,16.9,12.6,99,90,1.02,7.36
HUNTERS HILL,23/03/2023,1.3,2.2, ,18.7,13.6,99,81,0.25,6.65
HUNTERS HILL,24/03/2023,2.5,0.2, ,21.6,12.9,92,53,0.39,16.29
HUNTERS HILL,25/03/2023,1.8,1.8, ,19.0,11.9,93,69,0.56,10.34
HUNTERS HILL,26/03/2023,1.9,1.4, ,19.5,13.2,95,77,0.55,10.90
HUNTERS HILL,27/03/2023,1.3,0.8, ,16.4,12.6,99,82,1.37,6.19
HUNTERS HILL,28/03/2023,2.2,2.2, ,20.7,12.4,99,69,0.97,13.83
HUNTERS HILL,29/03/2023,1.2,15.8, ,14.4,12.1,99,93,1.24,7.39
HUNTERS HILL,30/03/2023,1.8,15.0, ,13.1,5.7,99,69,2.42,13.06
HUNTERS HILL,31/03/2023,1.4,0.0, ,12.9,6.5,98,75,2.24,8.87
Totals:,,89.9,65.8, ,,,,,, 
