'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KANAGULK Victoria for October 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KANAGULK,01/10/2009,2.9,0.0, ,15.2,10.5,94,61,4.74,19.61
KANAGULK,02/10/2009,2.4,0.0, ,13.2,6.5,95,62,5.17,16.48
KANAGULK,03/10/2009,2.7,0.0, ,14.9,5.4,96,58,4.26,18.71
KANAGULK,04/10/2009,2.5,0.0, ,15.6,3.0,99,61,2.08,19.08
KANAGULK,05/10/2009,2.8,0.0, ,15.4,4.3,99,56,3.33,20.47
KANAGULK,06/10/2009,2.9,0.2, ,13.5,4.9,98,59,5.28,23.96
KANAGULK,07/10/2009,3.3,1.0, ,14.0,3.5,91,50,5.52,24.26
KANAGULK,08/10/2009,2.5,0.0, ,13.5,4.8,93,60,4.65,17.34
KANAGULK,09/10/2009,3.5,0.2, ,16.9,2.7,94,46,4.08,22.88
KANAGULK,10/10/2009,3.9,0.0, ,18.8,2.7,90,39,3.27,25.74
KANAGULK,11/10/2009,5.2,0.0, ,22.1,4.6,88,31,5.10,25.93
KANAGULK,12/10/2009,3.2,0.2, ,15.7,12.4,92,42,4.89,14.85
KANAGULK,13/10/2009,2.2,6.6, ,14.2,5.2,95,69,5.57,14.16
KANAGULK,14/10/2009,2.8,7.2, ,16.3,7.6,98,61,4.91,17.61
KANAGULK,15/10/2009,2.8,3.4, ,14.1,8.7,97,62,5.71,20.01
KANAGULK,16/10/2009,2.8,1.6, ,15.5,5.6,98,65,4.11,20.54
KANAGULK,17/10/2009,2.6,2.8, ,14.9,4.8,99,61,3.35,17.93
KANAGULK,18/10/2009,2.7,0.2, ,14.6,4.0,98,61,2.00,21.08
KANAGULK,19/10/2009,4.3,0.0, ,22.5,3.4,99,37,1.85,28.06
KANAGULK,20/10/2009,5.1,0.0, ,24.6,6.2,91,30,3.86,23.25
KANAGULK,21/10/2009,4.0,0.0, ,17.8,9.4,92,53,4.93,26.96
KANAGULK,22/10/2009,4.3,0.0, ,19.9,4.3,95,47,3.40,28.73
KANAGULK,23/10/2009,4.2,0.0, ,19.4,6.3,96,50,3.51,28.70
KANAGULK,24/10/2009,4.2,0.0, ,20.7,5.5,99,50,2.75,28.40
KANAGULK,25/10/2009,3.7,0.0, ,15.6,7.1,95,48,6.65,24.65
KANAGULK,26/10/2009,4.5,0.2, ,18.6,5.8,92,48,6.14,29.23
KANAGULK,27/10/2009,5.2,0.0, ,23.8,5.1,97,36,3.33,29.45
KANAGULK,28/10/2009,5.7,0.0, ,27.5,8.8,93,34,3.79,25.49
KANAGULK,29/10/2009,6.2,0.0, ,31.0,10.5,91,30,3.51,25.03
KANAGULK,30/10/2009,6.1,0.0, ,32.6,17.8,86,36,4.33,18.97
KANAGULK,31/10/2009,6.7,0.8, ,32.5,15.1,98,36,3.50,28.83
Totals:,,117.9,24.4, ,,,,,, 
