'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KANAGULK Victoria for September 2017,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 October 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KANAGULK,01/09/2017,3.0,0.2, ,18.0,4.4,89,48,5.55,15.22
KANAGULK,02/09/2017,1.9,0.0, ,17.8,7.2,99,67,4.95,9.02
KANAGULK,03/09/2017,2.1,3.8, ,13.7,8.5,99,57,4.82,14.46
KANAGULK,04/09/2017,1.5,7.6, ,10.4,4.5,99,70,4.61,13.32
KANAGULK,05/09/2017,1.6,6.8, ,11.6,3.3,99,69,4.48,14.07
KANAGULK,06/09/2017,1.7,6.0, ,13.9,4.9,100,67,3.19,12.59
KANAGULK,07/09/2017,1.7,2.4, ,14.3,5.7,100,71,2.91,14.09
KANAGULK,08/09/2017,2.0,5.6, ,12.7,3.8,100,55,2.88,16.04
KANAGULK,09/09/2017,1.6,0.2, ,12.7,4.2,100,64,1.71,11.90
KANAGULK,10/09/2017,2.3,0.4, ,16.9,6.3,99,52,2.60,15.63
KANAGULK,11/09/2017,3.6,0.0, ,22.4,8.7,87,36,3.75,14.20
KANAGULK,12/09/2017,1.4,2.6, ,18.7,10.0,100,74,2.60,5.97
KANAGULK,13/09/2017,1.9,2.2, ,12.3,8.2,100,60,4.45,12.12
KANAGULK,14/09/2017,1.9,3.0, ,14.5,3.4,99,70,3.43,14.80
KANAGULK,15/09/2017,2.1,3.2, ,16.2,9.0,100,65,3.88,13.42
KANAGULK,16/09/2017,2.5,5.0, ,13.5,4.9,99,49,3.79,18.26
KANAGULK,17/09/2017,3.3,0.0, ,16.8,1.8,99,38,4.99,19.27
KANAGULK,18/09/2017,2.0,0.2, ,14.0,7.6,99,48,5.09,3.98
KANAGULK,19/09/2017,2.0,3.2, ,14.0,4.3,99,56,2.03,14.67
KANAGULK,20/09/2017,2.9,0.0, ,18.9,2.1,100,51,3.44,18.45
KANAGULK,21/09/2017,3.6,0.0, ,20.6,9.0,98,36,3.96,16.88
KANAGULK,22/09/2017,3.8,0.0, ,24.6,5.6,100,41,2.95,19.73
KANAGULK,23/09/2017,4.0,0.0, ,23.4,10.5,96,46,4.38,19.80
KANAGULK,24/09/2017,2.6,2.0, ,15.6,7.7,99,59,5.72,16.14
KANAGULK,25/09/2017,2.5,3.2, ,15.7,8.8,100,54,3.14,16.31
KANAGULK,26/09/2017,2.4,0.2, ,15.1,0.5,100,53,2.13,18.71
KANAGULK,27/09/2017,3.8,0.0, ,21.0,8.8,86,38,4.67,14.76
KANAGULK,28/09/2017,2.5,0.4, ,16.2,9.6,99,56,3.36,15.62
KANAGULK,29/09/2017,2.7,0.4, ,17.1,6.2,100,49,3.98,14.27
KANAGULK,30/09/2017,2.5,1.0, ,16.3,6.7,99,56,3.08,15.79
Totals:,,73.4,59.6, ,,,,,, 
