'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KYABRAM Victoria for September 2018,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 October 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KYABRAM,01/09/2018,2.0,6.4, ,15.8,5.2,100,51,2.60,12.63
KYABRAM,02/09/2018,2.1,0.0, ,14.0,1.2,99,49,3.04,16.31
KYABRAM,03/09/2018,2.2,0.0, ,16.1,4.1,90,46,2.47,13.43
KYABRAM,04/09/2018,2.4,0.0, ,18.8,2.1,99,40,1.70,16.82
KYABRAM,05/09/2018,3.1,0.0, ,20.0,6.6,88,41,3.67,15.16
KYABRAM,06/09/2018,2.2,0.8, ,19.9,10.5,98,59,2.95,11.34
KYABRAM,07/09/2018,2.3,5.4, ,16.0,5.3,91,47,1.93,16.30
KYABRAM,08/09/2018,2.4,0.0, ,17.0,1.5,99,38,1.71,17.25
KYABRAM,09/09/2018,2.3,0.0, ,18.5,5.7,98,52,2.19,14.80
KYABRAM,10/09/2018,2.1,0.0, ,19.4,3.6,100,53,0.31,18.08
KYABRAM,11/09/2018,4.4,0.0, ,25.7,6.3,99,23,3.43,18.38
KYABRAM,12/09/2018,2.8,0.0, ,17.8,8.1,89,39,2.36,17.76
KYABRAM,13/09/2018,2.3,0.0, ,18.7,1.4,99,37,0.89,18.74
KYABRAM,14/09/2018,3.8,0.0, ,23.5,4.2,94,24,2.66,18.93
KYABRAM,15/09/2018,3.2,0.0, ,16.5,12.5,95,35,4.64,15.17
KYABRAM,16/09/2018,2.2,0.0, ,14.7,-0.9,99,39,1.69,16.76
KYABRAM,17/09/2018,2.9,0.0, ,18.1,-1.2,99,29,1.90,19.51
KYABRAM,18/09/2018,4.2,0.0, ,22.6,4.2,87,17,3.59,13.58
KYABRAM,19/09/2018,2.7,0.6, ,16.6,4.6,96,34,2.13,17.16
KYABRAM,20/09/2018,2.6,0.0, ,18.2,0.8,98,32,1.30,18.58
KYABRAM,21/09/2018,2.6,0.0, ,20.3,0.7,99,38,0.82,20.23
KYABRAM,22/09/2018,3.3,0.0, ,23.8,2.5,100,29,1.43,20.28
KYABRAM,23/09/2018,3.2,0.0, ,17.8,6.1,98,44,4.34,17.77
KYABRAM,24/09/2018,3.4,0.0, ,18.8,4.4,88,36,3.03,20.11
KYABRAM,25/09/2018,3.3,0.0, ,19.4,2.9,99,36,2.65,20.20
KYABRAM,26/09/2018,3.3,0.0, ,21.0,3.6,95,27,1.69,21.13
KYABRAM,27/09/2018,5.2,0.0, ,26.9,6.6,85,15,3.24,21.19
KYABRAM,28/09/2018,3.2,0.0, ,19.8,6.0,99,32,2.72,16.13
KYABRAM,29/09/2018,3.3,0.0, ,17.3,1.7,91,30,2.63,20.96
KYABRAM,30/09/2018,3.0,0.0, ,19.1,0.7,95,34,1.39,21.76
Totals:,,88,13.2, ,,,,,, 
